,Branch length stretch,area,date,location,numdate
EPI_ISL_410715,2.0,,2020-02-04,Singapore,2020.0730404707676
EPI_ISL_410716,2.0,,2020-02-04,Singapore,2020.0730404707676
EPI_ISL_410719,0.98374961159344709,,2020-02-02,Singapore,2020.0670997832951
EPI_ISL_410720,2.0,Ile-de-France,2020-01-23,France,2020.0373963459326
EPI_ISL_410984,9.9999999599758336e-07,Ile-de-France,2020-01-29,France,2020.0552184105827
EPI_ISL_411915,2.0,Taoyuan,2020-01-25,Taiwan,2020.0433370334051
EPI_ISL_411926,2.0,Taipei,2020-01-24,Taiwan,2020.0403666896686
EPI_ISL_411927,2.0,Taipei,2020-01-28,Taiwan,2020.0522480646139
EPI_ISL_411929,0.31994082700866072,,2020-01-01,South Korea,2019.9720487837349
EPI_ISL_411952,0.23814686811608543,Jiangsu,2020-01-24,China,2020.0403666896686
EPI_ISL_411953,2.0,Jiangsu,2020-01-24,China,2020.0403666896686
EPI_ISL_411956,0.56636119002850283,Texas,2020-02-11,USA,2020.0938328769214
EPI_ISL_411957,0.071192965406632336,,2020-01-08,China,2019.9928411898886
EPI_ISL_412028,2.0,,2020-01-22,Hong Kong,2020.0344260021964
EPI_ISL_412029,1.9379524872780667,,2020-01-30,Hong Kong,2020.0581887520864
EPI_ISL_412030,0.50388015199996805,,2020-02-01,Hong Kong,2020.0641294395591
EPI_ISL_412869,0.4952179798939324,Seoul,2020-01-30,South Korea,2020.0581887520864
EPI_ISL_412870,2.0,Seoul,2020-01-30,South Korea,2020.0581887520864
EPI_ISL_412871,0.62397526294033134,Seoul,2020-01-31,South Korea,2020.0611590958226
EPI_ISL_412872,1.6814892007813893,Gyeonggi-do,2020-02-01,South Korea,2020.0641294395591
EPI_ISL_412873,0.18148258639462023,Chungcheongnam-do,2020-02-06,South Korea,2020.0789811582401
EPI_ISL_412912,1.9399052424149053,Baden-Wuerttemberg,2020-02-25,Germany,2020.1354176892291
EPI_ISL_412968,0.093816050577097049,,2020-02-10,Japan,2020.0908625331851
EPI_ISL_412969,0.11638639673019649,,2020-02-10,Japan,2020.0908625331851
EPI_ISL_412972,2.0,Mexico City,2020-02-27,Mexico,2020.1413583767016
EPI_ISL_412973,2.0,Lombardy,2020-02-20,Italy,2020.1205659705479
EPI_ISL_412974,2.0,Rome,2020-01-29,Italy,2020.0552184083501
EPI_ISL_412979,2.0,Hubei,2020-01-18,China,2020.0225446272514
EPI_ISL_412980,0.68392261992322911,Hubei,2020-01-18,China,2020.0225446272514
EPI_ISL_412983,0.28594673131742177,Hubei,2020-02-08,China,2020.0849218457129
EPI_ISL_413014,0.96560251962719834,Ontario,2020-01-25,Canada,2020.0433370334051
EPI_ISL_413016,0.62062201215687185,Sao Paulo,2020-02-28,Brazil,2020.1443287204379
EPI_ISL_413017,0.36718910627682799,,2020-02-06,South Korea,2020.0789811582401
EPI_ISL_413018,0.94308942282533526,,2020-02-06,South Korea,2020.0789811582401
EPI_ISL_413020,0.37418572292044844,Zurich,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_413021,0.76795768227819272,Zurich,2020-02-29,Switzerland,2020.1472990641741
EPI_ISL_413022,2.0,Zurich,2020-02-29,Switzerland,2020.1472990641741
EPI_ISL_413023,1.1114180985877049,Zurich,2020-02-29,Switzerland,2020.1472990641741
EPI_ISL_413024,2.0,Zurich,2020-02-29,Switzerland,2020.1472990641741
EPI_ISL_413214,2.0,New South Wales,2020-02-29,Australia,2020.1472990641741
EPI_ISL_413459,2.0,Tokyo,2020-02-20,Japan,2020.1205659705479
EPI_ISL_413488,0.36834925410860536,North Rhine Westphalia,2020-02-28,Germany,2020.1443287204379
EPI_ISL_413489,2.0,Lombardy,2020-03-03,Italy,2020.1562100953829
EPI_ISL_413513,2.0,,2020-02-27,South Korea,2020.1413583767016
EPI_ISL_413514,2.0,,2020-02-27,South Korea,2020.1413583767016
EPI_ISL_413515,2.0,,2020-02-27,South Korea,2020.1413583767016
EPI_ISL_413516,2.0,,2020-02-27,South Korea,2020.1413583767016
EPI_ISL_413518,9.9999999599758251e-07,Beijing,2020-01-26,China,2020.046307379374
EPI_ISL_413519,2.0,Beijing,2020-01-28,China,2020.0522480646139
EPI_ISL_413523,0.45157162879415597,Kerala,2020-01-31,India,2020.0611590958226
EPI_ISL_413574,0.69963368149958571,Helmond,2020-02-29,Netherlands,2020.1472990641741
EPI_ISL_413579,2.0,Nootdorp,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_413587,2.0,Tilburg,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_413592,2.0,Taipei,2020-03-02,Taiwan,2020.1532397516469
EPI_ISL_413593,9.9999999599758886e-07,,2020-02-29,Luxembourg,2020.1472990664067
EPI_ISL_413595,0.8281710962608857,NSW,2020-02-28,Australia,2020.1443287204379
EPI_ISL_413599,2.0,NSW,2020-03-04,Australia,2020.1591804391192
EPI_ISL_413600,1.5161623265740574,NSW,2020-03-03,Australia,2020.1562100953829
EPI_ISL_413601,1.1476228988081032,Washington,2020-03-02,USA,2020.1532397516469
EPI_ISL_413602,1.1365131655441496,Helsinki,2020-03-03,Finland,2020.1562100953829
EPI_ISL_413603,1.8641508406665539,Helsinki,2020-03-03,Finland,2020.1562100953829
EPI_ISL_413604,2.0,Helsinki,2020-03-03,Finland,2020.1562100953829
EPI_ISL_413647,2.0,,2020-03-01,Portugal,2020.1502694079104
EPI_ISL_413648,9.9999999599758844e-07,,2020-03-01,Portugal,2020.150269410143
EPI_ISL_413692,9.999999959975859e-07,,2020-01-01,China,2019.9720487859674
EPI_ISL_413693,0.26833174988019065,,2020-01-01,China,2019.9720487837349
EPI_ISL_413694,9.999999959975859e-07,,2020-01-01,China,2019.9720487859674
EPI_ISL_413697,2.0,,2020-02-01,China,2020.0641294395591
EPI_ISL_413711,1.3660201227312423,,2020-02-01,China,2020.0641294395591
EPI_ISL_413729,2.0,,2020-02-01,China,2020.0641294395591
EPI_ISL_413746,2.0,,2020-02-01,China,2020.0641294395591
EPI_ISL_413748,2.0,,2020-02-01,China,2020.0641294395591
EPI_ISL_413750,2.0,,2020-02-01,China,2020.0641294395591
EPI_ISL_413809,1.4407492665554371,,2020-02-01,China,2020.0641294395591
EPI_ISL_413851,0.5467919608586429,Guangdong,2020-01-30,China,2020.0581887520864
EPI_ISL_413852,2.0,Guangdong,2020-01-30,China,2020.0581887520864
EPI_ISL_413854,2.0,Guangdong,2020-01-30,China,2020.0581887520864
EPI_ISL_413855,2.0,Guangdong,2020-02-07,China,2020.0819515019764
EPI_ISL_413931,0.53620897955440794,California,2020-03-05,USA,2020.1621507828556
EPI_ISL_413996,2.0,Tessin,2020-02-24,Switzerland,2020.1324473454929
EPI_ISL_413997,2.0,Geneva,2020-02-26,Switzerland,2020.1383880329654
EPI_ISL_413999,2.0,Argovie,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_414014,2.0,Sao Paulo,2020-03-02,Brazil,2020.1532397516469
EPI_ISL_414015,2.0,Sao Paulo,2020-02-29,Brazil,2020.1472990641741
EPI_ISL_414016,2.0,Sao Paulo,2020-02-29,Brazil,2020.1472990641741
EPI_ISL_414017,2.0,Sao Paulo,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_414019,2.0,Geneva,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_414020,2.0,Geneva,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_414021,2.0,Basel,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_414022,2.0,Geneva,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_414023,1.3304543545125755,Vaud,2020-03-01,Switzerland,2020.1502694079104
EPI_ISL_414045,2.0,Rio de Janeiro,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_414368,2.0,Washington,2020-03-05,USA,2020.1621507828556
EPI_ISL_414414,1.4631643987529355,Queensland,2020-02-29,Australia,2020.1472990641741
EPI_ISL_414423,2.0,Gelderland,2020-03-02,Netherlands,2020.1532397516469
EPI_ISL_414424,2.0,Limburg,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_414425,2.0,Limburg,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_414428,2.0,Noord Brabant,2020-03-02,Netherlands,2020.1532397516469
EPI_ISL_414430,0.90077999933078012,Noord Brabant,2020-03-05,Netherlands,2020.1621507828556
EPI_ISL_414436,2.0,Utrecht,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_414439,2.0,Utrecht,2020-03-02,Netherlands,2020.1532397516469
EPI_ISL_414449,2.0,Noord Brabant,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_414454,2.0,Noord Brabant,2020-03-05,Netherlands,2020.1621507828556
EPI_ISL_414456,2.0,Noord Brabant,2020-03-04,Netherlands,2020.1591804391192
EPI_ISL_414457,1.1895756306921654,Noord Brabant,2020-03-06,Netherlands,2020.1651211265919
EPI_ISL_414463,2.0,Utrecht,2020-03-04,Netherlands,2020.1591804391192
EPI_ISL_414470,2.0,Zuid Holland,2020-03-06,Netherlands,2020.1651211265919
EPI_ISL_414471,2.0,Zuid Holland,2020-03-05,Netherlands,2020.1621507828556
EPI_ISL_414477,2.0,Usti nad Labem,2020-03-01,Czech Republic,2020.1502694079104
EPI_ISL_414487,2.0,Cork,2020-03-04,Ireland,2020.1591804391192
EPI_ISL_414497,2.0,North Rhine Westphalia,2020-02-25,Germany,2020.1354176892291
EPI_ISL_414499,2.0,North Rhine Westphalia,2020-02-26,Germany,2020.1383880329654
EPI_ISL_414505,2.0,North Rhine Westphalia,2020-02-27,Germany,2020.1413583767016
EPI_ISL_414509,2.0,North Rhine Westphalia,2020-02-28,Germany,2020.1443287204379
EPI_ISL_414510,1.8389067630528904,Shanghai,2020-02-02,China,2020.0670997832951
EPI_ISL_414511,9.9999999599758399e-07,,2020-01-01,Japan,2019.9720487859674
EPI_ISL_414517,1.3304543545125707,,2020-02-25,Hong Kong,2020.1354176892291
EPI_ISL_414519,9.999999959975895e-07,,2020-02-24,Hong Kong,2020.1324473477255
EPI_ISL_414520,1.0226449801133903,Munich,2020-03-02,Germany,2020.1532397516469
EPI_ISL_414521,2.0,Munich,2020-03-02,Germany,2020.1532397516469
EPI_ISL_414527,1.5340075906978576,,2020-02-09,Hong Kong,2020.0878921894491
EPI_ISL_414528,2.0,,2020-02-10,Hong Kong,2020.0908625331851
EPI_ISL_414532,0.4586684340556752,Noord Brabant,2020-03-05,Netherlands,2020.1621507828556
EPI_ISL_414554,2.0,Utrecht,2020-03-08,Netherlands,2020.1710618140642
EPI_ISL_414560,0.46050417269417598,Zuid Holland,2020-03-03,Netherlands,2020.1562100953829
EPI_ISL_414566,2.0,Zuid Holland,2020-03-06,Netherlands,2020.1651211265919
EPI_ISL_414569,1.4514306181359231,,2020-02-12,Hong Kong,2020.0968032206579
EPI_ISL_414571,0.62627765206289876,,2020-02-22,Hong Kong,2020.1265066580204
EPI_ISL_414586,0.27920386234050076,Limerick,2020-03-03,Ireland,2020.1562100953829
EPI_ISL_414587,2.0,Limerick,2020-03-03,Ireland,2020.1562100953829
EPI_ISL_414597,0.70182283418772851,Washington,2020-03-04,USA,2020.1591804391192
EPI_ISL_414598,2.0,Comunitat Valenciana,2020-03-05,Spain,2020.1621507828556
EPI_ISL_414623,0.029646893695027082,Grand-Est,2020-02-25,France,2020.1354176892291
EPI_ISL_414624,1.0691056267418058,Normandie,2020-02-26,France,2020.1383880329654
EPI_ISL_414625,1.0053651027590114,Pays de la Loire,2020-02-26,France,2020.1383880329654
EPI_ISL_414628,0.31074761838689091,Hauts de France,2020-03-02,France,2020.1532397516469
EPI_ISL_414630,0.74417477319437597,Hauts de France,2020-03-03,France,2020.1562100953829
EPI_ISL_414631,2.0,Grand-Est,2020-03-04,France,2020.1591804391192
EPI_ISL_414635,1.129015553118359,Hauts de France,2020-03-04,France,2020.1591804391192
EPI_ISL_414638,0.60111797944346212,Hauts de France,2020-03-04,France,2020.1591804391192
EPI_ISL_414641,0.54115644960481879,,2020-03-05,Finland,2020.1621507828556
EPI_ISL_414642,2.0,,2020-03-08,Finland,2020.1710618140642
EPI_ISL_414643,2.0,,2020-03-07,Finland,2020.1680914703279
EPI_ISL_414646,2.0,,2020-03-04,Finland,2020.1591804391192
EPI_ISL_414687,2.0,Guangdong,2020-02-25,China,2020.1354176892291
EPI_ISL_414938,0.72768204104265,Shandong,2020-01-24,China,2020.0403666896686
EPI_ISL_415105,1.1819393097499611,Bahia,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_415128,2.0,Espirito Santo,2020-02-29,Brazil,2020.1472990641741
EPI_ISL_415155,0.26130498751935705,Huldenberg,2020-03-01,Belgium,2020.1502694079104
EPI_ISL_415156,2.0,Huldenberg,2020-03-01,Belgium,2020.1502694079104
EPI_ISL_415454,0.33679307717029056,,2020-02-28,Switzerland,2020.1443287204379
EPI_ISL_415455,2.0,,2020-02-28,Switzerland,2020.1443287204379
EPI_ISL_415456,1.3526299703077842,,2020-02-29,Switzerland,2020.1472990641741
EPI_ISL_415457,2.0,,2020-02-29,Switzerland,2020.1472990641741
EPI_ISL_415458,2.0,,2020-03-01,Switzerland,2020.1502694079104
EPI_ISL_415459,9.9999999599758293e-07,Genève,2020-02-29,Switzerland,2020.1472990664067
EPI_ISL_415460,0.96585925654234295,Flevoland,2020-03-09,Netherlands,2020.1740321578006
EPI_ISL_415468,2.0,,2020-03-10,Netherlands,2020.1770025015369
EPI_ISL_415470,2.0,,2020-03-10,Netherlands,2020.1770025015369
EPI_ISL_415473,2.0,,2020-03-09,Netherlands,2020.1740321578006
EPI_ISL_415476,2.0,,2020-03-10,Netherlands,2020.1770025015369
EPI_ISL_415483,1.2002428162199275,,2020-03-09,Netherlands,2020.1740321578006
EPI_ISL_415485,0.51595465645624405,,2020-03-12,Netherlands,2020.1829431890092
EPI_ISL_415486,0.64693533937828951,,2020-03-13,Netherlands,2020.1859135327456
EPI_ISL_415514,2.0,Noord Brabant,2020-03-11,Netherlands,2020.1799728452729
EPI_ISL_415523,9.9999999599757743e-07,Noord Brabant,2020-01-01,Netherlands,2019.9720487859674
EPI_ISL_415530,2.0,Zuid Holland,2020-03-09,Netherlands,2020.1740321578006
EPI_ISL_415581,2.0,British Columbia,2020-03-01,Canada,2020.1502694079104
EPI_ISL_415583,2.0,British Columbia,2020-03-03,Canada,2020.1562100953829
EPI_ISL_415584,9.9999999599759881e-07,British Columbia,2020-03-02,Canada,2020.1532397538795
EPI_ISL_415588,2.0,British Columbia,2020-03-05,Canada,2020.1621507828556
EPI_ISL_415608,2.0,Washington,2020-03-08,USA,2020.1710618140642
EPI_ISL_415620,1.1360287332639172,Washington,2020-03-09,USA,2020.1740321578006
EPI_ISL_415622,2.0,Washington,2020-03-09,USA,2020.1740321578006
EPI_ISL_415630,1.0600057665172069,Scotland,2020-03-09,United Kingdom,2020.1740321578006
EPI_ISL_415641,2.0,Tbilisi,2020-02-27,Georgia,2020.1413583767016
EPI_ISL_415642,0.23155092618059794,Tbilisi,2020-03-10,Georgia,2020.1770025015369
EPI_ISL_415643,1.9880020430532181,Tbilisi,2020-03-10,Georgia,2020.1770025015369
EPI_ISL_415644,0.62238569150172363,Tbilisi,2020-02-28,Georgia,2020.1443287204379
EPI_ISL_415652,2.0,Bourgogne-France-Comté,2020-03-05,France,2020.1621507828556
EPI_ISL_415654,1.2734843438252741,Hauts de France,2020-03-09,France,2020.1740321578006
EPI_ISL_415698,0.62994504719711175,,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_415699,0.62994504696104636,,2020-02-27,Switzerland,2020.1413583767016
EPI_ISL_415700,0.66479099349017168,,2020-02-28,Switzerland,2020.1443287204379
EPI_ISL_415701,2.0,,2020-03-02,Switzerland,2020.1532397516469
EPI_ISL_415702,2.0,,2020-03-02,Switzerland,2020.1532397516469
EPI_ISL_415703,0.73447257029927482,,2020-03-01,Switzerland,2020.1502694079104
EPI_ISL_415704,2.0,,2020-03-04,Switzerland,2020.1591804391192
EPI_ISL_415705,2.0,,2020-03-06,Switzerland,2020.1651211265919
EPI_ISL_415706,2.0,,2020-03-06,Switzerland,2020.1651211265919
EPI_ISL_415707,2.0,,2020-03-08,Switzerland,2020.1710618140642
EPI_ISL_415708,2.0,,2020-03-07,Switzerland,2020.1680914703279
EPI_ISL_415741,2.0,Taoyuan,2020-02-26,Taiwan,2020.1383880329654
EPI_ISL_415742,0.18395343903966813,Taoyuan,2020-02-27,Taiwan,2020.1413583767016
EPI_ISL_415743,2.0,Taoyuan,2020-02-27,Taiwan,2020.1413583767016
EPI_ISL_416028,2.0,Sao Paulo,2020-03-03,Brazil,2020.1562100953829
EPI_ISL_416029,2.0,Sao Paulo,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_416031,2.0,Sao Paulo,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_416032,2.0,Distrito Federal,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_416033,2.0,Sao Paulo,2020-03-03,Brazil,2020.1562100953829
EPI_ISL_416034,0.81521593392112701,Sao Paulo,2020-03-04,Brazil,2020.1591804391192
EPI_ISL_416035,2.0,Sao Paulo,2020-03-05,Brazil,2020.1621507828556
EPI_ISL_416042,2.0,Hangzhou,2020-01-26,China,2020.0463073771414
EPI_ISL_416314,1.3923053490943182,,2020-02-07,Hong Kong,2020.0819515019764
EPI_ISL_416317,0.63307198200188519,Shanghai,2020-01-25,China,2020.0433370334051
EPI_ISL_416320,1.2200176894709147,Shanghai,2020-01-28,China,2020.0522480646139
EPI_ISL_416321,0.3751675767188325,Shanghai,2020-01-28,China,2020.0522480646139
EPI_ISL_416326,2.0,Shanghai,2020-01-30,China,2020.0581887520864
EPI_ISL_416329,0.44267851351010729,Shanghai,2020-02-01,China,2020.0641294395591
EPI_ISL_416334,1.8380876812215687,Shanghai,2020-02-06,China,2020.0789811582401
EPI_ISL_416338,2.0,Shanghai,2020-02-01,China,2020.0641294395591
EPI_ISL_416339,0.84613436225662497,Shanghai,2020-02-03,China,2020.0700701270314
EPI_ISL_416340,0.83375485449011211,Shanghai,2020-02-02,China,2020.0670997832951
EPI_ISL_416341,2.0,Shanghai,2020-02-01,China,2020.0641294395591
EPI_ISL_416342,0.65049054078411495,Shanghai,2020-02-04,China,2020.0730404707676
EPI_ISL_416349,1.2040928362860368,Shanghai,2020-01-30,China,2020.0581887520864
EPI_ISL_416350,0.26241464223854122,Shanghai,2020-01-29,China,2020.0552184083501
EPI_ISL_416352,2.0,Shanghai,2020-01-30,China,2020.0581887520864
EPI_ISL_416355,0.26970174759925597,Shanghai,2020-02-04,China,2020.0730404707676
EPI_ISL_416359,1.6353661177310701,Shanghai,2020-02-06,China,2020.0789811582401
EPI_ISL_416363,2.0,Shanghai,2020-02-08,China,2020.0849218457129
EPI_ISL_416367,0.99295780000888134,Shanghai,2020-02-01,China,2020.0641294395591
EPI_ISL_416368,2.0,Shanghai,2020-02-05,China,2020.0760108145041
EPI_ISL_416369,0.36603925404435839,Shanghai,2020-02-05,China,2020.0760108145041
EPI_ISL_416376,2.0,Shanghai,2020-02-05,China,2020.0760108145041
EPI_ISL_416377,2.0,Shanghai,2020-02-07,China,2020.0819515019764
EPI_ISL_416381,2.0,Shanghai,2020-02-01,China,2020.0641294395591
EPI_ISL_416384,0.86209978885944161,Shanghai,2020-02-04,China,2020.0730404707676
EPI_ISL_416387,1.4609815457257451,Shanghai,2020-02-01,China,2020.0641294395591
EPI_ISL_416389,0.62171054814491689,Shanghai,2020-01-21,China,2020.0314556584601
EPI_ISL_416390,0.40180834970917334,Shanghai,2020-01-31,China,2020.0611590958226
EPI_ISL_416394,2.0,Shanghai,2020-02-14,China,2020.1027439081302
EPI_ISL_416397,0.35058332598125724,Shanghai,2020-02-02,China,2020.0670997832951
EPI_ISL_416398,0.67425964913142034,Shanghai,2020-02-02,China,2020.0670997832951
EPI_ISL_416400,0.63271429509690746,Shanghai,2020-02-02,China,2020.0670997832951
EPI_ISL_416402,2.0,Shanghai,2020-02-11,China,2020.0938328769214
EPI_ISL_416409,1.7230733755581022,Shanghai,2020-02-02,China,2020.0670997832951
EPI_ISL_416412,0.86367900545122223,Victoria,2020-03-02,Australia,2020.1532397516469
EPI_ISL_416452,1.2350139938738764,Washington,2020-03-10,USA,2020.1770025015369
EPI_ISL_416456,1.9363197901950988,Washington,2020-03-06,USA,2020.1651211265919
EPI_ISL_416472,0.76923490755277313,Kessel-Lo,2020-03-02,Belgium,2020.1532397516469
EPI_ISL_416473,0.14389920468292042,Hangzhou,2020-01-26,China,2020.0463073771414
EPI_ISL_416474,0.43932388467308814,Hangzhou,2020-01-28,China,2020.0522480646139
EPI_ISL_416477,0.5347433718300616,Tbilisi,2020-03-08,Georgia,2020.1710618140642
EPI_ISL_416478,1.305711345337049,Tbilisi,2020-03-14,Georgia,2020.1888838764819
EPI_ISL_416479,2.0,Tbilisi,2020-03-05,Georgia,2020.1621507828556
EPI_ISL_416480,2.0,Tbilisi,2020-03-11,Georgia,2020.1799728452729
EPI_ISL_416481,2.0,Tbilisi,2020-03-16,Georgia,2020.1948245639542
EPI_ISL_416482,2.0,Tbilisi,2020-03-13,Georgia,2020.1859135327456
EPI_ISL_416484,2.0,Comunitat Valenciana,2020-02-27,Spain,2020.1413583767016
EPI_ISL_416485,0.18602783175010698,Comunitat Valenciana,2020-02-27,Spain,2020.1413583767016
EPI_ISL_416486,0.53414461230910026,Comunitat Valenciana,2020-03-02,Spain,2020.1532397516469
EPI_ISL_416487,2.0,Comunitat Valenciana,2020-03-04,Spain,2020.1591804391192
EPI_ISL_416491,2.0,Wisconsin,2020-03-15,USA,2020.1918542202179
EPI_ISL_416494,2.0,Normandie,2020-03-04,France,2020.1591804391192
EPI_ISL_416495,1.2350290447614896,Hauts de France,2020-03-10,France,2020.1770025015369
EPI_ISL_416498,1.6076264468635504,Ile de France,2020-03-11,France,2020.1799728452729
EPI_ISL_416499,2.0,Ile de France,2020-03-11,France,2020.1799728452729
EPI_ISL_416501,2.0,Ile de France,2020-03-10,France,2020.1770025015369
EPI_ISL_416505,2.0,Bretagne,2020-03-02,France,2020.1532397516469
EPI_ISL_416507,1.0305921347963645,Bretagne,2020-03-05,France,2020.1621507828556
EPI_ISL_416509,1.1643401349034914,Bretagne,2020-03-06,France,2020.1651211265919
EPI_ISL_416510,2.0,Bretagne,2020-03-06,France,2020.1651211265919
EPI_ISL_416511,2.0,Bretagne,2020-03-07,France,2020.1680914703279
EPI_ISL_416512,2.0,Bretagne,2020-03-07,France,2020.1680914703279
EPI_ISL_416513,1.182012902267187,Bretagne,2020-03-07,France,2020.1680914703279
EPI_ISL_416524,1.0356465060584568,Saitama,2020-03-11,Japan,2020.1799728452729
EPI_ISL_416525,1.0356623998155652,Saitama,2020-03-11,Japan,2020.1799728452729
EPI_ISL_416565,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416566,1.4869280706142327,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416567,0.71202629674306317,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416569,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416570,0.70766934184381236,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416571,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416572,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416573,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416574,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416575,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416576,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416577,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416578,1.0634511543347891,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416579,1.0992937619144241,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416580,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416581,1.432953699151909,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416582,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416583,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416584,2.0,unknown,2020-02-15,Japan,2020.1057142518664
EPI_ISL_416585,2.0,unknown,2020-02-16,Japan,2020.1086845956029
EPI_ISL_416586,2.0,unknown,2020-02-16,Japan,2020.1086845956029
