,Branch length stretch,date,location,numdate
MT226610,0.1231572202035537,2020-01-20,China,2020.0209445064088
MT233519,9.9999999600362016e-07,2020-02-27,Spain,2020.1410437802183
MT233522,0.69525361418873088,2020-03-02,Spain,2020.1536858075681
MT233523,2.0,2020-03-04,Spain,2020.1600068219088
MT233526,2.0,2020-01-19,USA,2020.0177839992384
MT240479,0.54694233132223424,2020-03-04,Pakistan,2020.1600068219088
MT246449,9.9999999600361995e-07,2020-03-13,USA,2020.1884513877751
MT246450,9.9999999600361995e-07,2020-03-13,USA,2020.1884513877751
MT246451,0.36565248795027661,2020-03-13,USA,2020.1884513864431
MT246452,2.0,2020-03-13,USA,2020.1884513864431
MT246453,1.8480083209907274,2020-03-13,USA,2020.1884513864431
MT246454,0.78379848272704145,2020-03-12,USA,2020.1852908792725
MT246455,0.67966016238988136,2020-03-12,USA,2020.1852908792725
MT246456,0.51645651599349141,2020-03-13,USA,2020.1884513864431
MT246457,2.0,2020-03-12,USA,2020.1852908792725
MT246458,2.0,2020-03-12,USA,2020.1852908792725
MT246459,0.50335968451571766,2020-03-12,USA,2020.1852908792725
MT246460,2.0,2020-03-12,USA,2020.1852908792725
MT246461,0.4995711385460283,2020-03-13,USA,2020.1884513864431
MT246462,0.72760658298000447,2020-03-13,USA,2020.1884513864431
MT246463,2.0,2020-03-13,USA,2020.1884513864431
MT246464,1.2159458620595431,2020-03-13,USA,2020.1884513864431
MT246466,2.0,2020-03-13,USA,2020.1884513864431
MT246467,2.0,2020-03-14,USA,2020.1916118936135
MT246468,2.0,2020-03-14,USA,2020.1916118936135
MT246469,1.1626179506713414,2020-03-14,USA,2020.1916118936135
MT246470,2.0,2020-03-13,USA,2020.1884513864431
MT246471,0.65061419877050219,2020-03-14,USA,2020.1916118936135
MT246472,1.3445063014059579,2020-03-12,USA,2020.1852908792725
MT246473,1.3571772097587556,2020-03-14,USA,2020.1916118936135
MT246474,0.54097266598962879,2020-03-14,USA,2020.1916118936135
MT246475,0.92442486849755212,2020-03-13,USA,2020.1884513864431
MT246476,1.5298368977877033,2020-03-13,USA,2020.1884513864431
MT246477,2.0,2020-03-14,USA,2020.1916118936135
MT246478,2.0,2020-03-14,USA,2020.1916118936135
MT246479,2.0,2020-03-13,USA,2020.1884513864431
MT246480,2.0,2020-03-13,USA,2020.1884513864431
MT246481,2.0,2020-03-13,USA,2020.1884513864431
MT246482,0.72837249248726399,2020-03-15,USA,2020.1947724007839
MT246484,1.0051241796944872,2020-03-15,USA,2020.1947724007839
MT246485,0.62357214742204869,2020-03-15,USA,2020.1947724007839
MT246486,0.39271076892647988,2020-03-14,USA,2020.1916118936135
MT246487,0.22913015147161861,2020-03-15,USA,2020.1947724007839
MT246488,0.54097565963624206,2020-03-14,USA,2020.1916118936135
MT246489,0.59139785285618163,2020-03-14,USA,2020.1916118936135
MT246490,2.0,2020-03-15,USA,2020.1947724007839
MT246667,0.56580986229434393,2020-01-19,USA,2020.0177839992384
MT251972,1.1626130644536883,2020-03-14,USA,2020.1916118936135
MT251973,2.0,2020-03-14,USA,2020.1916118936135
MT251974,0.72513001625563378,2020-03-12,USA,2020.1852908792725
MT251975,0.56981123170792625,2020-03-14,USA,2020.1916118936135
MT251976,2.0,2020-03-14,USA,2020.1916118936135
MT251977,0.5896143192462735,2020-03-14,USA,2020.1916118936135
MT251978,2.0,2020-03-14,USA,2020.1916118936135
MT251979,2.0,2020-03-14,USA,2020.1916118936135
MT251980,0.36736257747732287,2020-03-13,USA,2020.1884513864431
MT253696,2.0,2020-01-23,China,2020.0304260279202
MT253697,2.0,2020-01-23,China,2020.0304260279202
MT253698,2.0,2020-01-23,China,2020.0304260279202
MT253699,2.0,2020-01-24,China,2020.0335865350905
MT253700,2.0,2020-01-25,China,2020.0367470422614
MT253701,2.0,2020-01-21,China,2020.0241050135794
MT253702,2.0,2020-01-21,China,2020.0241050135794
MT253703,2.0,2020-01-25,China,2020.0367470422614
MT253704,2.0,2020-01-25,China,2020.0367470422614
MT253705,2.0,2020-01-22,China,2020.0272655207498
MT253706,2.0,2020-01-22,China,2020.0272655207498
MT253707,2.0,2020-01-25,China,2020.0367470422614
MT253708,2.0,2020-01-21,China,2020.0241050135794
MT253709,2.0,2020-01-21,China,2020.0241050135794
MT253710,2.0,2020-01-21,China,2020.0241050135794
NC_045512,9.9999999600363032e-07,2019-12-01,China,2019.8621290210936
NODE_0000000,0.999000999000999,,,2019.8621290197614
NODE_0000002,0.3021484738100553,,,2019.8763899372427
NODE_0000007,0.6561873819798272,,,2019.9374594185285
NODE_0000008,2.0,,,2020.1123449060485
NODE_0000016,2.0,,,2019.9931091392277
NODE_0000019,1.2157274056921155,,,2019.9195090782885
NODE_0000021,0.7540744256951475,,,2019.989689437538
NODE_0000023,2.0,,,2020.0772406906563
NODE_0000030,1.9951904051323663,,,2020.0478152488135
NODE_0000038,1.374401765022378,,,2019.926997627636
NODE_0000041,2.0,,,2019.9670257261296
NODE_0000042,0.8772178203251706,,,2020.0486671122424
NODE_0000046,2.0,,,2020.0455931765296
NODE_0000051,2.0,,,2019.956999500855
NODE_0000053,2.0,,,2020.033834872147
NODE_0000056,1.3478140305740707,,,2020.049389070943
NODE_0000085,0.6087569227191479,,,2019.974632114372
NODE_0000086,0.36355309586913725,,,2019.991791529491
NODE_0000088,2.0,,,2020.1178017447305
NODE_0000089,0.9482510015409751,,,2020.1670418989024
NODE_0000090,0.4536046788167732,,,2020.1884513864431
NODE_0000094,0.22737958356582985,,,2020.0338153104876
NODE_0000095,0.4710253893330819,,,2020.120869295455
NODE_0000097,0.4497902376289257,,,2020.055044864063
NODE_0000098,0.9784459670056915,,,2020.1012267725982
NODE_0000099,0.46292194268137277,,,2020.0768949686671
NODE_0000101,0.26359992381480596,,,2020.0893368859395
NODE_0000102,0.11654086930570205,,,2019.87297496106
NODE_0000103,1.7279309899169557,,,2020.0337865845065
NODE_0000108,0.13700838804627524,,,2019.8794415345678
NODE_0000111,1.2965678046095082,,,2019.9341705351374
NODE_0000115,0.6562311301390779,,,2019.9641507190004
NODE_0000120,1.1620218973929337,,,2020.1410437788863
NODE_0000122,2.0,,,2019.9910788460747
NODE_0000127,0.285040785619418,,,2020.0176065814387
NODE_0000129,2.0,,,2020.1541098051136
NODE_0000131,2.0,,,2020.1220359527624
NODE_0000134,0.42484385040248135,,,2020.0961237779527
NODE_0000137,0.6657713246061059,,,2020.1275496092635
NODE_0000138,0.5658361947125224,,,2020.1542585452378
NODE_0000140,0.0,,,2020.0961237779527
NODE_0000141,0.740257011054173,,,2020.1310619447534
NODE_0000142,0.4850270079011457,,,2020.1412642976563
NODE_0000145,0.6739966719286552,,,2020.1730761540318
NODE_0000148,0.6030977141753585,,,2020.0460718180987
NODE_0000149,1.5697544182487124,,,2020.1636980679257
NODE_0000151,0.45729065827427995,,,2020.0601653864405
NODE_0000154,0.6957868493611803,,,2020.0930048031187
NODE_0000157,0.3943323403426607,,,2020.036218958266
NODE_0000159,0.29589340588443813,,,2020.050184969149
NODE_0000160,1.079990930663884,,,2020.136735584266
