dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SIR003_sl1000_mr05_nv5_19,0.808,0.618,0.7,0.529,0.529,0.529,0.514,0.529,0.522
SEIR015_sl1000_mr025_nv20_4,0.917,0.667,0.772,0.886,0.939,0.912,0.912,0.939,0.925
SIR003_sl1000_mr025_nv10_5,0.75,0.857,0.8,0.857,0.857,0.857,0.857,0.857,0.857
SEIR015_sl250_mr025_nv10_5,0.625,0.625,0.625,0.667,0.75,0.706,0.667,0.75,0.706
SIR01_sl500_mr15_nv10_18,0.789,0.6,0.682,0.778,0.56,0.651,0.824,0.56,0.667
SIR01_sl1000_mr3_nv10_5,0.818,0.643,0.72,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_19,0.947,0.581,0.72,0.905,0.613,0.731,1,0.613,0.76
SIR003_sl500_mr05_nv10_10,0.786,0.564,0.657,0.679,0.487,0.567,0.679,0.487,0.567
SEIR015_sl1000_mr025_nv20_11,0.833,0.769,0.8,0.857,0.923,0.889,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.586,0.486,0.531,0.657,0.657,0.657,0.667,0.686,0.676
SIR003_sl1000_mr05_nv20_3,1,0.769,0.87,0.769,0.769,0.769,0.909,0.769,0.833
SEIR015_sl1000_mr025_nv20_1,1,0.8,0.889,1,0.933,0.966,1,0.867,0.929
SEIR015_sl1000_mr0125_nv10_3,0.9,1,0.947,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv5_12,0.667,0.435,0.526,0.762,0.696,0.727,0.762,0.696,0.727
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_17,0.865,0.711,0.78,0.818,0.8,0.809,0.818,0.8,0.809
SIR01_sl1000_mr15_nv10_20,0.7,0.778,0.737,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.864,0.731,0.792,0.607,0.654,0.63,0.607,0.654,0.63
SEIR015_sl1000_mr025_nv5_14,0.733,0.733,0.733,0.765,0.867,0.812,0.765,0.867,0.812
SIR01_sl1000_mr3_nv10_13,0.909,0.556,0.69,0.759,0.611,0.677,0.688,0.611,0.647
SEIR015_sl1000_mr05_nv10_15,1,0.636,0.778,0.909,0.909,0.909,1,0.909,0.952
SEIR015_sl250_mr025_nv10_4,0.769,0.8,0.784,0.833,0.8,0.816,0.833,0.8,0.816
SEIR015_sl1000_mr025_nv20_6,0.838,0.816,0.827,0.842,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_14,0.771,0.587,0.667,0.9,0.783,0.837,0.857,0.783,0.818
SEIR01_sl250_mr025_nv10_5,0.743,0.634,0.684,0.727,0.585,0.649,0.727,0.585,0.649
SIR003_sl1000_mr05_nv20_4,0.963,0.812,0.881,0.9,0.844,0.871,0.9,0.844,0.871
SEIR01_sl500_mr025_nv10_5,0.571,0.8,0.667,0.429,0.6,0.5,0.429,0.6,0.5
SIR003_sl1000_mr05_nv5_9,0.75,0.625,0.682,0.714,0.625,0.667,0.7,0.583,0.636
SEIR015_sl250_mr025_nv10_16,0.533,0.296,0.381,0.727,0.593,0.653,0.696,0.593,0.64
SEIR015_sl250_mr025_nv10_18,0.429,0.273,0.333,0.667,0.545,0.6,0.75,0.545,0.632
SEIR015_sl1000_mr025_nv5_5,0.727,0.381,0.5,0.833,0.476,0.606,0.846,0.524,0.647
SEIR015_sl1000_mr025_nv20_7,1,0.861,0.925,0.944,0.944,0.944,0.944,0.944,0.944
SIR003_sl1000_mr05_nv5_12,0.857,1,0.923,1,1,1,0.833,0.833,0.833
SEIR01_sl250_mr025_nv10_17,0.5,0.625,0.556,0.5,0.625,0.556,0.5,0.625,0.556
SIR01_sl1000_mr15_nv5_8,0.6,0.375,0.462,0.375,0.375,0.375,0.375,0.375,0.375
SIR01_sl500_mr15_nv10_5,0.889,0.769,0.825,0.841,0.712,0.771,0.804,0.712,0.755
SEIR01_sl1000_mr025_nv5_20,0.85,0.708,0.773,0.889,0.667,0.762,0.833,0.625,0.714
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR015_sl500_mr025_nv10_7,0.812,0.629,0.709,0.906,0.774,0.835,0.906,0.774,0.835
SEIR015_sl1000_mr025_nv5_18,0.829,0.618,0.708,0.84,0.764,0.8,0.848,0.709,0.772
SIR01_sl1000_mr3_nv10_15,0.8,0.444,0.571,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_10,0.625,0.526,0.571,0.588,0.526,0.556,0.588,0.526,0.556
SEIR015_sl1000_mr025_nv5_2,1,0.778,0.875,1,0.667,0.8,0.778,0.778,0.778
SIR003_sl250_mr05_nv10_8,0.9,0.529,0.667,0.818,0.529,0.643,0.818,0.529,0.643
SEIR015_sl250_mr025_nv10_12,0.622,0.651,0.636,0.725,0.674,0.699,0.674,0.721,0.697
SIR01_sl500_mr15_nv10_2,0.85,0.81,0.829,0.778,0.667,0.718,0.714,0.714,0.714
SIR003_sl1000_mr05_nv5_20,0.846,0.846,0.846,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_8,0.714,0.667,0.69,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv20_7,0.96,0.857,0.906,0.923,0.857,0.889,0.923,0.857,0.889
SIR01_sl500_mr15_nv10_8,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_20,0.722,0.722,0.722,0.684,0.722,0.703,0.684,0.722,0.703
SEIR01_sl1000_mr025_nv20_13,0.943,0.862,0.901,0.864,0.879,0.872,0.864,0.879,0.872
SIR003_sl1000_mr05_nv10_13,0.911,0.732,0.812,0.788,0.732,0.759,0.824,0.75,0.785
SEIR015_sl500_mr025_nv10_3,0.792,0.514,0.623,0.935,0.784,0.853,0.935,0.784,0.853
SIR01_sl1000_mr3_nv10_4,0.9,0.75,0.818,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_14,0.933,0.718,0.812,0.943,0.846,0.892,0.943,0.846,0.892
SIR01_sl250_mr15_nv10_6,0.636,0.326,0.431,0.632,0.279,0.387,0.632,0.279,0.387
SIR01_sl250_mr15_nv10_14,0.615,0.533,0.571,0.615,0.533,0.571,0.667,0.533,0.593
SIR003_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.87,0.87,0.87,0.87,0.87,0.87
SIR01_sl250_mr15_nv10_20,0.571,0.571,0.571,0.5,0.571,0.533,0.571,0.571,0.571
SIR01_sl1000_mr3_nv10_3,0.933,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl250_mr025_nv10_14,0.583,0.56,0.571,0.636,0.56,0.596,0.652,0.6,0.625
SIR003_sl1000_mr05_nv5_6,1,0.364,0.533,0.5,0.364,0.421,0.5,0.364,0.421
SIR01_sl500_mr15_nv10_4,0.769,0.612,0.682,0.854,0.714,0.778,0.854,0.714,0.778
SIR01_sl1000_mr15_nv10_11,0.875,0.583,0.7,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr0125_nv10_14,0.917,0.846,0.88,0.92,0.885,0.902,0.922,0.904,0.913
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl1000_mr05_nv10_11,0.724,0.6,0.656,0.676,0.657,0.667,0.697,0.657,0.676
SEIR01_sl250_mr025_nv10_16,0.632,0.522,0.571,0.59,0.5,0.541,0.59,0.5,0.541
SEIR01_sl250_mr025_nv10_2,0.769,0.714,0.741,0.647,0.786,0.71,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_8,0.833,0.833,0.833,0.714,0.833,0.769,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv10_9,0.907,0.83,0.867,0.894,0.894,0.894,0.894,0.894,0.894
SIR003_sl500_mr05_nv10_7,0.571,0.444,0.5,0.643,0.5,0.563,0.562,0.5,0.529
SIR01_sl500_mr15_nv10_12,0.75,0.5,0.6,0.667,0.333,0.444,0.667,0.333,0.444
SIR01_sl1000_mr3_nv10_19,0.812,0.433,0.565,0.538,0.467,0.5,0.538,0.467,0.5
SIR01_sl1000_mr15_nv5_14,0.833,0.682,0.75,0.739,0.773,0.756,0.75,0.682,0.714
SEIR015_sl1000_mr025_nv5_8,0.895,0.739,0.81,0.8,0.87,0.833,0.8,0.87,0.833
SIR01_sl1000_mr075_nv10_9,0.889,0.593,0.711,0.773,0.63,0.694,0.773,0.63,0.694
SIR003_sl1000_mr05_nv10_5,0.645,0.435,0.519,0.585,0.522,0.552,0.561,0.5,0.529
SIR01_sl1000_mr075_nv10_11,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR003_sl500_mr05_nv10_14,0.76,0.576,0.655,0.72,0.545,0.621,0.72,0.545,0.621
SEIR01_sl1000_mr0125_nv10_14,0.964,0.9,0.931,0.964,0.9,0.931,0.966,0.933,0.949
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl250_mr15_nv10_3,0.75,0.643,0.692,0.727,0.571,0.64,0.75,0.643,0.692
SIR01_sl250_mr15_nv10_16,0.812,0.565,0.667,0.8,0.522,0.632,0.8,0.522,0.632
SIR01_sl1000_mr15_nv10_5,1,0.8,0.889,0.9,0.9,0.9,1,0.8,0.889
SEIR015_sl1000_mr025_nv5_11,0.931,0.574,0.711,0.975,0.83,0.897,0.975,0.83,0.897
SEIR015_sl1000_mr025_nv5_13,0.957,0.71,0.815,0.964,0.871,0.915,0.929,0.839,0.881
SIR01_sl1000_mr15_nv10_10,0.846,0.688,0.759,0.769,0.625,0.69,0.75,0.656,0.7
SIR01_sl250_mr15_nv10_2,0.875,0.778,0.824,0.778,0.778,0.778,0.875,0.778,0.824
SEIR015_sl1000_mr025_nv20_15,1,0.667,0.8,0.952,0.833,0.889,0.947,0.75,0.837
SEIR015_sl1000_mr025_nv10_2,0.902,0.661,0.763,0.889,0.857,0.873,0.875,0.875,0.875
SIR01_sl1000_mr15_nv10_12,0.765,0.542,0.634,0.722,0.542,0.619,0.714,0.625,0.667
SEIR015_sl1000_mr05_nv10_11,0.5,0.375,0.429,0.6,0.375,0.462,0.6,0.375,0.462
SIR01_sl1000_mr15_nv5_20,0.929,0.765,0.839,0.833,0.882,0.857,0.833,0.882,0.857
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_6,0.955,0.7,0.808,0.906,0.967,0.935,0.906,0.967,0.935
SEIR015_sl1000_mr0125_nv10_16,0.873,0.762,0.814,0.891,0.778,0.831,0.893,0.794,0.84
SIR01_sl1000_mr3_nv10_16,0.926,0.781,0.847,0.926,0.781,0.847,0.926,0.781,0.847
SEIR01_sl1000_mr025_nv5_18,0.947,0.766,0.847,0.913,0.894,0.903,0.913,0.894,0.903
SIR003_sl250_mr05_nv10_11,0.625,0.417,0.5,0.625,0.417,0.5,0.625,0.417,0.5
SIR01_sl1000_mr3_nv10_9,1,0.552,0.711,0.895,0.586,0.708,0.895,0.586,0.708
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667,0.667,0.75,0.706,0.6,0.75,0.667
SIR003_sl1000_mr05_nv20_1,1,0.771,0.871,0.871,0.771,0.818,0.879,0.829,0.853
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913,0.87,0.87,0.87,0.87,0.87,0.87
SEIR01_sl500_mr025_nv10_6,0.939,0.868,0.902,0.911,0.962,0.936,0.895,0.962,0.927
SIR003_sl1000_mr025_nv10_19,0.783,0.75,0.766,0.68,0.708,0.694,0.68,0.708,0.694
SEIR015_sl1000_mr05_nv10_1,0.769,0.588,0.667,0.75,0.706,0.727,0.75,0.706,0.727
SIR003_sl1000_mr05_nv5_11,0.809,0.613,0.697,0.7,0.565,0.625,0.655,0.581,0.615
SIR01_sl500_mr15_nv10_11,0.923,0.706,0.8,0.722,0.765,0.743,0.722,0.765,0.743
SIR003_sl1000_mr05_nv5_14,0.895,0.586,0.708,0.773,0.586,0.667,0.63,0.586,0.607
SIR003_sl1000_mr025_nv10_2,0.889,0.842,0.865,0.75,0.789,0.769,0.895,0.895,0.895
SIR003_sl500_mr05_nv10_1,0.857,0.857,0.857,0.857,0.857,0.857,0.833,0.714,0.769
SEIR01_sl250_mr025_nv10_9,0.846,0.721,0.779,0.808,0.689,0.743,0.808,0.689,0.743
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1,1,1,1
SIR003_sl250_mr05_nv10_19,0.5,0.2,0.286,0.444,0.16,0.235,0.444,0.16,0.235
SEIR015_sl1000_mr05_nv10_5,0.875,0.636,0.737,0.818,0.818,0.818,0.818,0.818,0.818
SEIR015_sl1000_mr025_nv20_2,1,0.88,0.936,0.958,0.92,0.939,0.958,0.92,0.939
SEIR01_sl1000_mr0125_nv10_4,0.909,0.833,0.87,0.826,0.792,0.809,0.826,0.792,0.809
SEIR015_sl1000_mr025_nv20_19,0.538,0.636,0.583,0.467,0.636,0.538,0.467,0.636,0.538
SEIR015_sl1000_mr025_nv20_16,0.897,0.867,0.881,0.9,0.9,0.9,0.9,0.9,0.9
SIR01_sl500_mr15_nv10_19,0.833,0.556,0.667,0.75,0.667,0.706,0.773,0.63,0.694
SEIR015_sl500_mr025_nv10_1,0.667,0.6,0.632,0.727,0.8,0.762,0.727,0.8,0.762
SIR003_sl1000_mr025_nv10_12,0.907,0.796,0.848,0.796,0.796,0.796,0.796,0.796,0.796
SIR003_sl1000_mr05_nv5_8,0.929,0.52,0.667,0.636,0.56,0.596,0.636,0.56,0.596
SIR01_sl250_mr15_nv10_19,0.833,0.714,0.769,0.714,0.714,0.714,0.833,0.714,0.769
SIR003_sl1000_mr05_nv10_4,0.833,0.769,0.8,0.769,0.769,0.769,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_18,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769
SIR01_sl1000_mr15_nv5_11,0.714,0.556,0.625,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_13,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812
SEIR01_sl1000_mr0125_nv10_2,1,0.962,0.98,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_14,0.75,0.75,0.75,0.889,1,0.941,0.889,1,0.941
SIR003_sl500_mr05_nv10_11,0.8,0.667,0.727,0.667,0.667,0.667,0.8,0.667,0.727
SEIR015_sl1000_mr0125_nv10_18,0.778,0.7,0.737,0.889,0.8,0.842,0.889,0.8,0.842
SEIR01_sl500_mr025_nv10_2,0.714,0.625,0.667,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_6,0.955,0.7,0.808,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv5_5,1,0.636,0.778,1,0.636,0.778,1,0.636,0.778
SIR01_sl1000_mr15_nv20_19,0.911,0.804,0.854,0.898,0.863,0.88,0.88,0.863,0.871
SEIR01_sl1000_mr05_nv10_17,0.952,0.909,0.93,0.909,0.909,0.909,0.909,0.909,0.909
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.944,0.944,0.944,0.895,0.944,0.919,0.895,0.944,0.919
SEIR015_sl1000_mr025_nv10_17,0.862,0.658,0.746,0.892,0.868,0.88,0.892,0.868,0.88
SIR01_sl1000_mr15_nv10_16,0.75,0.857,0.8,0.714,0.714,0.714,0.714,0.714,0.714
SIR003_sl1000_mr05_nv20_18,0.871,0.711,0.783,0.811,0.789,0.8,0.811,0.789,0.8
SEIR015_sl1000_mr05_nv10_2,0.879,0.69,0.773,0.905,0.905,0.905,0.905,0.905,0.905
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SIR01_sl1000_mr15_nv20_3,1,0.4,0.571,0.6,0.6,0.6,0.6,0.6,0.6
SEIR015_sl1000_mr05_nv10_16,0.923,0.878,0.9,0.975,0.951,0.963,1,0.951,0.975
SIR01_sl1000_mr15_nv10_7,0.875,0.7,0.778,0.739,0.68,0.708,0.756,0.68,0.716
SIR003_sl1000_mr1_nv10_10,0.857,0.545,0.667,0.727,0.727,0.727,0.727,0.727,0.727
SIR01_sl1000_mr075_nv10_1,0.898,0.772,0.83,0.828,0.842,0.835,0.828,0.842,0.835
SIR01_sl1000_mr15_nv5_6,0.857,0.522,0.649,0.765,0.565,0.65,0.667,0.609,0.636
SEIR015_sl500_mr025_nv10_10,0.902,0.86,0.881,0.949,0.86,0.902,0.902,0.86,0.881
SEIR01_sl1000_mr025_nv20_1,0.903,0.875,0.889,0.8,0.875,0.836,0.8,0.875,0.836
SEIR015_sl1000_mr025_nv20_9,0.75,0.5,0.6,0.722,0.722,0.722,0.722,0.722,0.722
SEIR01_sl1000_mr025_nv10_14,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
SIR003_sl1000_mr05_nv20_12,0.812,0.709,0.757,0.812,0.709,0.757,0.812,0.709,0.757
SEIR01_sl1000_mr0125_nv10_15,0.955,0.875,0.913,0.958,0.958,0.958,0.958,0.958,0.958
SEIR015_sl1000_mr025_nv10_9,0.98,0.893,0.935,0.964,0.964,0.964,0.982,1,0.991
SIR01_sl1000_mr15_nv10_4,0.8,0.5,0.615,0.8,0.5,0.615,0.8,0.5,0.615
SEIR015_sl500_mr025_nv10_12,0.805,0.623,0.702,0.854,0.774,0.812,0.86,0.811,0.835
SEIR015_sl1000_mr025_nv10_12,1,0.4,0.571,1,0.5,0.667,1,0.5,0.667
SEIR01_sl1000_mr05_nv10_7,0.925,0.804,0.86,0.86,0.804,0.831,0.86,0.804,0.831
SIR01_sl1000_mr15_nv10_18,0.911,0.739,0.816,0.791,0.768,0.779,0.791,0.768,0.779
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1,1,1,1
SIR01_sl1000_mr075_nv10_20,0.8,0.667,0.727,0.7,0.7,0.7,0.7,0.7,0.7
SIR01_sl250_mr15_nv10_9,0.333,0.3,0.316,0.286,0.2,0.235,0.286,0.2,0.235
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv10_18,0.818,0.73,0.771,0.879,0.784,0.829,0.879,0.784,0.829
SIR01_sl1000_mr075_nv10_10,1,0.875,0.933,1,1,1,1,1,1
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr025_nv10_16,0.973,0.857,0.911,0.907,0.929,0.918,0.907,0.929,0.918
SIR01_sl1000_mr15_nv5_15,0.75,0.667,0.706,0.721,0.689,0.705,0.721,0.689,0.705
SEIR01_sl1000_mr0125_nv10_13,1,1,1,1,1,1,1,1,1
SIR003_sl1000_mr05_nv5_13,0.9,0.818,0.857,0.909,0.909,0.909,0.889,0.727,0.8
SIR003_sl1000_mr05_nv10_2,0.929,0.867,0.897,0.929,0.867,0.897,0.929,0.867,0.897
SIR003_sl500_mr05_nv10_16,0.778,0.583,0.667,0.615,0.667,0.64,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl250_mr025_nv10_8,0.935,0.853,0.892,0.903,0.824,0.862,0.903,0.824,0.862
SEIR015_sl250_mr025_nv10_20,0.714,0.758,0.735,0.73,0.818,0.771,0.73,0.818,0.771
SEIR01_sl250_mr025_nv10_1,0.75,0.667,0.706,0.763,0.644,0.699,0.763,0.644,0.699
SIR003_sl1000_mr05_nv5_4,1,0.786,0.88,0.929,0.929,0.929,0.929,0.929,0.929
SEIR015_sl500_mr025_nv10_13,0.76,0.679,0.717,0.774,0.857,0.814,0.75,0.857,0.8
SIR003_sl1000_mr05_nv20_13,0.881,0.685,0.771,0.722,0.722,0.722,0.704,0.704,0.704
SEIR01_sl1000_mr0125_nv10_3,0.946,0.921,0.933,0.902,0.974,0.937,0.925,0.974,0.949
SIR003_sl1000_mr025_nv10_3,1,0.731,0.844,1,0.731,0.844,1,0.731,0.844
SEIR01_sl1000_mr025_nv5_3,0.818,0.9,0.857,0.8,0.8,0.8,0.889,0.8,0.842
SIR01_sl500_mr15_nv10_17,0.833,0.769,0.8,0.833,0.769,0.8,0.846,0.846,0.846
SIR01_sl1000_mr3_nv10_8,1,0.6,0.75,0.875,0.7,0.778,0.778,0.7,0.737
SEIR01_sl1000_mr0125_nv10_6,0.976,0.833,0.899,0.917,0.917,0.917,0.917,0.917,0.917
SIR01_sl1000_mr075_nv10_19,0.75,0.273,0.4,0.571,0.364,0.444,0.571,0.364,0.444
SIR01_sl500_mr15_nv10_13,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_10,0.918,0.833,0.874,0.926,0.926,0.926,0.926,0.926,0.926
SIR003_sl1000_mr1_nv10_13,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl1000_mr025_nv5_10,0.952,0.606,0.741,0.962,0.758,0.847,0.963,0.788,0.867
SIR003_sl1000_mr1_nv10_11,0.778,0.7,0.737,0.8,0.8,0.8,0.727,0.8,0.762
SIR003_sl1000_mr05_nv5_7,0.843,0.581,0.688,0.616,0.608,0.612,0.616,0.608,0.612
SIR01_sl1000_mr3_nv10_2,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_13,0.952,0.8,0.87,0.94,0.94,0.94,0.94,0.94,0.94
SIR003_sl1000_mr1_nv10_2,0.772,0.698,0.733,0.683,0.683,0.683,0.683,0.683,0.683
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957,0.917,1,0.957
SEIR015_sl1000_mr025_nv20_14,0.9,0.818,0.857,0.955,0.955,0.955,0.955,0.955,0.955
SEIR015_sl500_mr025_nv10_9,0.75,0.818,0.783,0.636,0.636,0.636,0.636,0.636,0.636
SIR01_sl1000_mr15_nv5_10,1,0.727,0.842,1,0.727,0.842,1,0.727,0.842
SEIR015_sl1000_mr025_nv10_19,0.882,0.789,0.833,0.944,0.895,0.919,0.941,0.842,0.889
SEIR01_sl500_mr025_nv10_7,0.857,0.882,0.87,0.861,0.912,0.886,0.861,0.912,0.886
SEIR015_sl1000_mr0125_nv10_10,0.875,0.737,0.8,1,0.789,0.882,1,0.789,0.882
SEIR015_sl1000_mr025_nv10_6,0.974,0.804,0.881,0.915,0.935,0.925,0.915,0.935,0.925
