dataset,precision,recall,f1
SEIR01_sl1000_mr025_nv10_19,0.77,0.797,0.783
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.82,0.837,0.828
SEIR01_sl1000_mr025_nv10_4,0.887,0.904,0.895
SEIR01_sl1000_mr025_nv10_5,0.907,0.886,0.897
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.757,0.7,0.727
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.872,0.872,0.872
SEIR01_sl1000_mr025_nv20_1,0.882,0.938,0.909
SEIR01_sl1000_mr025_nv20_10,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.911,0.879,0.895
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.556,0.714,0.625
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.839,0.839,0.839
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.838,0.756,0.795
SEIR01_sl1000_mr025_nv5_10,0.867,0.788,0.825
SEIR01_sl1000_mr025_nv5_11,0.667,0.632,0.649
SEIR01_sl1000_mr025_nv5_12,0.842,0.842,0.842
SEIR01_sl1000_mr025_nv5_13,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_15,0.75,0.778,0.764
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.766,0.766,0.766
SEIR01_sl1000_mr025_nv5_19,0.914,0.914,0.914
SEIR01_sl1000_mr025_nv5_2,0.769,0.625,0.69
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_4,0.8,0.72,0.758
SEIR01_sl1000_mr025_nv5_5,0.717,0.745,0.731
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.846,0.846,0.846
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.706,0.75,0.727
SEIR01_sl1000_mr05_nv10_12,0.847,0.862,0.855
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.865,0.821,0.842
SEIR01_sl1000_mr05_nv10_15,0.812,0.812,0.812
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933
SEIR01_sl1000_mr05_nv10_18,0.821,0.821,0.821
SEIR01_sl1000_mr05_nv10_19,0.571,0.571,0.571
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.865,0.865,0.865
SEIR01_sl1000_mr05_nv10_3,0.84,0.84,0.84
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.85,0.85,0.85
SEIR01_sl1000_mr05_nv10_7,0.809,0.826,0.817
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.923,0.923,0.923
SEIR01_sl250_mr025_nv10_1,0.569,0.644,0.604
SEIR01_sl250_mr025_nv10_10,0.778,0.824,0.8
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722
SEIR01_sl250_mr025_nv10_12,0.771,0.86,0.813
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.5,0.543,0.521
SEIR01_sl250_mr025_nv10_15,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.475,0.63,0.542
SEIR01_sl250_mr025_nv10_17,0.154,0.25,0.19
SEIR01_sl250_mr025_nv10_18,0.667,0.75,0.706
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.625,0.714,0.667
SEIR01_sl250_mr025_nv10_20,0.6,0.667,0.632
SEIR01_sl250_mr025_nv10_3,0.71,0.815,0.759
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.653,0.78,0.711
SEIR01_sl250_mr025_nv10_6,0.586,0.773,0.667
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.694,0.82,0.752
SEIR01_sl500_mr025_nv10_1,0.556,0.5,0.526
SEIR01_sl500_mr025_nv10_10,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.873,0.941,0.906
SEIR01_sl500_mr025_nv10_13,0.636,0.7,0.667
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.787,0.828,0.807
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667
SEIR01_sl500_mr025_nv10_2,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.833,0.781,0.806
SEIR01_sl500_mr025_nv10_3,0.792,0.905,0.844
SEIR01_sl500_mr025_nv10_4,0.714,0.714,0.714
SEIR01_sl500_mr025_nv10_5,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_6,0.877,0.943,0.909
SEIR01_sl500_mr025_nv10_7,0.784,0.853,0.817
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_10,0.786,0.846,0.815
SIR003_sl1000_mr025_nv10_11,0.679,0.633,0.655
SIR003_sl1000_mr025_nv10_12,0.784,0.816,0.8
SIR003_sl1000_mr025_nv10_13,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.857,0.8,0.828
SIR003_sl1000_mr025_nv10_15,0.727,0.667,0.696
SIR003_sl1000_mr025_nv10_16,0.556,0.588,0.571
SIR003_sl1000_mr025_nv10_17,0.818,0.783,0.8
SIR003_sl1000_mr025_nv10_18,1,1,1
SIR003_sl1000_mr025_nv10_19,0.6,0.625,0.612
SIR003_sl1000_mr025_nv10_2,0.875,0.737,0.8
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.952,0.769,0.851
SIR003_sl1000_mr025_nv10_4,0.786,0.71,0.746
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857
SIR003_sl1000_mr025_nv10_6,0.682,0.652,0.667
SIR003_sl1000_mr025_nv10_7,0.562,0.562,0.562
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.643,0.643,0.643
SIR003_sl1000_mr05_nv10_1,0.688,0.647,0.667
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.606,0.571,0.588
SIR003_sl1000_mr05_nv10_12,0.852,0.836,0.844
SIR003_sl1000_mr05_nv10_13,0.815,0.786,0.8
SIR003_sl1000_mr05_nv10_14,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_16,0.808,0.84,0.824
SIR003_sl1000_mr05_nv10_17,0.615,0.571,0.593
SIR003_sl1000_mr05_nv10_18,0.652,0.652,0.652
SIR003_sl1000_mr05_nv10_19,0.757,0.757,0.757
SIR003_sl1000_mr05_nv10_2,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,0.6,0.333,0.429
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.545,0.522,0.533
SIR003_sl1000_mr05_nv10_6,0.591,0.619,0.605
SIR003_sl1000_mr05_nv10_7,0.826,0.826,0.826
SIR003_sl1000_mr05_nv10_8,0.739,0.739,0.739
SIR003_sl1000_mr05_nv10_9,0.64,0.533,0.582
SIR003_sl1000_mr05_nv20_1,0.771,0.771,0.771
SIR003_sl1000_mr05_nv20_10,0.915,0.827,0.869
SIR003_sl1000_mr05_nv20_11,0.667,0.4,0.5
SIR003_sl1000_mr05_nv20_12,0.731,0.691,0.71
SIR003_sl1000_mr05_nv20_13,0.78,0.722,0.75
SIR003_sl1000_mr05_nv20_14,1,1,1
SIR003_sl1000_mr05_nv20_15,0.778,0.737,0.757
SIR003_sl1000_mr05_nv20_16,0.75,0.698,0.723
SIR003_sl1000_mr05_nv20_17,0.761,0.7,0.729
SIR003_sl1000_mr05_nv20_18,0.757,0.737,0.747
SIR003_sl1000_mr05_nv20_19,0.743,0.703,0.722
SIR003_sl1000_mr05_nv20_2,0.711,0.653,0.681
SIR003_sl1000_mr05_nv20_20,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.692,0.692,0.692
SIR003_sl1000_mr05_nv20_4,0.844,0.844,0.844
SIR003_sl1000_mr05_nv20_5,0.762,0.667,0.711
SIR003_sl1000_mr05_nv20_6,0.786,0.786,0.786
SIR003_sl1000_mr05_nv20_7,0.75,0.75,0.75
SIR003_sl1000_mr05_nv20_8,0.63,0.63,0.63
SIR003_sl1000_mr05_nv20_9,0.8,0.8,0.8
SIR003_sl1000_mr05_nv5_1,0.722,0.743,0.732
SIR003_sl1000_mr05_nv5_10,0.78,0.78,0.78
SIR003_sl1000_mr05_nv5_11,0.724,0.677,0.7
SIR003_sl1000_mr05_nv5_12,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_13,0.833,0.909,0.87
SIR003_sl1000_mr05_nv5_14,0.586,0.586,0.586
SIR003_sl1000_mr05_nv5_15,0.742,0.742,0.742
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.652,0.625,0.638
SIR003_sl1000_mr05_nv5_18,0.875,0.875,0.875
SIR003_sl1000_mr05_nv5_19,0.576,0.559,0.567
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,0.643,0.692,0.667
SIR003_sl1000_mr05_nv5_3,0.625,0.625,0.625
SIR003_sl1000_mr05_nv5_4,0.857,0.857,0.857
SIR003_sl1000_mr05_nv5_5,0.7,0.636,0.667
SIR003_sl1000_mr05_nv5_6,0.5,0.455,0.476
SIR003_sl1000_mr05_nv5_7,0.738,0.649,0.691
SIR003_sl1000_mr05_nv5_8,0.647,0.44,0.524
SIR003_sl1000_mr05_nv5_9,0.52,0.542,0.531
SIR003_sl1000_mr1_nv10_1,0.812,0.765,0.788
SIR003_sl1000_mr1_nv10_10,0.556,0.455,0.5
SIR003_sl1000_mr1_nv10_11,0.7,0.7,0.7
SIR003_sl1000_mr1_nv10_12,0.5,0.519,0.509
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.771,0.75,0.761
SIR003_sl1000_mr1_nv10_15,0.727,0.727,0.727
SIR003_sl1000_mr1_nv10_16,0.706,0.6,0.649
SIR003_sl1000_mr1_nv10_17,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_18,0.788,0.788,0.788
SIR003_sl1000_mr1_nv10_19,0.705,0.672,0.688
SIR003_sl1000_mr1_nv10_2,0.705,0.683,0.694
SIR003_sl1000_mr1_nv10_20,0.746,0.725,0.735
SIR003_sl1000_mr1_nv10_3,0.826,0.826,0.826
SIR003_sl1000_mr1_nv10_4,0.857,0.828,0.842
SIR003_sl1000_mr1_nv10_5,0.714,0.556,0.625
SIR003_sl1000_mr1_nv10_6,0.7,0.7,0.7
SIR003_sl1000_mr1_nv10_7,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_8,0.839,0.743,0.788
SIR003_sl1000_mr1_nv10_9,0.857,0.667,0.75
SIR003_sl250_mr05_nv10_1,0.541,0.625,0.58
SIR003_sl250_mr05_nv10_10,0.455,0.526,0.488
SIR003_sl250_mr05_nv10_11,0.455,0.417,0.435
SIR003_sl250_mr05_nv10_12,0.429,0.462,0.444
SIR003_sl250_mr05_nv10_13,0.6,0.429,0.5
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,0.5,0.545,0.522
SIR003_sl250_mr05_nv10_17,0.674,0.689,0.681
SIR003_sl250_mr05_nv10_18,0.52,0.481,0.5
SIR003_sl250_mr05_nv10_19,0.37,0.4,0.385
SIR003_sl250_mr05_nv10_2,0.714,0.714,0.714
SIR003_sl250_mr05_nv10_20,0.578,0.634,0.605
SIR003_sl250_mr05_nv10_3,0.864,0.864,0.864
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8
SIR003_sl250_mr05_nv10_5,0.773,0.773,0.773
SIR003_sl250_mr05_nv10_6,0.781,0.758,0.769
SIR003_sl250_mr05_nv10_7,0.426,0.435,0.43
SIR003_sl250_mr05_nv10_8,0.474,0.529,0.5
SIR003_sl250_mr05_nv10_9,0.545,0.667,0.6
SIR003_sl500_mr05_nv10_1,0.714,0.714,0.714
SIR003_sl500_mr05_nv10_10,0.694,0.641,0.667
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.69,0.769,0.727
SIR003_sl500_mr05_nv10_13,0.762,0.667,0.711
SIR003_sl500_mr05_nv10_14,0.724,0.636,0.677
SIR003_sl500_mr05_nv10_15,0.842,0.842,0.842
SIR003_sl500_mr05_nv10_16,0.571,0.667,0.615
SIR003_sl500_mr05_nv10_17,0.8,0.8,0.8
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.638,0.617,0.627
SIR003_sl500_mr05_nv10_2,0.853,0.853,0.853
SIR003_sl500_mr05_nv10_20,0.625,0.625,0.625
SIR003_sl500_mr05_nv10_3,0.759,0.759,0.759
SIR003_sl500_mr05_nv10_4,0.773,0.654,0.708
SIR003_sl500_mr05_nv10_5,0.778,0.7,0.737
SIR003_sl500_mr05_nv10_6,0.789,0.714,0.75
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.6,0.6,0.6
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.828,0.842,0.835
SIR01_sl1000_mr075_nv10_10,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_11,1,1,1
SIR01_sl1000_mr075_nv10_12,0.8,0.8,0.8
SIR01_sl1000_mr075_nv10_13,0.643,0.643,0.643
SIR01_sl1000_mr075_nv10_14,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_15,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.789,0.833,0.811
SIR01_sl1000_mr075_nv10_17,0.676,0.648,0.662
SIR01_sl1000_mr075_nv10_18,0.818,0.818,0.818
SIR01_sl1000_mr075_nv10_19,0.6,0.545,0.571
SIR01_sl1000_mr075_nv10_2,0.727,0.727,0.727
