dataset,precision,recall,f1
SEIR015_sl1000_mr025_nv5_3,0.536,0.556,0.545
SEIR015_sl1000_mr025_nv5_4,0.66,0.7,0.68
SEIR015_sl1000_mr025_nv5_5,0.522,0.571,0.545
SEIR015_sl1000_mr025_nv5_6,0.377,0.419,0.397
SEIR015_sl1000_mr025_nv5_7,0.769,0.769,0.769
SEIR015_sl1000_mr025_nv5_8,0.652,0.652,0.652
SEIR015_sl1000_mr025_nv5_9,0.477,0.525,0.5
SEIR015_sl1000_mr05_nv10_1,0.647,0.647,0.647
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.3,0.375,0.333
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.918,0.918,0.918
SEIR015_sl1000_mr05_nv10_14,0.549,0.609,0.577
SEIR015_sl1000_mr05_nv10_15,0.75,0.818,0.783
SEIR015_sl1000_mr05_nv10_16,0.787,0.902,0.841
SEIR015_sl1000_mr05_nv10_17,0.766,0.855,0.808
SEIR015_sl1000_mr05_nv10_18,0.711,0.78,0.744
SEIR015_sl1000_mr05_nv10_19,0.667,0.75,0.706
SEIR015_sl1000_mr05_nv10_2,0.762,0.762,0.762
SEIR015_sl1000_mr05_nv10_20,0.345,0.463,0.396
SEIR015_sl1000_mr05_nv10_3,0.833,0.893,0.862
SEIR015_sl1000_mr05_nv10_4,0.486,0.562,0.522
SEIR015_sl1000_mr05_nv10_5,0.636,0.636,0.636
SEIR015_sl1000_mr05_nv10_6,0.688,0.733,0.71
SEIR015_sl1000_mr05_nv10_7,0.421,0.615,0.5
SEIR015_sl1000_mr05_nv10_8,0.725,0.806,0.763
SEIR015_sl1000_mr05_nv10_9,0.562,0.6,0.581
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651
SEIR015_sl250_mr025_nv10_10,0.402,0.593,0.479
SEIR015_sl250_mr025_nv10_11,0.5,0.647,0.564
SEIR015_sl250_mr025_nv10_12,0.54,0.791,0.642
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667
SEIR015_sl250_mr025_nv10_14,0.364,0.64,0.464
SEIR015_sl250_mr025_nv10_15,0.552,0.653,0.598
SEIR015_sl250_mr025_nv10_16,0.103,0.222,0.141
SEIR015_sl250_mr025_nv10_17,0.571,0.667,0.615
SEIR015_sl250_mr025_nv10_18,0.333,0.545,0.414
SEIR015_sl250_mr025_nv10_19,0.581,0.676,0.625
SEIR015_sl250_mr025_nv10_2,0.273,0.409,0.327
SEIR015_sl250_mr025_nv10_20,0.533,0.727,0.615
SEIR015_sl250_mr025_nv10_3,0.545,0.8,0.649
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.525,0.6,0.56
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.71,0.815,0.759
SEIR015_sl250_mr025_nv10_9,0.579,0.733,0.647
SEIR015_sl500_mr025_nv10_1,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.889,0.93,0.909
SEIR015_sl500_mr025_nv10_11,0.5,0.625,0.556
SEIR015_sl500_mr025_nv10_12,0.619,0.736,0.672
SEIR015_sl500_mr025_nv10_13,0.459,0.607,0.523
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.77,0.81,0.79
SEIR015_sl500_mr025_nv10_16,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727
SEIR015_sl500_mr025_nv10_18,0.741,0.769,0.755
SEIR015_sl500_mr025_nv10_19,1,1,1
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.735,0.781,0.758
SEIR015_sl500_mr025_nv10_3,0.674,0.784,0.725
SEIR015_sl500_mr025_nv10_4,0.577,0.732,0.645
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.479,0.565,0.519
SEIR015_sl500_mr025_nv10_8,0.605,0.776,0.68
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703
SEIR01_sl1000_mr0125_nv10_10,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_15,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.851,0.889,0.87
SEIR01_sl1000_mr0125_nv10_19,0.871,0.9,0.885
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.96,0.96,0.96
SEIR01_sl1000_mr0125_nv10_3,0.895,0.895,0.895
SEIR01_sl1000_mr0125_nv10_4,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.854,0.854,0.854
SEIR01_sl1000_mr0125_nv10_7,0.897,0.897,0.897
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.896,0.915,0.905
SEIR01_sl1000_mr025_nv10_1,0.893,0.893,0.893
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.919,0.971,0.944
SEIR01_sl1000_mr025_nv10_12,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv10_13,0.714,0.75,0.732
SEIR01_sl1000_mr025_nv10_14,0.829,0.853,0.841
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.881,0.881,0.881
SEIR01_sl1000_mr025_nv10_17,0.689,0.689,0.689
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.705,0.729,0.717
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.765,0.765,0.765
SEIR01_sl1000_mr025_nv10_3,0.84,0.857,0.848
SEIR01_sl1000_mr025_nv10_4,0.83,0.846,0.838
SEIR01_sl1000_mr025_nv10_5,0.886,0.886,0.886
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.7,0.7,0.7
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.83,0.83,0.83
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.862,0.862,0.862
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.556,0.714,0.625
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.812,0.839,0.825
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_1,0.805,0.805,0.805
SEIR01_sl1000_mr025_nv5_10,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv5_11,0.619,0.684,0.65
SEIR01_sl1000_mr025_nv5_12,0.842,0.842,0.842
SEIR01_sl1000_mr025_nv5_13,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_15,0.75,0.778,0.764
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.745,0.745,0.745
SEIR01_sl1000_mr025_nv5_19,0.914,0.914,0.914
SEIR01_sl1000_mr025_nv5_2,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_4,0.74,0.74,0.74
SEIR01_sl1000_mr025_nv5_5,0.63,0.667,0.648
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.87,0.87,0.87
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.846,0.846,0.846
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.743,0.812,0.776
SEIR01_sl1000_mr05_nv10_12,0.915,0.931,0.923
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.718,0.718,0.718
SEIR01_sl1000_mr05_nv10_15,0.812,0.812,0.812
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933
SEIR01_sl1000_mr05_nv10_18,0.793,0.821,0.807
SEIR01_sl1000_mr05_nv10_19,0.286,0.286,0.286
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.887,0.904,0.895
SEIR01_sl1000_mr05_nv10_3,0.84,0.84,0.84
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.85,0.85,0.85
SEIR01_sl1000_mr05_nv10_7,0.826,0.826,0.826
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.926,0.962,0.943
SEIR01_sl250_mr025_nv10_1,0.537,0.644,0.586
SEIR01_sl250_mr025_nv10_10,0.667,0.706,0.686
SEIR01_sl250_mr025_nv10_11,0.7,0.875,0.778
SEIR01_sl250_mr025_nv10_12,0.771,0.86,0.813
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.481,0.543,0.51
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706
SEIR01_sl250_mr025_nv10_16,0.46,0.63,0.532
SEIR01_sl250_mr025_nv10_17,0.143,0.25,0.182
SEIR01_sl250_mr025_nv10_18,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.647,0.786,0.71
SEIR01_sl250_mr025_nv10_20,0.6,0.667,0.632
SEIR01_sl250_mr025_nv10_3,0.71,0.815,0.759
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.653,0.78,0.711
SEIR01_sl250_mr025_nv10_6,0.533,0.727,0.615
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.694,0.82,0.752
SEIR01_sl500_mr025_nv10_1,0.455,0.5,0.476
SEIR01_sl500_mr025_nv10_10,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.891,0.961,0.925
SEIR01_sl500_mr025_nv10_13,0.682,0.75,0.714
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.767,0.793,0.78
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.429,0.5,0.462
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667
SEIR01_sl500_mr025_nv10_2,0.625,0.625,0.625
SEIR01_sl500_mr025_nv10_20,0.812,0.812,0.812
SEIR01_sl500_mr025_nv10_3,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_4,0.857,0.857,0.857
SEIR01_sl500_mr025_nv10_5,0.667,0.8,0.727
SEIR01_sl500_mr025_nv10_6,0.845,0.925,0.883
SEIR01_sl500_mr025_nv10_7,0.806,0.853,0.829
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_10,0.786,0.846,0.815
SIR003_sl1000_mr025_nv10_11,0.633,0.633,0.633
SIR003_sl1000_mr025_nv10_12,0.837,0.837,0.837
SIR003_sl1000_mr025_nv10_13,0.545,0.545,0.545
SIR003_sl1000_mr025_nv10_14,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_15,0.583,0.583,0.583
SIR003_sl1000_mr025_nv10_16,0.667,0.706,0.686
SIR003_sl1000_mr025_nv10_17,0.75,0.783,0.766
SIR003_sl1000_mr025_nv10_18,1,1,1
SIR003_sl1000_mr025_nv10_19,0.64,0.667,0.653
SIR003_sl1000_mr025_nv10_2,0.75,0.789,0.769
SIR003_sl1000_mr025_nv10_20,0.556,0.556,0.556
SIR003_sl1000_mr025_nv10_3,0.815,0.846,0.83
SIR003_sl1000_mr025_nv10_4,0.871,0.871,0.871
SIR003_sl1000_mr025_nv10_5,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.652,0.652,0.652
SIR003_sl1000_mr025_nv10_7,0.625,0.625,0.625
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.643,0.643,0.643
SIR003_sl1000_mr05_nv10_1,0.824,0.824,0.824
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.571,0.571,0.571
SIR003_sl1000_mr05_nv10_12,0.818,0.818,0.818
SIR003_sl1000_mr05_nv10_13,0.75,0.75,0.75
SIR003_sl1000_mr05_nv10_14,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_16,0.808,0.84,0.824
SIR003_sl1000_mr05_nv10_17,0.429,0.429,0.429
SIR003_sl1000_mr05_nv10_18,0.696,0.696,0.696
SIR003_sl1000_mr05_nv10_19,0.757,0.757,0.757
SIR003_sl1000_mr05_nv10_2,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,0.889,0.889,0.889
SIR003_sl1000_mr05_nv10_3,0.8,0.8,0.8
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.532,0.543,0.538
SIR003_sl1000_mr05_nv10_6,0.682,0.714,0.698
SIR003_sl1000_mr05_nv10_7,0.826,0.826,0.826
SIR003_sl1000_mr05_nv10_8,0.681,0.696,0.688
SIR003_sl1000_mr05_nv10_9,0.533,0.533,0.533
SIR003_sl1000_mr05_nv20_1,0.703,0.743,0.722
SIR003_sl1000_mr05_nv20_10,0.827,0.827,0.827
SIR003_sl1000_mr05_nv20_11,0.4,0.4,0.4
SIR003_sl1000_mr05_nv20_12,0.691,0.691,0.691
SIR003_sl1000_mr05_nv20_13,0.741,0.741,0.741
SIR003_sl1000_mr05_nv20_14,1,1,1
SIR003_sl1000_mr05_nv20_15,0.789,0.789,0.789
SIR003_sl1000_mr05_nv20_16,0.727,0.744,0.736
SIR003_sl1000_mr05_nv20_17,0.74,0.74,0.74
SIR003_sl1000_mr05_nv20_18,0.711,0.711,0.711
SIR003_sl1000_mr05_nv20_19,0.73,0.73,0.73
SIR003_sl1000_mr05_nv20_2,0.673,0.673,0.673
SIR003_sl1000_mr05_nv20_20,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.692,0.692,0.692
SIR003_sl1000_mr05_nv20_4,0.875,0.875,0.875
SIR003_sl1000_mr05_nv20_5,0.667,0.667,0.667
SIR003_sl1000_mr05_nv20_6,0.786,0.786,0.786
SIR003_sl1000_mr05_nv20_7,0.75,0.75,0.75
SIR003_sl1000_mr05_nv20_8,0.63,0.63,0.63
SIR003_sl1000_mr05_nv20_9,0.775,0.775,0.775
SIR003_sl1000_mr05_nv5_1,0.722,0.743,0.732
SIR003_sl1000_mr05_nv5_10,0.756,0.756,0.756
SIR003_sl1000_mr05_nv5_11,0.645,0.645,0.645
SIR003_sl1000_mr05_nv5_12,1,1,1
SIR003_sl1000_mr05_nv5_13,0.833,0.909,0.87
SIR003_sl1000_mr05_nv5_14,0.586,0.586,0.586
SIR003_sl1000_mr05_nv5_15,0.71,0.71,0.71
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.583,0.583,0.583
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812
SIR003_sl1000_mr05_nv5_19,0.543,0.559,0.551
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,0.643,0.692,0.667
SIR003_sl1000_mr05_nv5_3,0.625,0.625,0.625
SIR003_sl1000_mr05_nv5_4,0.857,0.857,0.857
SIR003_sl1000_mr05_nv5_5,0.727,0.727,0.727
SIR003_sl1000_mr05_nv5_6,0.364,0.364,0.364
SIR003_sl1000_mr05_nv5_7,0.635,0.635,0.635
SIR003_sl1000_mr05_nv5_8,0.44,0.44,0.44
SIR003_sl1000_mr05_nv5_9,0.6,0.625,0.612
SIR003_sl1000_mr1_nv10_1,0.765,0.765,0.765
SIR003_sl1000_mr1_nv10_10,0.545,0.545,0.545
SIR003_sl1000_mr1_nv10_11,0.7,0.7,0.7
SIR003_sl1000_mr1_nv10_12,0.5,0.519,0.509
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_15,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.667,0.7,0.683
SIR003_sl1000_mr1_nv10_17,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_18,0.788,0.788,0.788
SIR003_sl1000_mr1_nv10_19,0.766,0.766,0.766
SIR003_sl1000_mr1_nv10_2,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_20,0.71,0.71,0.71
SIR003_sl1000_mr1_nv10_3,0.696,0.696,0.696
SIR003_sl1000_mr1_nv10_4,0.793,0.793,0.793
SIR003_sl1000_mr1_nv10_5,0.556,0.556,0.556
SIR003_sl1000_mr1_nv10_6,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_7,0.625,0.625,0.625
SIR003_sl1000_mr1_nv10_8,0.743,0.743,0.743
SIR003_sl1000_mr1_nv10_9,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_1,0.514,0.594,0.551
SIR003_sl250_mr05_nv10_10,0.455,0.526,0.488
SIR003_sl250_mr05_nv10_11,0.385,0.417,0.4
SIR003_sl250_mr05_nv10_12,0.429,0.462,0.444
SIR003_sl250_mr05_nv10_13,0.429,0.429,0.429
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.667,0.75,0.706
SIR003_sl250_mr05_nv10_16,0.5,0.545,0.522
SIR003_sl250_mr05_nv10_17,0.688,0.733,0.71
SIR003_sl250_mr05_nv10_18,0.467,0.519,0.491
SIR003_sl250_mr05_nv10_19,0.345,0.4,0.37
SIR003_sl250_mr05_nv10_2,0.714,0.714,0.714
SIR003_sl250_mr05_nv10_20,0.587,0.659,0.621
SIR003_sl250_mr05_nv10_3,0.864,0.864,0.864
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8
SIR003_sl250_mr05_nv10_5,0.696,0.727,0.711
SIR003_sl250_mr05_nv10_6,0.765,0.788,0.776
SIR003_sl250_mr05_nv10_7,0.442,0.5,0.469
SIR003_sl250_mr05_nv10_8,0.474,0.529,0.5
SIR003_sl250_mr05_nv10_9,0.545,0.667,0.6
SIR003_sl500_mr05_nv10_1,0.857,0.857,0.857
SIR003_sl500_mr05_nv10_10,0.561,0.59,0.575
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.643,0.692,0.667
SIR003_sl500_mr05_nv10_13,0.729,0.729,0.729
SIR003_sl500_mr05_nv10_14,0.606,0.606,0.606
SIR003_sl500_mr05_nv10_15,0.842,0.842,0.842
SIR003_sl500_mr05_nv10_16,0.5,0.583,0.538
SIR003_sl500_mr05_nv10_17,0.636,0.7,0.667
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.633,0.633,0.633
SIR003_sl500_mr05_nv10_2,0.824,0.824,0.824
SIR003_sl500_mr05_nv10_20,0.5,0.5,0.5
SIR003_sl500_mr05_nv10_3,0.759,0.759,0.759
SIR003_sl500_mr05_nv10_4,0.63,0.654,0.642
SIR003_sl500_mr05_nv10_5,0.545,0.6,0.571
SIR003_sl500_mr05_nv10_6,0.667,0.667,0.667
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.625,0.667,0.645
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.759,0.772,0.765
SIR01_sl1000_mr075_nv10_10,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_11,1,1,1
SIR01_sl1000_mr075_nv10_12,0.867,0.867,0.867
SIR01_sl1000_mr075_nv10_13,0.643,0.643,0.643
SIR01_sl1000_mr075_nv10_14,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_15,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_17,0.597,0.606,0.601
SIR01_sl1000_mr075_nv10_18,0.909,0.909,0.909
SIR01_sl1000_mr075_nv10_19,0.455,0.455,0.455
