dataset,precision,recall,f1
SIR01_sl1000_mr075_nv10_2,0.636,0.636,0.636
SIR01_sl1000_mr075_nv10_20,0.594,0.633,0.613
SIR01_sl1000_mr075_nv10_3,0.636,0.636,0.636
SIR01_sl1000_mr075_nv10_4,0.769,0.789,0.779
SIR01_sl1000_mr075_nv10_5,0.727,0.75,0.738
SIR01_sl1000_mr075_nv10_6,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,0.875,0.875,0.875
SIR01_sl1000_mr075_nv10_8,0.688,0.688,0.688
SIR01_sl1000_mr075_nv10_9,0.63,0.63,0.63
SIR01_sl1000_mr15_nv10_1,0.585,0.603,0.594
SIR01_sl1000_mr15_nv10_10,0.676,0.719,0.697
SIR01_sl1000_mr15_nv10_11,0.583,0.583,0.583
SIR01_sl1000_mr15_nv10_12,0.583,0.583,0.583
SIR01_sl1000_mr15_nv10_13,0.647,0.647,0.647
SIR01_sl1000_mr15_nv10_14,1,1,1
SIR01_sl1000_mr15_nv10_15,0.526,0.526,0.526
SIR01_sl1000_mr15_nv10_16,0.75,0.857,0.8
SIR01_sl1000_mr15_nv10_17,0.75,0.75,0.75
SIR01_sl1000_mr15_nv10_18,0.714,0.725,0.719
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_2,0.692,0.692,0.692
SIR01_sl1000_mr15_nv10_20,0.7,0.778,0.737
SIR01_sl1000_mr15_nv10_3,0.783,0.797,0.79
SIR01_sl1000_mr15_nv10_4,0.75,0.75,0.75
SIR01_sl1000_mr15_nv10_5,0.7,0.7,0.7
SIR01_sl1000_mr15_nv10_6,0.571,0.571,0.571
SIR01_sl1000_mr15_nv10_7,0.706,0.72,0.713
SIR01_sl1000_mr15_nv10_8,0.7,0.7,0.7
SIR01_sl1000_mr15_nv10_9,0.667,0.667,0.667
SIR01_sl1000_mr15_nv20_1,0.636,0.656,0.646
SIR01_sl1000_mr15_nv20_10,0.769,0.769,0.769
SIR01_sl1000_mr15_nv20_11,0.8,0.814,0.807
SIR01_sl1000_mr15_nv20_12,0.6,0.6,0.6
SIR01_sl1000_mr15_nv20_13,0.833,0.833,0.833
SIR01_sl1000_mr15_nv20_14,0.4,0.4,0.4
SIR01_sl1000_mr15_nv20_15,0.5,0.5,0.5
SIR01_sl1000_mr15_nv20_16,0.857,0.857,0.857
SIR01_sl1000_mr15_nv20_17,0.786,0.786,0.786
SIR01_sl1000_mr15_nv20_18,0.871,0.9,0.885
SIR01_sl1000_mr15_nv20_19,0.863,0.863,0.863
SIR01_sl1000_mr15_nv20_2,0.7,0.7,0.7
SIR01_sl1000_mr15_nv20_20,0.857,0.857,0.857
SIR01_sl1000_mr15_nv20_3,0.8,0.8,0.8
SIR01_sl1000_mr15_nv20_4,0.739,0.739,0.739
SIR01_sl1000_mr15_nv20_5,0.8,0.8,0.8
SIR01_sl1000_mr15_nv20_6,0.667,0.75,0.706
SIR01_sl1000_mr15_nv20_7,0.75,0.75,0.75
SIR01_sl1000_mr15_nv20_8,0.792,0.792,0.792
SIR01_sl1000_mr15_nv20_9,0.769,0.769,0.769
SIR01_sl1000_mr15_nv5_1,0.75,0.75,0.75
SIR01_sl1000_mr15_nv5_10,0.727,0.727,0.727
SIR01_sl1000_mr15_nv5_11,0.778,0.778,0.778
SIR01_sl1000_mr15_nv5_12,0.565,0.565,0.565
SIR01_sl1000_mr15_nv5_13,0.706,0.75,0.727
SIR01_sl1000_mr15_nv5_14,0.652,0.682,0.667
SIR01_sl1000_mr15_nv5_15,0.6,0.6,0.6
SIR01_sl1000_mr15_nv5_16,0.6,0.667,0.632
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,0.889,0.889,0.889
SIR01_sl1000_mr15_nv5_19,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_2,0.667,0.686,0.676
SIR01_sl1000_mr15_nv5_20,0.765,0.765,0.765
SIR01_sl1000_mr15_nv5_3,0.5,0.556,0.526
SIR01_sl1000_mr15_nv5_4,0.6,0.6,0.6
SIR01_sl1000_mr15_nv5_5,0.455,0.455,0.455
SIR01_sl1000_mr15_nv5_6,0.565,0.565,0.565
SIR01_sl1000_mr15_nv5_7,0.5,0.5,0.5
SIR01_sl1000_mr15_nv5_8,0.375,0.375,0.375
SIR01_sl1000_mr15_nv5_9,0.532,0.532,0.532
SIR01_sl1000_mr3_nv10_1,0.8,0.8,0.8
SIR01_sl1000_mr3_nv10_10,0.889,0.889,0.889
SIR01_sl1000_mr3_nv10_11,0.655,0.667,0.661
SIR01_sl1000_mr3_nv10_12,0.735,0.735,0.735
SIR01_sl1000_mr3_nv10_13,0.667,0.667,0.667
SIR01_sl1000_mr3_nv10_14,0.759,0.786,0.772
SIR01_sl1000_mr3_nv10_15,0.444,0.444,0.444
SIR01_sl1000_mr3_nv10_16,0.75,0.75,0.75
SIR01_sl1000_mr3_nv10_17,0.9,0.9,0.9
SIR01_sl1000_mr3_nv10_18,0.75,0.75,0.75
SIR01_sl1000_mr3_nv10_19,0.484,0.5,0.492
SIR01_sl1000_mr3_nv10_2,0.889,0.889,0.889
SIR01_sl1000_mr3_nv10_20,0.667,0.667,0.667
SIR01_sl1000_mr3_nv10_3,0.75,0.75,0.75
SIR01_sl1000_mr3_nv10_4,1,1,1
SIR01_sl1000_mr3_nv10_5,0.714,0.714,0.714
SIR01_sl1000_mr3_nv10_6,0.618,0.63,0.624
SIR01_sl1000_mr3_nv10_7,0.609,0.609,0.609
SIR01_sl1000_mr3_nv10_8,0.7,0.7,0.7
SIR01_sl1000_mr3_nv10_9,0.724,0.724,0.724
SIR01_sl250_mr15_nv10_1,0.571,0.706,0.632
SIR01_sl250_mr15_nv10_10,0.683,0.732,0.707
SIR01_sl250_mr15_nv10_11,0.462,0.5,0.48
SIR01_sl250_mr15_nv10_12,0.458,0.579,0.512
SIR01_sl250_mr15_nv10_13,0.333,0.385,0.357
SIR01_sl250_mr15_nv10_14,0.556,0.667,0.606
SIR01_sl250_mr15_nv10_15,0.444,0.5,0.471
SIR01_sl250_mr15_nv10_16,0.593,0.696,0.64
SIR01_sl250_mr15_nv10_17,1,1,1
SIR01_sl250_mr15_nv10_18,0.577,0.75,0.652
SIR01_sl250_mr15_nv10_19,0.75,0.857,0.8
SIR01_sl250_mr15_nv10_2,0.545,0.667,0.6
SIR01_sl250_mr15_nv10_20,0.375,0.429,0.4
SIR01_sl250_mr15_nv10_3,0.444,0.571,0.5
SIR01_sl250_mr15_nv10_4,0.462,0.5,0.48
SIR01_sl250_mr15_nv10_5,0.7,0.778,0.737
SIR01_sl250_mr15_nv10_6,0.392,0.465,0.426
SIR01_sl250_mr15_nv10_7,0.553,0.634,0.591
SIR01_sl250_mr15_nv10_8,0.7,0.778,0.737
SIR01_sl250_mr15_nv10_9,0.429,0.6,0.5
SIR01_sl500_mr15_nv10_1,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_10,0.462,0.462,0.462
SIR01_sl500_mr15_nv10_11,0.706,0.706,0.706
SIR01_sl500_mr15_nv10_12,0.5,0.667,0.571
SIR01_sl500_mr15_nv10_13,0.571,0.571,0.571
SIR01_sl500_mr15_nv10_14,0.615,0.615,0.615
SIR01_sl500_mr15_nv10_15,0.688,0.733,0.71
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.714,0.769,0.741
SIR01_sl500_mr15_nv10_18,0.5,0.52,0.51
SIR01_sl500_mr15_nv10_19,0.621,0.667,0.643
SIR01_sl500_mr15_nv10_2,0.609,0.667,0.636
SIR01_sl500_mr15_nv10_20,0.72,0.72,0.72
SIR01_sl500_mr15_nv10_3,0.6,0.632,0.615
SIR01_sl500_mr15_nv10_4,0.816,0.816,0.816
SIR01_sl500_mr15_nv10_5,0.722,0.75,0.736
SIR01_sl500_mr15_nv10_6,1,1,1
SIR01_sl500_mr15_nv10_7,0.625,0.714,0.667
SIR01_sl500_mr15_nv10_8,0.556,0.625,0.588
SIR01_sl500_mr15_nv10_9,0.759,0.772,0.765
,0.676778571428571,0.716319642857143,0.694583928571429
