dataset,precision,recall,f1
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885
SEIR015_sl1000_mr025_nv20_17,0.86,0.875,0.867
SEIR015_sl1000_mr025_nv20_18,0.609,0.718,0.659
SEIR015_sl1000_mr025_nv20_19,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.815,0.88,0.846
SEIR015_sl1000_mr025_nv20_20,0.667,0.632,0.649
SEIR015_sl1000_mr025_nv20_3,0.706,0.727,0.716
SEIR015_sl1000_mr025_nv20_4,0.882,0.909,0.896
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949
SEIR015_sl1000_mr025_nv20_6,0.795,0.921,0.854
SEIR015_sl1000_mr025_nv20_7,0.912,0.861,0.886
SEIR015_sl1000_mr025_nv20_8,0.617,0.746,0.676
SEIR015_sl1000_mr025_nv20_9,0.737,0.778,0.757
SEIR015_sl1000_mr025_nv5_1,0.818,0.643,0.72
SEIR015_sl1000_mr025_nv5_10,0.697,0.639,0.667
SEIR015_sl1000_mr025_nv5_11,0.804,0.787,0.796
SEIR015_sl1000_mr025_nv5_12,0.5,0.364,0.421
SEIR015_sl1000_mr025_nv5_13,0.931,0.871,0.9
SEIR015_sl1000_mr025_nv5_14,0.647,0.733,0.688
SEIR015_sl1000_mr025_nv5_15,0.701,0.723,0.712
SEIR015_sl1000_mr025_nv5_16,0.864,0.731,0.792
SEIR015_sl1000_mr025_nv5_17,0.833,0.854,0.843
SEIR015_sl1000_mr025_nv5_18,0.688,0.6,0.641
SEIR015_sl1000_mr025_nv5_19,0.333,0.455,0.385
SEIR015_sl1000_mr025_nv5_2,0.857,0.667,0.75
SEIR015_sl1000_mr025_nv5_20,0.711,0.659,0.684
SEIR015_sl1000_mr025_nv5_3,0.583,0.519,0.549
SEIR015_sl1000_mr025_nv5_4,0.795,0.7,0.745
SEIR015_sl1000_mr025_nv5_5,0.632,0.571,0.6
SEIR015_sl1000_mr025_nv5_6,0.448,0.419,0.433
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846
SEIR015_sl1000_mr025_nv5_8,0.773,0.739,0.756
SEIR015_sl1000_mr025_nv5_9,0.581,0.625,0.602
SEIR015_sl1000_mr05_nv10_1,0.688,0.647,0.667
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.375,0.353
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.934,0.934,0.934
SEIR015_sl1000_mr05_nv10_14,0.83,0.848,0.839
SEIR015_sl1000_mr05_nv10_15,0.727,0.727,0.727
SEIR015_sl1000_mr05_nv10_16,0.8,0.878,0.837
SEIR015_sl1000_mr05_nv10_17,0.769,0.87,0.816
SEIR015_sl1000_mr05_nv10_18,0.711,0.78,0.744
SEIR015_sl1000_mr05_nv10_19,0.784,0.906,0.841
SEIR015_sl1000_mr05_nv10_2,0.921,0.833,0.875
SEIR015_sl1000_mr05_nv10_20,0.45,0.439,0.444
SEIR015_sl1000_mr05_nv10_3,0.857,0.857,0.857
SEIR015_sl1000_mr05_nv10_4,0.514,0.594,0.551
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.897,0.867,0.881
SEIR015_sl1000_mr05_nv10_7,0.45,0.692,0.545
SEIR015_sl1000_mr05_nv10_8,0.775,0.861,0.816
SEIR015_sl1000_mr05_nv10_9,0.625,0.667,0.645
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651
SEIR015_sl250_mr025_nv10_10,0.5,0.661,0.569
SEIR015_sl250_mr025_nv10_11,0.535,0.676,0.597
SEIR015_sl250_mr025_nv10_12,0.516,0.767,0.617
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667
SEIR015_sl250_mr025_nv10_14,0.364,0.64,0.464
SEIR015_sl250_mr025_nv10_15,0.585,0.633,0.608
SEIR015_sl250_mr025_nv10_16,0.163,0.296,0.211
SEIR015_sl250_mr025_nv10_17,0.571,0.667,0.615
SEIR015_sl250_mr025_nv10_18,0.294,0.455,0.357
SEIR015_sl250_mr025_nv10_19,0.625,0.676,0.649
SEIR015_sl250_mr025_nv10_2,0.296,0.364,0.327
SEIR015_sl250_mr025_nv10_20,0.533,0.727,0.615
SEIR015_sl250_mr025_nv10_3,0.545,0.8,0.649
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.525,0.6,0.56
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.808,0.778,0.792
SEIR015_sl250_mr025_nv10_9,0.684,0.867,0.765
SEIR015_sl500_mr025_nv10_1,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.867,0.907,0.886
SEIR015_sl500_mr025_nv10_11,0.364,0.5,0.421
SEIR015_sl500_mr025_nv10_12,0.672,0.736,0.703
SEIR015_sl500_mr025_nv10_13,0.472,0.607,0.531
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.782,0.741,0.761
SEIR015_sl500_mr025_nv10_16,0.769,0.833,0.8
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727
SEIR015_sl500_mr025_nv10_18,0.76,0.731,0.745
SEIR015_sl500_mr025_nv10_19,1,1,1
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.754,0.812,0.782
SEIR015_sl500_mr025_nv10_3,0.714,0.811,0.759
SEIR015_sl500_mr025_nv10_4,0.596,0.683,0.636
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.508,0.532,0.52
SEIR015_sl500_mr025_nv10_8,0.662,0.731,0.695
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.722,0.722,0.722
SEIR01_sl1000_mr0125_nv10_10,0.852,0.852,0.852
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_15,0.826,0.792,0.809
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.87,0.889,0.879
SEIR01_sl1000_mr0125_nv10_19,0.867,0.867,0.867
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.92,0.92,0.92
SEIR01_sl1000_mr0125_nv10_3,0.895,0.895,0.895
SEIR01_sl1000_mr0125_nv10_4,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.872,0.854,0.863
SEIR01_sl1000_mr0125_nv10_7,0.895,0.872,0.883
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.958,0.979,0.968
SEIR01_sl1000_mr025_nv10_1,0.893,0.893,0.893
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.865,0.914,0.889
SEIR01_sl1000_mr025_nv10_12,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.85,0.85,0.85
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.925,0.881,0.902
SEIR01_sl1000_mr025_nv10_17,0.711,0.711,0.711
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.767,0.78,0.773
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.8,0.816,0.808
SEIR01_sl1000_mr025_nv10_4,0.887,0.904,0.895
SEIR01_sl1000_mr025_nv10_5,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_6,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.744,0.725,0.734
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.851,0.851,0.851
SEIR01_sl1000_mr025_nv20_1,0.882,0.938,0.909
SEIR01_sl1000_mr025_nv20_10,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.879,0.879,0.879
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.556,0.714,0.625
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.897,0.839,0.867
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_1,0.838,0.756,0.795
SEIR01_sl1000_mr025_nv5_10,0.844,0.818,0.831
SEIR01_sl1000_mr025_nv5_11,0.7,0.737,0.718
SEIR01_sl1000_mr025_nv5_12,0.842,0.842,0.842
SEIR01_sl1000_mr025_nv5_13,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv5_14,0.818,0.9,0.857
SEIR01_sl1000_mr025_nv5_15,0.75,0.778,0.764
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.778,0.745,0.761
SEIR01_sl1000_mr025_nv5_19,0.931,0.931,0.931
SEIR01_sl1000_mr025_nv5_2,0.692,0.562,0.621
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.727,0.8,0.762
SEIR01_sl1000_mr025_nv5_4,0.787,0.74,0.763
SEIR01_sl1000_mr025_nv5_5,0.723,0.667,0.694
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.833,0.769,0.8
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.706,0.75,0.727
SEIR01_sl1000_mr05_nv10_12,0.847,0.862,0.855
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.886,0.795,0.838
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_18,0.836,0.821,0.829
SEIR01_sl1000_mr05_nv10_19,0.286,0.286,0.286
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.868,0.885,0.876
SEIR01_sl1000_mr05_nv10_3,0.84,0.84,0.84
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.9,0.9,0.9
SEIR01_sl1000_mr05_nv10_7,0.809,0.826,0.817
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.926,0.962,0.943
SEIR01_sl250_mr025_nv10_1,0.569,0.644,0.604
SEIR01_sl250_mr025_nv10_10,0.778,0.824,0.8
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722
SEIR01_sl250_mr025_nv10_12,0.771,0.86,0.813
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.51,0.543,0.526
SEIR01_sl250_mr025_nv10_15,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.475,0.63,0.542
SEIR01_sl250_mr025_nv10_17,0.214,0.375,0.273
SEIR01_sl250_mr025_nv10_18,0.686,0.75,0.716
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.667,0.714,0.69
SEIR01_sl250_mr025_nv10_20,0.6,0.667,0.632
SEIR01_sl250_mr025_nv10_3,0.688,0.815,0.746
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.646,0.756,0.697
SEIR01_sl250_mr025_nv10_6,0.567,0.773,0.654
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.708,0.836,0.767
SEIR01_sl500_mr025_nv10_1,0.455,0.5,0.476
SEIR01_sl500_mr025_nv10_10,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.891,0.961,0.925
SEIR01_sl500_mr025_nv10_13,0.667,0.7,0.683
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.787,0.828,0.807
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.429,0.5,0.462
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.5,0.625,0.556
SEIR01_sl500_mr025_nv10_2,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.833,0.781,0.806
SEIR01_sl500_mr025_nv10_3,0.792,0.905,0.844
SEIR01_sl500_mr025_nv10_4,0.714,0.714,0.714
SEIR01_sl500_mr025_nv10_5,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_6,0.875,0.925,0.899
SEIR01_sl500_mr025_nv10_7,0.784,0.853,0.817
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.786,0.786,0.786
SIR003_sl1000_mr025_nv10_10,0.786,0.846,0.815
SIR003_sl1000_mr025_nv10_11,0.6,0.6,0.6
SIR003_sl1000_mr025_nv10_12,0.78,0.796,0.788
SIR003_sl1000_mr025_nv10_13,0.556,0.455,0.5
SIR003_sl1000_mr025_nv10_14,0.857,0.8,0.828
SIR003_sl1000_mr025_nv10_15,0.714,0.625,0.667
SIR003_sl1000_mr025_nv10_16,0.579,0.647,0.611
SIR003_sl1000_mr025_nv10_17,0.864,0.826,0.844
SIR003_sl1000_mr025_nv10_18,1,1,1
SIR003_sl1000_mr025_nv10_19,0.652,0.625,0.638
SIR003_sl1000_mr025_nv10_2,0.882,0.789,0.833
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.952,0.769,0.851
SIR003_sl1000_mr025_nv10_4,0.759,0.71,0.733
SIR003_sl1000_mr025_nv10_5,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.667,0.609,0.636
SIR003_sl1000_mr025_nv10_7,0.6,0.562,0.581
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.692,0.643,0.667
SIR003_sl1000_mr05_nv10_1,0.625,0.588,0.606
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.588,0.571,0.58
SIR003_sl1000_mr05_nv10_12,0.865,0.818,0.841
SIR003_sl1000_mr05_nv10_13,0.811,0.768,0.789
SIR003_sl1000_mr05_nv10_14,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_16,0.8,0.8,0.8
SIR003_sl1000_mr05_nv10_17,0.727,0.571,0.64
SIR003_sl1000_mr05_nv10_18,0.652,0.652,0.652
SIR003_sl1000_mr05_nv10_19,0.806,0.784,0.795
SIR003_sl1000_mr05_nv10_2,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,0.8,0.444,0.571
SIR003_sl1000_mr05_nv10_3,0.778,0.7,0.737
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.457,0.457,0.457
SIR003_sl1000_mr05_nv10_6,0.619,0.619,0.619
SIR003_sl1000_mr05_nv10_7,0.864,0.826,0.844
SIR003_sl1000_mr05_nv10_8,0.756,0.739,0.747
SIR003_sl1000_mr05_nv10_9,0.727,0.533,0.615
SIR003_sl1000_mr05_nv20_1,0.75,0.771,0.761
SIR003_sl1000_mr05_nv20_10,0.898,0.846,0.871
SIR003_sl1000_mr05_nv20_11,0.667,0.4,0.5
SIR003_sl1000_mr05_nv20_12,0.712,0.673,0.692
SIR003_sl1000_mr05_nv20_13,0.78,0.722,0.75
SIR003_sl1000_mr05_nv20_14,0.9,0.9,0.9
SIR003_sl1000_mr05_nv20_15,0.778,0.737,0.757
SIR003_sl1000_mr05_nv20_16,0.732,0.698,0.714
SIR003_sl1000_mr05_nv20_17,0.783,0.72,0.75
SIR003_sl1000_mr05_nv20_18,0.778,0.737,0.757
SIR003_sl1000_mr05_nv20_19,0.75,0.73,0.74
SIR003_sl1000_mr05_nv20_2,0.75,0.673,0.71
SIR003_sl1000_mr05_nv20_20,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.692,0.692,0.692
SIR003_sl1000_mr05_nv20_4,0.875,0.875,0.875
SIR003_sl1000_mr05_nv20_5,0.762,0.667,0.711
SIR003_sl1000_mr05_nv20_6,0.846,0.786,0.815
SIR003_sl1000_mr05_nv20_7,0.714,0.833,0.769
SIR003_sl1000_mr05_nv20_8,0.63,0.63,0.63
SIR003_sl1000_mr05_nv20_9,0.8,0.8,0.8
SIR003_sl1000_mr05_nv5_1,0.722,0.743,0.732
SIR003_sl1000_mr05_nv5_10,0.775,0.756,0.765
SIR003_sl1000_mr05_nv5_11,0.778,0.677,0.724
SIR003_sl1000_mr05_nv5_12,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_13,0.833,0.909,0.87
SIR003_sl1000_mr05_nv5_14,0.552,0.552,0.552
SIR003_sl1000_mr05_nv5_15,0.758,0.758,0.758
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.674,0.604,0.637
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812
SIR003_sl1000_mr05_nv5_19,0.576,0.559,0.567
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,0.643,0.692,0.667
SIR003_sl1000_mr05_nv5_3,0.5,0.5,0.5
SIR003_sl1000_mr05_nv5_4,0.917,0.786,0.846
SIR003_sl1000_mr05_nv5_5,0.875,0.636,0.737
SIR003_sl1000_mr05_nv5_6,0.556,0.455,0.5
SIR003_sl1000_mr05_nv5_7,0.714,0.608,0.657
SIR003_sl1000_mr05_nv5_8,0.611,0.44,0.512
SIR003_sl1000_mr05_nv5_9,0.52,0.542,0.531
SIR003_sl1000_mr1_nv10_1,0.75,0.706,0.727
SIR003_sl1000_mr1_nv10_10,0.5,0.455,0.476
SIR003_sl1000_mr1_nv10_11,0.8,0.8,0.8
SIR003_sl1000_mr1_nv10_12,0.519,0.519,0.519
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.743,0.722,0.732
SIR003_sl1000_mr1_nv10_15,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.75,0.6,0.667
SIR003_sl1000_mr1_nv10_17,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_18,0.788,0.788,0.788
SIR003_sl1000_mr1_nv10_19,0.746,0.688,0.715
SIR003_sl1000_mr1_nv10_2,0.705,0.683,0.694
SIR003_sl1000_mr1_nv10_20,0.797,0.739,0.767
SIR003_sl1000_mr1_nv10_3,0.826,0.826,0.826
SIR003_sl1000_mr1_nv10_4,0.857,0.828,0.842
SIR003_sl1000_mr1_nv10_5,0.833,0.556,0.667
SIR003_sl1000_mr1_nv10_6,0.741,0.667,0.702
SIR003_sl1000_mr1_nv10_7,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_8,0.839,0.743,0.788
SIR003_sl1000_mr1_nv10_9,0.857,0.667,0.75
SIR003_sl250_mr05_nv10_1,0.556,0.625,0.588
SIR003_sl250_mr05_nv10_10,0.455,0.526,0.488
SIR003_sl250_mr05_nv10_11,0.5,0.417,0.455
SIR003_sl250_mr05_nv10_12,0.429,0.462,0.444
SIR003_sl250_mr05_nv10_13,0.6,0.429,0.5
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.667,0.75,0.706
SIR003_sl250_mr05_nv10_16,0.5,0.545,0.522
SIR003_sl250_mr05_nv10_17,0.681,0.711,0.696
SIR003_sl250_mr05_nv10_18,0.464,0.481,0.473
SIR003_sl250_mr05_nv10_19,0.4,0.4,0.4
SIR003_sl250_mr05_nv10_2,0.714,0.714,0.714
SIR003_sl250_mr05_nv10_20,0.578,0.634,0.605
SIR003_sl250_mr05_nv10_3,0.864,0.864,0.864
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8
SIR003_sl250_mr05_nv10_5,0.696,0.727,0.711
SIR003_sl250_mr05_nv10_6,0.781,0.758,0.769
SIR003_sl250_mr05_nv10_7,0.408,0.435,0.421
SIR003_sl250_mr05_nv10_8,0.474,0.529,0.5
SIR003_sl250_mr05_nv10_9,0.545,0.667,0.6
SIR003_sl500_mr05_nv10_1,0.857,0.857,0.857
SIR003_sl500_mr05_nv10_10,0.611,0.564,0.587
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.615,0.615,0.615
SIR003_sl500_mr05_nv10_13,0.75,0.688,0.717
SIR003_sl500_mr05_nv10_14,0.7,0.636,0.667
SIR003_sl500_mr05_nv10_15,0.842,0.842,0.842
SIR003_sl500_mr05_nv10_16,0.5,0.583,0.538
SIR003_sl500_mr05_nv10_17,0.636,0.7,0.667
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.649,0.617,0.632
SIR003_sl500_mr05_nv10_2,0.848,0.824,0.836
SIR003_sl500_mr05_nv10_20,0.625,0.625,0.625
SIR003_sl500_mr05_nv10_3,0.759,0.759,0.759
SIR003_sl500_mr05_nv10_4,0.818,0.692,0.75
SIR003_sl500_mr05_nv10_5,0.778,0.7,0.737
SIR003_sl500_mr05_nv10_6,0.737,0.667,0.7
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.6,0.6,0.6
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.81,0.825,0.817
SIR01_sl1000_mr075_nv10_10,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_11,1,1,1
SIR01_sl1000_mr075_nv10_12,0.8,0.8,0.8
SIR01_sl1000_mr075_nv10_13,0.643,0.643,0.643
SIR01_sl1000_mr075_nv10_14,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_15,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.789,0.833,0.811
SIR01_sl1000_mr075_nv10_17,0.746,0.704,0.725
SIR01_sl1000_mr075_nv10_18,0.818,0.818,0.818
SIR01_sl1000_mr075_nv10_19,0.5,0.364,0.421
