dataset,precision,recall,f1
SEIR015_sl1000_mr025_nv10_20,0.636,0.875,0.737
SEIR015_sl1000_mr025_nv10_3,0.812,0.848,0.83
SEIR015_sl1000_mr025_nv10_4,0.638,0.682,0.659
SEIR015_sl1000_mr025_nv10_5,0.72,0.75,0.735
SEIR015_sl1000_mr025_nv10_6,0.783,0.783,0.783
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_9,0.776,0.804,0.789
SEIR015_sl1000_mr025_nv20_1,0.474,0.6,0.529
SEIR015_sl1000_mr025_nv20_10,0.417,0.556,0.476
SEIR015_sl1000_mr025_nv20_11,0.786,0.846,0.815
SEIR015_sl1000_mr025_nv20_12,0.462,0.6,0.522
SEIR015_sl1000_mr025_nv20_13,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.682,0.682,0.682
SEIR015_sl1000_mr025_nv20_15,0.5,0.708,0.586
SEIR015_sl1000_mr025_nv20_16,0.742,0.767,0.754
SEIR015_sl1000_mr025_nv20_17,0.741,0.768,0.754
SEIR015_sl1000_mr025_nv20_18,0.52,0.667,0.584
SEIR015_sl1000_mr025_nv20_19,0.357,0.455,0.4
SEIR015_sl1000_mr025_nv20_2,0.778,0.84,0.808
SEIR015_sl1000_mr025_nv20_20,0.632,0.632,0.632
SEIR015_sl1000_mr025_nv20_3,0.55,0.667,0.603
SEIR015_sl1000_mr025_nv20_4,0.647,0.667,0.657
SEIR015_sl1000_mr025_nv20_5,0.769,0.769,0.769
SEIR015_sl1000_mr025_nv20_6,0.636,0.737,0.683
SEIR015_sl1000_mr025_nv20_7,0.861,0.861,0.861
SEIR015_sl1000_mr025_nv20_8,0.554,0.687,0.613
SEIR015_sl1000_mr025_nv20_9,0.474,0.5,0.486
SEIR015_sl1000_mr025_nv5_1,0.4,0.429,0.414
SEIR015_sl1000_mr025_nv5_10,0.692,0.75,0.72
SEIR015_sl1000_mr025_nv5_11,0.481,0.532,0.505
SEIR015_sl1000_mr025_nv5_12,0.545,0.545,0.545
SEIR015_sl1000_mr025_nv5_13,0.719,0.742,0.73
SEIR015_sl1000_mr025_nv5_14,0.5,0.6,0.545
SEIR015_sl1000_mr025_nv5_15,0.543,0.585,0.563
SEIR015_sl1000_mr025_nv5_16,0.808,0.808,0.808
SEIR015_sl1000_mr025_nv5_17,0.738,0.756,0.747
SEIR015_sl1000_mr025_nv5_18,0.618,0.618,0.618
SEIR015_sl1000_mr025_nv5_19,0.312,0.455,0.37
SEIR015_sl1000_mr025_nv5_2,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv5_20,0.512,0.537,0.524
SEIR015_sl1000_mr025_nv5_3,0.448,0.481,0.464
SEIR015_sl1000_mr025_nv5_4,0.574,0.62,0.596
SEIR015_sl1000_mr025_nv5_5,0.476,0.476,0.476
SEIR015_sl1000_mr025_nv5_6,0.29,0.323,0.305
SEIR015_sl1000_mr025_nv5_7,0.731,0.731,0.731
SEIR015_sl1000_mr025_nv5_8,0.708,0.739,0.723
SEIR015_sl1000_mr025_nv5_9,0.478,0.55,0.512
SEIR015_sl1000_mr05_nv10_1,0.471,0.471,0.471
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.444,0.5,0.471
SEIR015_sl1000_mr05_nv10_12,0.667,1,0.8
SEIR015_sl1000_mr05_nv10_13,0.803,0.803,0.803
SEIR015_sl1000_mr05_nv10_14,0.64,0.696,0.667
SEIR015_sl1000_mr05_nv10_15,0.545,0.545,0.545
SEIR015_sl1000_mr05_nv10_16,0.702,0.805,0.75
SEIR015_sl1000_mr05_nv10_17,0.642,0.754,0.693
SEIR015_sl1000_mr05_nv10_18,0.622,0.683,0.651
SEIR015_sl1000_mr05_nv10_19,0.5,0.625,0.556
SEIR015_sl1000_mr05_nv10_2,0.595,0.595,0.595
SEIR015_sl1000_mr05_nv10_20,0.275,0.341,0.304
SEIR015_sl1000_mr05_nv10_3,0.729,0.768,0.748
SEIR015_sl1000_mr05_nv10_4,0.472,0.531,0.5
SEIR015_sl1000_mr05_nv10_5,0.667,0.727,0.696
SEIR015_sl1000_mr05_nv10_6,0.562,0.6,0.581
SEIR015_sl1000_mr05_nv10_7,0.421,0.615,0.5
SEIR015_sl1000_mr05_nv10_8,0.707,0.806,0.753
SEIR015_sl1000_mr05_nv10_9,0.529,0.6,0.562
SEIR015_sl250_mr025_nv10_1,0.462,0.706,0.558
SEIR015_sl250_mr025_nv10_10,0.43,0.627,0.51
SEIR015_sl250_mr025_nv10_11,0.5,0.647,0.564
SEIR015_sl250_mr025_nv10_12,0.449,0.721,0.554
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667
SEIR015_sl250_mr025_nv10_14,0.283,0.52,0.366
SEIR015_sl250_mr025_nv10_15,0.467,0.571,0.514
SEIR015_sl250_mr025_nv10_16,0.095,0.222,0.133
SEIR015_sl250_mr025_nv10_17,0.286,0.333,0.308
SEIR015_sl250_mr025_nv10_18,0.211,0.364,0.267
SEIR015_sl250_mr025_nv10_19,0.435,0.541,0.482
SEIR015_sl250_mr025_nv10_2,0.2,0.318,0.246
SEIR015_sl250_mr025_nv10_20,0.533,0.727,0.615
SEIR015_sl250_mr025_nv10_3,0.409,0.6,0.486
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.452,0.543,0.494
SEIR015_sl250_mr025_nv10_7,0.3,0.375,0.333
SEIR015_sl250_mr025_nv10_8,0.633,0.704,0.667
SEIR015_sl250_mr025_nv10_9,0.435,0.667,0.526
SEIR015_sl500_mr025_nv10_1,0.545,0.6,0.571
SEIR015_sl500_mr025_nv10_10,0.711,0.744,0.727
SEIR015_sl500_mr025_nv10_11,0.091,0.125,0.105
SEIR015_sl500_mr025_nv10_12,0.484,0.566,0.522
SEIR015_sl500_mr025_nv10_13,0.5,0.714,0.588
SEIR015_sl500_mr025_nv10_14,0.778,0.778,0.778
SEIR015_sl500_mr025_nv10_15,0.672,0.707,0.689
SEIR015_sl500_mr025_nv10_16,0.562,0.75,0.643
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727
SEIR015_sl500_mr025_nv10_18,0.444,0.462,0.453
SEIR015_sl500_mr025_nv10_19,0.8,0.8,0.8
SEIR015_sl500_mr025_nv10_2,0.5,0.5,0.5
SEIR015_sl500_mr025_nv10_20,0.575,0.656,0.613
SEIR015_sl500_mr025_nv10_3,0.548,0.622,0.582
SEIR015_sl500_mr025_nv10_4,0.519,0.659,0.581
SEIR015_sl500_mr025_nv10_5,0.688,0.786,0.733
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.405,0.484,0.441
SEIR015_sl500_mr025_nv10_8,0.566,0.701,0.627
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703
SEIR01_sl1000_mr0125_nv10_10,0.796,0.796,0.796
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.4,0.4,0.4
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_15,0.708,0.708,0.708
SEIR01_sl1000_mr0125_nv10_16,0.571,0.571,0.571
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.787,0.822,0.804
SEIR01_sl1000_mr0125_nv10_19,0.839,0.867,0.852
SEIR01_sl1000_mr0125_nv10_2,0.846,0.846,0.846
SEIR01_sl1000_mr0125_nv10_20,0.84,0.84,0.84
SEIR01_sl1000_mr0125_nv10_3,0.789,0.789,0.789
SEIR01_sl1000_mr0125_nv10_4,0.792,0.792,0.792
SEIR01_sl1000_mr0125_nv10_5,0.792,0.809,0.8
SEIR01_sl1000_mr0125_nv10_6,0.735,0.75,0.742
SEIR01_sl1000_mr0125_nv10_7,0.872,0.872,0.872
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.854,0.872,0.863
SEIR01_sl1000_mr025_nv10_1,0.69,0.714,0.702
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.838,0.886,0.861
SEIR01_sl1000_mr025_nv10_12,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv10_13,0.476,0.5,0.488
SEIR01_sl1000_mr025_nv10_14,0.771,0.794,0.783
SEIR01_sl1000_mr025_nv10_15,0.7,0.7,0.7
SEIR01_sl1000_mr025_nv10_16,0.791,0.81,0.8
SEIR01_sl1000_mr025_nv10_17,0.733,0.733,0.733
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.661,0.695,0.678
SEIR01_sl1000_mr025_nv10_2,0.826,0.864,0.844
SEIR01_sl1000_mr025_nv10_20,0.706,0.706,0.706
SEIR01_sl1000_mr025_nv10_3,0.804,0.837,0.82
SEIR01_sl1000_mr025_nv10_4,0.796,0.827,0.811
SEIR01_sl1000_mr025_nv10_5,0.886,0.886,0.886
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.69,0.725,0.707
SEIR01_sl1000_mr025_nv10_8,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_9,0.787,0.787,0.787
SEIR01_sl1000_mr025_nv20_1,0.794,0.844,0.818
SEIR01_sl1000_mr025_nv20_10,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv20_13,0.81,0.81,0.81
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815
SEIR01_sl1000_mr025_nv20_15,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv20_16,0.364,0.571,0.444
SEIR01_sl1000_mr025_nv20_17,0.923,0.96,0.941
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.907,0.925,0.916
SEIR01_sl1000_mr025_nv20_2,0.837,0.857,0.847
SEIR01_sl1000_mr025_nv20_20,0.758,0.806,0.781
SEIR01_sl1000_mr025_nv20_3,0.818,0.857,0.837
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.853,0.879,0.866
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.762,0.78,0.771
SEIR01_sl1000_mr025_nv5_10,0.647,0.667,0.657
SEIR01_sl1000_mr025_nv5_11,0.6,0.632,0.615
SEIR01_sl1000_mr025_nv5_12,0.632,0.632,0.632
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.857,0.9,0.878
SEIR01_sl1000_mr025_nv5_15,0.679,0.704,0.691
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.727,0.727,0.727
SEIR01_sl1000_mr025_nv5_18,0.66,0.702,0.68
SEIR01_sl1000_mr025_nv5_19,0.845,0.845,0.845
SEIR01_sl1000_mr025_nv5_2,0.588,0.625,0.606
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_3,0.636,0.7,0.667
SEIR01_sl1000_mr025_nv5_4,0.7,0.7,0.7
SEIR01_sl1000_mr025_nv5_5,0.5,0.529,0.514
SEIR01_sl1000_mr025_nv5_6,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.792,0.826,0.809
SEIR01_sl1000_mr025_nv5_9,0.667,0.667,0.667
SEIR01_sl1000_mr05_nv10_1,0.769,0.769,0.769
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.694,0.781,0.735
SEIR01_sl1000_mr05_nv10_12,0.847,0.862,0.855
SEIR01_sl1000_mr05_nv10_13,0.625,0.625,0.625
SEIR01_sl1000_mr05_nv10_14,0.7,0.718,0.709
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.909,0.909,0.909
SEIR01_sl1000_mr05_nv10_17,0.826,0.864,0.844
SEIR01_sl1000_mr05_nv10_18,0.793,0.821,0.807
SEIR01_sl1000_mr05_nv10_19,0.5,0.571,0.533
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.811,0.827,0.819
SEIR01_sl1000_mr05_nv10_3,0.8,0.8,0.8
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.833,0.833,0.833
SEIR01_sl1000_mr05_nv10_6,0.756,0.775,0.765
SEIR01_sl1000_mr05_nv10_7,0.766,0.783,0.774
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.889,0.923,0.906
SEIR01_sl250_mr025_nv10_1,0.579,0.733,0.647
SEIR01_sl250_mr025_nv10_10,0.667,0.706,0.686
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722
SEIR01_sl250_mr025_nv10_12,0.74,0.86,0.796
SEIR01_sl250_mr025_nv10_13,0.571,0.667,0.615
SEIR01_sl250_mr025_nv10_14,0.577,0.652,0.612
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706
SEIR01_sl250_mr025_nv10_16,0.419,0.565,0.481
SEIR01_sl250_mr025_nv10_17,0.333,0.5,0.4
SEIR01_sl250_mr025_nv10_18,0.641,0.781,0.704
SEIR01_sl250_mr025_nv10_19,0.6,0.75,0.667
SEIR01_sl250_mr025_nv10_2,0.588,0.714,0.645
SEIR01_sl250_mr025_nv10_20,0.65,0.722,0.684
SEIR01_sl250_mr025_nv10_3,0.625,0.741,0.678
SEIR01_sl250_mr025_nv10_4,0.75,0.857,0.8
SEIR01_sl250_mr025_nv10_5,0.571,0.683,0.622
SEIR01_sl250_mr025_nv10_6,0.548,0.773,0.642
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.605,0.765,0.675
SEIR01_sl250_mr025_nv10_9,0.639,0.754,0.692
SEIR01_sl500_mr025_nv10_1,0.583,0.7,0.636
SEIR01_sl500_mr025_nv10_10,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.772,0.863,0.815
SEIR01_sl500_mr025_nv10_13,0.714,0.75,0.732
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.77,0.81,0.79
SEIR01_sl500_mr025_nv10_16,0.765,0.867,0.812
SEIR01_sl500_mr025_nv10_17,0.286,0.333,0.308
SEIR01_sl500_mr025_nv10_18,0.167,0.167,0.167
SEIR01_sl500_mr025_nv10_19,0.7,0.875,0.778
SEIR01_sl500_mr025_nv10_2,0.625,0.625,0.625
SEIR01_sl500_mr025_nv10_20,0.625,0.625,0.625
SEIR01_sl500_mr025_nv10_3,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_4,0.625,0.714,0.667
SEIR01_sl500_mr025_nv10_5,0.5,0.6,0.545
SEIR01_sl500_mr025_nv10_6,0.821,0.868,0.844
SEIR01_sl500_mr025_nv10_7,0.838,0.912,0.873
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_10,0.8,0.923,0.857
SIR003_sl1000_mr025_nv10_11,0.533,0.533,0.533
SIR003_sl1000_mr025_nv10_12,0.725,0.755,0.74
SIR003_sl1000_mr025_nv10_13,0.455,0.455,0.455
SIR003_sl1000_mr025_nv10_14,0.733,0.733,0.733
SIR003_sl1000_mr025_nv10_15,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_16,0.667,0.706,0.686
SIR003_sl1000_mr025_nv10_17,0.792,0.826,0.809
SIR003_sl1000_mr025_nv10_18,1,1,1
SIR003_sl1000_mr025_nv10_19,0.75,0.75,0.75
SIR003_sl1000_mr025_nv10_2,0.85,0.895,0.872
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.852,0.885,0.868
SIR003_sl1000_mr025_nv10_4,0.774,0.774,0.774
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857
SIR003_sl1000_mr025_nv10_6,0.826,0.826,0.826
SIR003_sl1000_mr025_nv10_7,0.5,0.5,0.5
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.679,0.679,0.679
SIR003_sl1000_mr05_nv10_1,0.765,0.765,0.765
SIR003_sl1000_mr05_nv10_10,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_11,0.514,0.514,0.514
SIR003_sl1000_mr05_nv10_12,0.8,0.8,0.8
SIR003_sl1000_mr05_nv10_13,0.804,0.804,0.804
SIR003_sl1000_mr05_nv10_14,1,1,1
SIR003_sl1000_mr05_nv10_15,0.769,0.769,0.769
SIR003_sl1000_mr05_nv10_16,0.88,0.88,0.88
SIR003_sl1000_mr05_nv10_17,0.429,0.429,0.429
SIR003_sl1000_mr05_nv10_18,0.708,0.739,0.723
SIR003_sl1000_mr05_nv10_19,0.816,0.838,0.827
SIR003_sl1000_mr05_nv10_2,1,1,1
SIR003_sl1000_mr05_nv10_20,0.444,0.444,0.444
SIR003_sl1000_mr05_nv10_3,0.9,0.9,0.9
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.617,0.63,0.624
SIR003_sl1000_mr05_nv10_6,0.727,0.762,0.744
SIR003_sl1000_mr05_nv10_7,0.739,0.739,0.739
SIR003_sl1000_mr05_nv10_8,0.702,0.717,0.71
SIR003_sl1000_mr05_nv10_9,0.567,0.567,0.567
SIR003_sl1000_mr05_nv20_1,0.686,0.686,0.686
SIR003_sl1000_mr05_nv20_10,0.865,0.865,0.865
SIR003_sl1000_mr05_nv20_11,0.6,0.6,0.6
SIR003_sl1000_mr05_nv20_12,0.696,0.709,0.703
SIR003_sl1000_mr05_nv20_13,0.741,0.741,0.741
SIR003_sl1000_mr05_nv20_14,0.9,0.9,0.9
SIR003_sl1000_mr05_nv20_15,0.737,0.737,0.737
SIR003_sl1000_mr05_nv20_16,0.75,0.767,0.759
SIR003_sl1000_mr05_nv20_17,0.76,0.76,0.76
SIR003_sl1000_mr05_nv20_18,0.684,0.684,0.684
SIR003_sl1000_mr05_nv20_19,0.784,0.784,0.784
SIR003_sl1000_mr05_nv20_2,0.694,0.694,0.694
SIR003_sl1000_mr05_nv20_20,1,1,1
SIR003_sl1000_mr05_nv20_3,0.769,0.769,0.769
SIR003_sl1000_mr05_nv20_4,0.818,0.844,0.831
SIR003_sl1000_mr05_nv20_5,0.625,0.625,0.625
SIR003_sl1000_mr05_nv20_6,0.6,0.643,0.621
SIR003_sl1000_mr05_nv20_7,0.692,0.75,0.72
SIR003_sl1000_mr05_nv20_8,0.593,0.593,0.593
SIR003_sl1000_mr05_nv20_9,0.775,0.775,0.775
SIR003_sl1000_mr05_nv5_1,0.694,0.714,0.704
SIR003_sl1000_mr05_nv5_10,0.805,0.805,0.805
SIR003_sl1000_mr05_nv5_11,0.683,0.694,0.688
SIR003_sl1000_mr05_nv5_12,1,1,1
SIR003_sl1000_mr05_nv5_13,0.75,0.818,0.783
SIR003_sl1000_mr05_nv5_14,0.621,0.621,0.621
SIR003_sl1000_mr05_nv5_15,0.774,0.774,0.774
SIR003_sl1000_mr05_nv5_16,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_17,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_18,0.688,0.688,0.688
SIR003_sl1000_mr05_nv5_19,0.472,0.5,0.486
SIR003_sl1000_mr05_nv5_2,0.583,0.583,0.583
SIR003_sl1000_mr05_nv5_20,0.615,0.615,0.615
SIR003_sl1000_mr05_nv5_3,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_4,0.786,0.786,0.786
SIR003_sl1000_mr05_nv5_5,0.818,0.818,0.818
SIR003_sl1000_mr05_nv5_6,0.545,0.545,0.545
SIR003_sl1000_mr05_nv5_7,0.645,0.662,0.653
SIR003_sl1000_mr05_nv5_8,0.615,0.64,0.627
SIR003_sl1000_mr05_nv5_9,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_1,0.778,0.824,0.8
SIR003_sl1000_mr1_nv10_10,0.727,0.727,0.727
SIR003_sl1000_mr1_nv10_11,0.8,0.8,0.8
SIR003_sl1000_mr1_nv10_12,0.483,0.519,0.5
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_15,0.727,0.727,0.727
SIR003_sl1000_mr1_nv10_16,0.524,0.55,0.537
SIR003_sl1000_mr1_nv10_17,0.688,0.688,0.688
SIR003_sl1000_mr1_nv10_18,0.848,0.848,0.848
SIR003_sl1000_mr1_nv10_19,0.672,0.672,0.672
SIR003_sl1000_mr1_nv10_2,0.656,0.667,0.661
SIR003_sl1000_mr1_nv10_20,0.704,0.725,0.714
SIR003_sl1000_mr1_nv10_3,0.833,0.87,0.851
SIR003_sl1000_mr1_nv10_4,0.828,0.828,0.828
SIR003_sl1000_mr1_nv10_5,0.556,0.556,0.556
SIR003_sl1000_mr1_nv10_6,0.8,0.8,0.8
SIR003_sl1000_mr1_nv10_7,0.625,0.625,0.625
SIR003_sl1000_mr1_nv10_8,0.914,0.914,0.914
SIR003_sl1000_mr1_nv10_9,0.889,0.889,0.889
SIR003_sl250_mr05_nv10_1,0.5,0.594,0.543
SIR003_sl250_mr05_nv10_10,0.524,0.579,0.55
SIR003_sl250_mr05_nv10_11,0.333,0.417,0.37
SIR003_sl250_mr05_nv10_12,0.429,0.462,0.444
SIR003_sl250_mr05_nv10_13,0.429,0.429,0.429
SIR003_sl250_mr05_nv10_14,0.625,0.625,0.625
SIR003_sl250_mr05_nv10_15,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,0.538,0.636,0.583
SIR003_sl250_mr05_nv10_17,0.633,0.689,0.66
SIR003_sl250_mr05_nv10_18,0.607,0.63,0.618
SIR003_sl250_mr05_nv10_19,0.286,0.32,0.302
SIR003_sl250_mr05_nv10_2,0.667,0.714,0.69
SIR003_sl250_mr05_nv10_20,0.511,0.561,0.535
SIR003_sl250_mr05_nv10_3,0.818,0.818,0.818
SIR003_sl250_mr05_nv10_4,0.692,0.75,0.72
SIR003_sl250_mr05_nv10_5,0.727,0.727,0.727
SIR003_sl250_mr05_nv10_6,0.771,0.818,0.794
SIR003_sl250_mr05_nv10_7,0.5,0.565,0.531
SIR003_sl250_mr05_nv10_8,0.474,0.529,0.5
SIR003_sl250_mr05_nv10_9,0.545,0.667,0.6
SIR003_sl500_mr05_nv10_1,0.625,0.714,0.667
SIR003_sl500_mr05_nv10_10,0.537,0.564,0.55
SIR003_sl500_mr05_nv10_11,0.667,0.667,0.667
SIR003_sl500_mr05_nv10_12,0.571,0.615,0.593
SIR003_sl500_mr05_nv10_13,0.7,0.729,0.714
SIR003_sl500_mr05_nv10_14,0.618,0.636,0.627
SIR003_sl500_mr05_nv10_15,0.842,0.842,0.842
SIR003_sl500_mr05_nv10_16,0.538,0.583,0.56
SIR003_sl500_mr05_nv10_17,0.7,0.7,0.7
SIR003_sl500_mr05_nv10_18,0.923,0.923,0.923
SIR003_sl500_mr05_nv10_19,0.65,0.65,0.65
SIR003_sl500_mr05_nv10_2,0.824,0.824,0.824
SIR003_sl500_mr05_nv10_20,0.625,0.625,0.625
SIR003_sl500_mr05_nv10_3,0.733,0.759,0.746
SIR003_sl500_mr05_nv10_4,0.741,0.769,0.755
SIR003_sl500_mr05_nv10_5,0.545,0.6,0.571
SIR003_sl500_mr05_nv10_6,0.667,0.667,0.667
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.733,0.733,0.733
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.759,0.772,0.765
SIR01_sl1000_mr075_nv10_10,0.625,0.625,0.625
SIR01_sl1000_mr075_nv10_11,1,1,1
SIR01_sl1000_mr075_nv10_12,0.8,0.8,0.8
SIR01_sl1000_mr075_nv10_13,0.643,0.643,0.643
SIR01_sl1000_mr075_nv10_14,0.571,0.571,0.571
SIR01_sl1000_mr075_nv10_15,1,1,1
SIR01_sl1000_mr075_nv10_16,0.684,0.722,0.703
SIR01_sl1000_mr075_nv10_17,0.708,0.718,0.713
SIR01_sl1000_mr075_nv10_18,0.909,0.909,0.909
SIR01_sl1000_mr075_nv10_19,0.364,0.364,0.364
SIR01_sl1000_mr075_nv10_2,0.545,0.545,0.545
