edges,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Japan->Greece,0.10,0.40,0.30,0.00,0.00,0.00,0.00
USA->Sweden,0.20,0.21,0.60,0.20,0.00,0.00,0.00
Spain->Luxembourg,0.10,0.10,0.10,0.20,0.00,0.00,0.00
France->Israel,0.00,0.40,1.90,0.40,0.00,0.00,0.00
Germany->Italy,0.30,0.40,1.10,0.10,0.00,0.00,0.00
Sweden->Iceland,0.00,0.20,0.10,0.00,0.00,0.00,0.00
Sweden->Finland,0.00,0.20,0.00,0.00,0.00,0.00,0.00
Sweden->Belgium,0.10,0.10,0.53,0.10,0.00,0.00,0.00
Sweden->Norway,0.10,0.10,0.30,0.20,0.00,0.00,0.00
USA->Switzerland,0.10,0.21,0.30,0.10,0.00,0.00,0.00
Israel->Germany,0.00,0.10,0.40,0.10,0.00,0.00,0.00
Denmark->Senegal,0.00,0.10,0.20,0.20,0.00,0.00,0.00
Denmark->Germany,0.00,0.30,0.80,0.70,0.00,0.00,0.00
Poland->Japan,0.10,0.20,0.80,0.20,0.00,0.00,0.00
Greece->Japan,0.00,0.10,0.20,0.00,0.00,0.00,0.00
Russia->UnitedKingdom,0.00,0.30,1.00,0.29,0.00,0.00,0.00
Russia->Vietnam,0.00,0.20,1.30,0.00,0.00,0.00,0.00
Russia->Italy,0.00,0.71,1.31,0.40,0.00,0.00,0.00
Vietnam->CzechRepublic,0.00,0.00,1.01,0.00,0.00,0.00,0.00
Netherlands->CzechRepublic,0.10,0.00,0.40,0.39,0.00,0.00,0.00
USA->Mexico,0.10,0.50,1.20,0.10,0.00,0.00,0.00
UnitedKingdom->NewZealand,0.20,0.30,1.50,0.28,0.00,0.00,0.00
Luxembourg->Italy,0.20,0.17,1.39,0.10,0.00,0.00,0.00
Italy->Australia,0.50,0.20,0.94,0.21,0.00,0.00,0.00
Italy->France,0.10,0.20,0.64,0.20,0.00,0.00,0.00
Italy->UnitedArabEmirates,0.00,0.10,0.30,0.10,0.00,0.00,0.00
Italy->Norway,0.00,0.50,0.54,0.00,0.00,0.00,0.00
Italy->UnitedKingdom,0.20,0.30,0.74,0.60,0.00,0.00,0.00
Italy->CzechRepublic,0.30,0.00,0.60,0.21,0.00,0.00,0.00
Morocco->France,0.00,0.00,0.20,0.00,0.00,0.00,0.00
Morocco->India,0.00,0.08,0.10,0.10,0.00,0.00,0.00
Morocco->UnitedKingdom,0.00,0.00,0.10,0.30,0.00,0.00,0.00
Spain->Mexico,0.30,0.10,0.60,0.30,0.00,0.00,0.00
Spain->Portugal,0.00,0.30,1.10,0.50,0.00,0.00,0.00
Netherlands->Austria,0.00,0.10,1.00,0.20,0.00,0.00,0.00
Morocco->Georgia,0.00,0.00,0.20,0.00,0.00,0.00,0.00
France->Luxembourg,0.00,0.39,1.61,0.89,0.00,0.00,0.00
France->Singapore,0.00,0.00,0.20,0.49,0.00,0.00,0.00
France->Nigeria,0.00,0.00,0.40,0.50,0.00,0.00,0.00
France->Taiwan,0.10,0.30,0.69,0.30,0.00,0.00,0.00
Taiwan->UnitedArabEmirates,0.20,0.10,0.30,0.00,0.00,0.00,0.00
Taiwan->Sweden,0.00,0.20,0.30,0.00,0.00,0.00,0.00
Norway->France,0.10,0.10,0.64,0.20,0.00,0.00,0.00
Israel->Luxembourg,0.00,0.10,0.30,0.10,0.00,0.00,0.00
Germany->USA,0.00,0.00,0.70,0.10,0.00,0.00,0.00
USA->Poland,0.10,0.00,0.20,0.20,0.00,0.00,0.00
USA->Hungary,0.00,0.00,0.20,0.00,0.00,0.00,0.00
USA->Austria,0.00,0.00,0.50,0.90,0.00,0.00,0.00
Poland->Romania,0.00,0.10,0.20,0.00,0.00,0.00,0.00
Portugal->Netherlands,0.00,0.10,0.60,0.10,0.00,0.00,0.00
Portugal->Australia,0.00,0.10,0.82,0.11,0.00,0.00,0.00
Portugal->Japan,0.00,0.00,0.81,0.10,0.00,0.00,0.00
Portugal->Germany,0.00,0.20,0.60,0.10,0.00,0.00,0.00
Russia->Argentina,0.10,0.10,0.58,1.08,0.00,0.00,0.00
Belgium->Austria,0.00,0.10,0.30,0.10,0.00,0.00,0.00
Belgium->DemocraticRepublicoftheCongo,0.00,0.00,0.70,0.20,0.00,0.00,0.00
Brazil->Argentina,0.00,0.20,1.50,0.40,0.00,0.00,0.00
Netherlands->Belgium,0.20,0.10,0.80,1.10,0.00,0.00,0.00
Bangladesh->Jordan,0.10,0.00,0.20,0.00,0.00,0.00,0.00
Bangladesh->Portugal,0.00,0.00,0.10,0.10,0.00,0.00,0.00
Jordan->Poland,0.10,0.10,0.20,0.10,0.00,0.00,0.00
Jordan->Belgium,0.10,0.00,0.20,0.00,0.00,0.00,0.00
USA->Netherlands,0.00,0.10,0.40,0.60,0.00,0.00,0.00
Oman->Chile,0.00,0.00,0.20,0.20,0.10,0.00,0.00
USA->Portugal,0.00,0.00,0.00,0.30,0.00,0.00,0.00
UnitedKingdom->Luxembourg,0.00,0.11,0.20,0.30,0.00,0.00,0.00
DemocraticRepublicoftheCongo->France,0.00,0.00,0.68,1.21,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Spain,0.10,0.00,0.70,0.00,0.00,0.00,0.00
Singapore->SaudiArabia,0.10,0.07,0.10,0.10,0.00,0.00,0.00
Denmark->NewZealand,0.00,0.15,0.90,0.90,0.00,0.00,0.00
USA->Israel,0.20,0.15,0.40,0.20,0.00,0.00,0.00
Singapore->Australia,0.47,0.57,0.00,0.00,0.00,0.00,0.00
Thailand->Singapore,0.31,0.00,0.00,0.00,0.00,0.00,0.00
Spain->Germany,0.10,0.00,0.20,0.00,0.00,0.00,0.00
Luxembourg->Finland,0.10,0.10,1.10,0.20,0.00,0.00,0.00
Luxembourg->Germany,0.00,0.11,1.10,0.10,0.00,0.00,0.00
Singapore->Austria,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Thailand->Canada,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Austria->Uganda,0.30,0.20,0.20,0.00,0.00,0.00,0.00
Austria->NewZealand,0.10,0.00,0.20,0.10,0.00,0.00,0.00
Austria->SaudiArabia,0.30,0.10,0.00,0.10,0.00,0.00,0.00
Austria->USA,0.10,0.10,0.20,0.00,0.00,0.00,0.00
Poland->BosniaandHerzegovina,0.20,0.10,0.00,0.00,0.00,0.00,0.00
Poland->Iceland,0.10,0.10,0.20,0.00,0.00,0.00,0.00
Poland->Uganda,0.10,0.10,0.10,0.00,0.00,0.00,0.00
Poland->Russia,0.30,0.00,0.20,0.00,0.00,0.00,0.00
Poland->China,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Sweden->Romania,0.10,0.50,0.30,0.10,0.00,0.00,0.00
Sweden->Switzerland,0.30,0.00,0.61,1.00,0.10,0.00,0.00
BosniaandHerzegovina->Luxembourg,0.20,0.00,0.20,0.10,0.00,0.00,0.00
BosniaandHerzegovina->India,0.20,0.00,0.30,0.20,0.00,0.00,0.00
BosniaandHerzegovina->SouthAfrica,0.10,0.00,0.00,0.10,0.00,0.00,0.00
BosniaandHerzegovina->Austria,0.20,0.00,0.00,0.00,0.00,0.00,0.00
BosniaandHerzegovina->Belgium,0.10,0.10,0.00,0.00,0.00,0.00,0.00
Germany->Mexico,0.20,0.10,0.00,0.10,0.00,0.00,0.00
Germany->Portugal,0.40,0.10,0.30,0.00,0.00,0.00,0.00
Spain->BosniaandHerzegovina,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Spain->CzechRepublic,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Spain->Kazakhstan,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Spain->Brazil,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Spain->Uganda,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Spain->Norway,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Spain->Senegal,0.10,0.10,0.60,0.00,0.00,0.00,0.00
Spain->Russia,0.30,0.00,0.60,0.10,0.00,0.00,0.00
Spain->Latvia,0.10,0.00,0.00,0.00,0.00,0.00,0.00
France->Italy,0.10,0.40,0.20,0.00,0.00,0.00,0.00
France->Iceland,0.10,0.00,0.39,0.10,0.00,0.00,0.00
France->Argentina,0.10,0.00,0.20,0.40,0.00,0.00,0.00
France->Uganda,0.10,0.10,0.20,0.00,0.00,0.00,0.00
France->Norway,0.10,0.10,0.77,0.18,0.00,0.00,0.00
France->BosniaandHerzegovina,0.20,0.20,0.60,0.10,0.00,0.00,0.00
Norway->Japan,0.10,0.20,0.00,0.00,0.00,0.00,0.00
Norway->India,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Norway->DemocraticRepublicoftheCongo,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Norway->Luxembourg,0.10,0.00,0.10,0.01,0.00,0.00,0.00
Norway->Poland,0.10,0.10,0.10,0.00,0.00,0.00,0.00
Norway->BosniaandHerzegovina,0.10,0.00,0.50,0.00,0.00,0.00,0.00
Norway->Switzerland,0.10,0.00,0.71,0.00,0.00,0.00,0.00
Norway->Iceland,0.10,0.00,0.20,0.00,0.00,0.00,0.00
Norway->Italy,0.10,0.10,0.90,0.00,0.00,0.00,0.00
Norway->CzechRepublic,0.20,0.00,0.11,0.00,0.00,0.00,0.00
Italy->Sweden,0.20,0.27,0.10,0.10,0.00,0.00,0.00
Germany->Poland,0.10,0.00,1.00,0.20,0.00,0.00,0.00
Germany->Uruguay,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Argentina->Hungary,0.20,0.30,0.10,0.10,0.00,0.00,0.00
Argentina->USA,0.10,0.00,0.02,0.00,0.00,0.00,0.00
Argentina->Belgium,0.20,0.00,0.00,0.20,0.00,0.00,0.00
Argentina->Australia,0.10,0.00,0.10,0.02,0.00,0.00,0.00
Argentina->Senegal,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Switzerland->SaudiArabia,0.10,0.10,0.10,0.00,0.00,0.00,0.00
Poland->Austria,0.10,0.00,0.10,0.30,0.00,0.00,0.00
UnitedKingdom->Italy,0.40,0.64,0.55,0.40,0.00,0.00,0.00
UnitedKingdom->Taiwan,0.10,0.30,0.00,0.16,0.00,0.00,0.00
Sweden->Taiwan,0.30,0.20,0.50,0.20,0.00,0.00,0.00
Bangladesh->France,0.20,0.10,0.10,0.00,0.00,0.00,0.00
Sweden->Brazil,0.10,0.10,0.30,0.00,0.00,0.00,0.00
Sweden->Mexico,0.10,0.10,0.20,0.10,0.00,0.00,0.00
Sweden->UnitedArabEmirates,0.50,1.30,1.71,0.00,0.00,0.00,0.00
Bangladesh->Romania,0.10,0.10,0.10,0.00,0.00,0.00,0.00
Bangladesh->Switzerland,0.10,0.00,0.10,0.10,0.00,0.00,0.00
Turkey->Switzerland,0.10,0.10,0.30,0.00,0.00,0.00,0.00
Switzerland->India,0.20,0.22,1.26,0.20,0.00,0.00,0.00
Switzerland->Netherlands,0.20,0.42,0.80,0.10,0.00,0.00,0.00
Switzerland->Singapore,0.10,0.10,0.10,0.20,0.00,0.00,0.00
Singapore->Russia,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Singapore->CzechRepublic,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Singapore->Italy,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Singapore->Vietnam,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Vietnam->Russia,0.10,0.10,0.50,0.00,0.00,0.00,0.00
Vietnam->Australia,0.10,0.00,0.10,0.10,0.00,0.00,0.00
Vietnam->UnitedKingdom,0.10,0.10,0.80,0.00,0.00,0.00,0.00
Argentina->Italy,0.20,0.00,0.10,0.00,0.00,0.00,0.00
Argentina->Denmark,0.20,0.10,0.00,0.00,0.00,0.00,0.00
Argentina->Russia,0.20,0.00,0.12,0.02,0.00,0.00,0.00
Argentina->Switzerland,0.10,0.10,0.00,0.00,0.00,0.00,0.00
Singapore->Jordan,0.10,0.00,0.20,0.00,0.00,0.00,0.00
Switzerland->Latvia,0.10,0.10,0.30,0.18,0.00,0.00,0.00
China->France,1.20,0.20,0.00,0.00,0.00,0.00,0.00
China->Finland,0.50,0.10,0.00,0.00,0.00,0.00,0.00
China->Malaysia,1.80,1.10,0.30,0.10,0.00,0.00,0.00
China->UnitedKingdom,0.32,0.80,0.10,0.22,0.00,0.00,0.00
China->Thailand,3.70,1.20,0.00,0.00,0.00,0.00,0.00
China->Colombia,0.30,0.40,0.00,0.00,0.00,0.00,0.00
USA->SouthKorea,0.20,0.66,0.00,0.00,0.00,0.00,0.00
China->SaudiArabia,0.40,0.80,0.00,0.10,0.00,0.00,0.00
China->HongKong,2.99,1.40,0.00,0.00,0.00,0.00,0.00
HongKong->Spain,0.20,0.00,0.00,0.00,0.00,0.00,0.00
HongKong->Singapore,0.30,0.50,0.00,0.00,0.00,0.00,0.00
Germany->Thailand,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Germany->China,0.30,0.00,0.00,0.00,0.00,0.00,0.00
Germany->Australia,0.30,0.30,0.50,0.20,0.00,0.00,0.00
Singapore->Turkey,0.20,0.10,0.10,0.10,0.00,0.00,0.00
UnitedKingdom->Norway,0.10,0.30,0.40,0.00,0.00,0.00,0.00
Spain->Bangladesh,0.10,0.00,0.00,0.20,0.00,0.00,0.00
UnitedKingdom->Iceland,0.10,0.30,0.24,0.25,0.00,0.00,0.00
UnitedKingdom->Brazil,0.20,0.26,1.40,0.10,0.00,0.00,0.00
UnitedKingdom->BosniaandHerzegovina,0.10,0.20,0.20,0.00,0.00,0.00,0.00
Singapore->SouthKorea,0.20,0.30,0.00,0.00,0.00,0.00,0.00
Singapore->Japan,0.10,0.30,0.20,0.00,0.00,0.00,0.00
China->Uruguay,0.10,0.40,0.20,0.00,0.00,0.00,0.00
China->Belgium,0.40,0.20,0.00,0.00,0.00,0.00,0.00
China->Jordan,0.10,0.40,0.10,0.00,0.00,0.00,0.00
China->Japan,1.52,1.40,0.10,0.00,0.00,0.00,0.00
Malaysia->Greece,0.00,0.10,0.00,0.00,0.00,0.00,0.00
China->Turkey,0.10,0.20,0.10,0.00,0.00,0.00,0.00
China->Oman,1.60,0.90,0.20,0.00,0.00,0.00,0.00
HongKong->UnitedKingdom,0.00,0.10,0.00,0.00,0.00,0.00,0.00
HongKong->SouthKorea,0.19,0.60,0.00,0.00,0.00,0.00,0.00
Spain->Malaysia,0.00,0.10,0.00,0.00,0.00,0.00,0.00
UnitedKingdom->SouthKorea,0.10,0.30,0.00,0.00,0.00,0.00,0.00
