edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
Sweden->Poland,800, 300, 799, 300, 0, 0
Singapore->China,1770, 400, 0, 0, 0, 0
Switzerland->Italy,500, 200, 1326, 100, 0, 0
DemocraticRepublicoftheCongo->Luxembourg,100, 400, 900, 711, 0, 0
Belgium->Hungary,0, 0, 1100, 1005, 0, 0
Switzerland->Vietnam,100, 300, 1700, 0, 0, 0
Brazil->Argentina,0, 200, 1500, 400, 0, 0
France->Canada,0, 500, 1296, 296, 0, 0
Luxembourg->France,100, 0, 1661, 300, 0, 0
Italy->Poland,400, 612, 512, 526, 0, 0
Italy->India,500, 100, 1440, 0, 0, 0
Sweden->Switzerland,300, 0, 606, 1000, 100, 0
Spain->Italy,700, 100, 1200, 0, 0, 0
Sweden->France,300, 700, 800, 200, 0, 0
UnitedKingdom->Italy,399, 638, 549, 400, 0, 0
UnitedKingdom->Brazil,200, 256, 1400, 100, 0, 0
Denmark->NewZealand,0, 145, 900, 900, 0, 0
UnitedKingdom->USA,300, 300, 340, 1000, 0, 0
UnitedArabEmirates->Taiwan,300, 600, 800, 215, 0, 0
Sweden->Germany,514, 300, 700, 400, 0, 0
DemocraticRepublicoftheCongo->France,0, 0, 689, 1222, 0, 0
USA->NewZealand,0, 155, 700, 1055, 0, 0
Bangladesh->Sweden,500, 800, 500, 100, 0, 0
Sweden->Bangladesh,500, 400, 900, 100, 0, 0
Germany->Italy,300, 400, 1100, 100, 0, 0
DemocraticRepublicoftheCongo->Belgium,100, 300, 700, 800, 0, 0
Switzerland->Turkey,200, 200, 1500, 0, 0, 0
USA->Mexico,100, 500, 1200, 100, 0, 0
Germany->UnitedKingdom,100, 300, 900, 600, 0, 0
USA->Norway,300, 100, 900, 600, 0, 0
Spain->Portugal,0, 300, 1100, 500, 0, 0
Switzerland->India,200, 211, 1260, 200, 0, 0
Luxembourg->Italy,200, 174, 1388, 100, 0, 0
Italy->Luxembourg,400, 126, 1226, 102, 0, 0
Italy->Australia,500, 200, 940, 212, 0, 0
Russia->Argentina,100, 100, 574, 1074, 0, 0
Italy->UnitedKingdom,200, 300, 740, 600, 0, 0
UnitedKingdom->Greece,100, 300, 1300, 105, 0, 0
USA->China,452, 1052, 200, 100, 0, 0
Luxembourg->DemocraticRepublicoftheCongo,200, 100, 900, 603, 0, 0
Germany->NewZealand,300, 100, 1100, 300, 0, 0
UnitedArabEmirates->Australia,0, 1600, 200, 0, 0, 0
Denmark->Germany,0, 300, 800, 700, 0, 0
Spain->Switzerland,600, 100, 998, 100, 0, 0
UnitedKingdom->Chile,100, 300, 1148, 249, 0, 0
France->Finland,0, 200, 1296, 296, 0, 0
Russia->Sweden,200, 400, 813, 378, 0, 0
Italy->Belgium,100, 0, 877, 812, 0, 0
Russia->SouthAfrica,0, 400, 574, 800, 0, 0
Switzerland->Russia,100, 600, 866, 200, 0, 0
Singapore->Thailand,470, 770, 100, 400, 0, 0
USA->Colombia,200, 14, 1014, 500, 0, 0
USA->Singapore,170, 752, 300, 500, 0, 0
Russia->Austria,0, 400, 1312, 0, 0, 0
UnitedKingdom->Jordan,0, 600, 900, 202, 0, 0
Italy->Spain,100, 500, 1000, 100, 0, 0
China->Germany,1400, 200, 100, 0, 0, 0
Germany->Austria,500, 200, 900, 100, 0, 0
Sweden->Oman,100, 100, 500, 1000, 0, 0
Germany->Switzerland,200, 100, 1100, 300, 0, 0
Switzerland->Belgium,100, 300, 1100, 200, 0, 0
UnitedArabEmirates->Turkey,0, 800, 700, 200, 0, 0
UnitedArabEmirates->Sweden,0, 900, 700, 100, 0, 0
Luxembourg->Belgium,0, 300, 700, 700, 0, 0
France->DemocraticRepublicoftheCongo,0, 400, 1000, 296, 0, 0
France->Switzerland,0, 196, 1196, 296, 0, 0
Switzerland->France,200, 1, 1472, 0, 0, 0
France->Morocco,100, 273, 1200, 100, 0, 0
Japan->Hungary,0, 0, 836, 772, 0, 0
USA->Vietnam,52, 952, 200, 400, 0, 0
China->Spain,300, 903, 400, 0, 0, 0
Australia->Japan,700, 800, 100, 0, 0, 0
Poland->UnitedKingdom,200, 0, 600, 800, 0, 0
China->Mexico,400, 300, 500, 400, 0, 0
USA->Denmark,100, 100, 1000, 400, 0, 0
SaudiArabia->India,0, 200, 1000, 400, 0, 0
Spain->Colombia,0, 300, 800, 500, 0, 0
SaudiArabia->USA,0, 400, 1000, 200, 0, 0
Russia->Switzerland,0, 800, 700, 100, 0, 0
Vietnam->Italy,0, 100, 1300, 200, 0, 0
Spain->UnitedKingdom,400, 0, 1098, 100, 0, 0
DemocraticRepublicoftheCongo->Switzerland,100, 100, 389, 1000, 0, 0
Russia->UnitedKingdom,0, 300, 1000, 289, 0, 0
HongKong->China,685, 900, 0, 0, 0, 0
Russia->CzechRepublic,0, 400, 1074, 100, 0, 0
Italy->Russia,100, 500, 759, 200, 0, 0
Japan->Israel,0, 800, 500, 236, 0, 0
Switzerland->Netherlands,200, 411, 800, 101, 0, 0
Switzerland->Germany,400, 1, 1006, 100, 0, 0
Switzerland->Argentina,0, 200, 1006, 301, 0, 0
Spain->Georgia,100, 0, 1300, 100, 0, 0
India->Thailand,100, 700, 600, 100, 0, 0
Spain->Australia,100, 200, 800, 400, 0, 0
UnitedKingdom->Poland,0, 200, 700, 600, 0, 0
UnitedKingdom->Nigeria,0, 300, 1200, 0, 0, 0
SaudiArabia->Bangladesh,0, 200, 800, 500, 0, 0
Russia->Vietnam,0, 200, 1300, 0, 0, 0
Luxembourg->Finland,100, 100, 1100, 198, 0, 0
France->Portugal,0, 0, 473, 965, 0, 0
China->UnitedKingdom,310, 806, 100, 211, 0, 0
Switzerland->Morocco,0, 111, 1022, 291, 0, 0
HongKong->Australia,301, 1000, 100, 0, 0, 0
Japan->Australia,300, 600, 300, 200, 0, 0
Spain->Austria,400, 100, 300, 600, 0, 0
Japan->Italy,300, 700, 300, 100, 0, 0
China->France,1200, 200, 0, 0, 0, 0
China->Netherlands,1300, 0, 100, 0, 0, 0
Germany->France,300, 200, 700, 200, 0, 0
Germany->Vietnam,400, 400, 500, 100, 0, 0
India->Taiwan,200, 800, 200, 200, 0, 0
Australia->Georgia,100, 1000, 300, 0, 0, 0
Israel->Denmark,0, 400, 800, 200, 0, 0
Denmark->France,0, 300, 900, 200, 0, 0
Israel->France,0, 300, 1000, 100, 0, 0
USA->Austria,0, 0, 500, 900, 0, 0
France->Taiwan,100, 300, 696, 300, 0, 0
Japan->Jordan,0, 100, 796, 500, 0, 0
Switzerland->Japan,0, 300, 942, 100, 0, 0
Australia->China,427, 900, 0, 0, 0, 0
France->Denmark,0, 131, 992, 200, 0, 0
China->Canada,400, 803, 100, 0, 0, 0
China->SaudiArabia,400, 800, 0, 103, 0, 0
Netherlands->Austria,0, 103, 1000, 200, 0, 0
Spain->Mexico,300, 100, 600, 300, 0, 0
Germany->Poland,100, 0, 1000, 200, 0, 0
Netherlands->Germany,200, 0, 1100, 0, 0, 0
Germany->Luxembourg,100, 100, 900, 200, 0, 0
Germany->Australia,300, 300, 500, 200, 0, 0
Poland->Japan,100, 200, 800, 200, 0, 0
SaudiArabia->Nigeria,0, 100, 1000, 200, 0, 0
Israel->Canada,0, 0, 400, 900, 0, 0
Luxembourg->Germany,0, 103, 1096, 100, 0, 0
France->Austria,0, 100, 896, 296, 0, 0
UnitedKingdom->Australia,199, 189, 500, 400, 0, 0
Netherlands->UnitedKingdom,200, 0, 970, 100, 0, 0
France->Colombia,0, 169, 896, 200, 0, 0
Denmark->Colombia,0, 217, 700, 331, 0, 0
Italy->Taiwan,140, 800, 300, 0, 0, 0
Denmark->Israel,0, 131, 700, 400, 0, 0
India->SaudiArabia,0, 527, 500, 200, 0, 0
USA->Sweden,200, 214, 600, 200, 0, 0
Luxembourg->Switzerland,0, 203, 507, 503, 0, 0
Italy->Iceland,0, 200, 912, 100, 0, 0
China->Iceland,500, 100, 100, 511, 0, 0
China->NewZealand,500, 400, 100, 211, 0, 0
Thailand->Australia,403, 803, 0, 0, 0, 0
USA->HongKong,304, 900, 0, 0, 0, 0
Vietnam->Portugal,0, 0, 1004, 200, 0, 0
China->India,400, 800, 0, 3, 0, 0
Russia->Poland,0, 200, 901, 100, 0, 0
Austria->Germany,200, 400, 600, 0, 0, 0
Austria->Switzerland,100, 0, 700, 400, 0, 0
Japan->Singapore,700, 400, 100, 0, 0, 0
Japan->China,900, 300, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Germany,200, 500, 200, 300, 0, 0
Sweden->Taiwan,300, 200, 500, 200, 0, 0
Germany->Latvia,400, 200, 400, 200, 0, 0
Netherlands->Portugal,100, 0, 1100, 0, 0, 0
Italy->BosniaandHerzegovina,500, 0, 700, 0, 0, 0
UnitedArabEmirates->Oman,100, 700, 400, 0, 0, 0
Germany->Israel,100, 300, 800, 0, 0, 0
Germany->India,100, 100, 1000, 0, 0, 0
France->Netherlands,0, 100, 500, 600, 0, 0
Russia->Germany,0, 200, 300, 700, 0, 0
SaudiArabia->Austria,0, 100, 500, 600, 0, 0
SaudiArabia->Brazil,0, 200, 500, 500, 0, 0
Australia->Belgium,0, 100, 200, 900, 0, 0
Netherlands->Switzerland,100, 200, 691, 200, 0, 0
Switzerland->CzechRepublic,200, 400, 291, 300, 0, 0
France->Norway,100, 100, 788, 192, 0, 0
Russia->Taiwan,0, 300, 774, 100, 0, 0
Italy->France,100, 200, 640, 200, 0, 0
Switzerland->Luxembourg,1, 12, 921, 200, 0, 0
Italy->CzechRepublic,300, 0, 600, 212, 0, 0
Switzerland->Romania,100, 100, 611, 300, 0, 0
Singapore->USA,500, 400, 200, 0, 0, 0
Vietnam->Austria,100, 100, 800, 100, 0, 0
Sweden->BosniaandHerzegovina,100, 0, 100, 900, 0, 0
France->BosniaandHerzegovina,200, 200, 600, 100, 0, 0
Norway->Italy,100, 100, 900, 0, 0, 0
Germany->Argentina,200, 200, 500, 200, 0, 0
Netherlands->Brazil,100, 100, 900, 0, 0, 0
Germany->Japan,200, 200, 700, 0, 0, 0
France->Chile,200, 100, 600, 200, 0, 0
Poland->Germany,100, 300, 600, 100, 0, 0
Australia->France,400, 500, 200, 0, 0, 0
Australia->USA,100, 600, 100, 300, 0, 0
Singapore->Spain,200, 600, 300, 0, 0, 0
Netherlands->Vietnam,100, 200, 500, 300, 0, 0
Kazakhstan->Spain,0, 100, 300, 700, 0, 0
Greece->UnitedKingdom,0, 600, 500, 0, 0, 0
Brazil->Netherlands,0, 200, 900, 0, 0, 0
Sweden->UnitedKingdom,0, 100, 600, 300, 100, 0
Japan->Canada,0, 100, 900, 100, 0, 0
Bangladesh->Australia,0, 100, 300, 600, 100, 0
USA->Netherlands,0, 100, 400, 600, 0, 0
Hungary->Belgium,0, 200, 600, 300, 0, 0
Vietnam->Poland,0, 0, 1000, 100, 0, 0
Colombia->Canada,0, 0, 600, 500, 0, 0
China->Vietnam,848, 248, 0, 0, 0, 0
France->Sweden,200, 200, 592, 100, 0, 0
UnitedKingdom->Canada,100, 89, 102, 800, 0, 0
Russia->UnitedArabEmirates,0, 100, 689, 300, 0, 0
Denmark->USA,0, 269, 400, 400, 0, 0
Italy->Austria,40, 212, 600, 200, 0, 0
USA->UnitedArabEmirates,200, 100, 200, 552, 0, 0
Italy->Brazil,300, 300, 440, 0, 0, 0
Singapore->Australia,470, 570, 0, 0, 0, 0
Italy->Norway,0, 500, 540, 0, 0, 0
Portugal->Australia,0, 100, 827, 104, 0, 0
Netherlands->Poland,0, 188, 633, 200, 0, 0
Norway->France,100, 100, 616, 200, 0, 0
Switzerland->Chile,0, 0, 813, 200, 0, 0
Italy->Japan,0, 12, 596, 400, 0, 0
Switzerland->USA,200, 201, 506, 100, 0, 0
Norway->Australia,100, 100, 800, 4, 0, 0
Norway->USA,100, 0, 504, 400, 0, 0
Vietnam->CzechRepublic,0, 0, 1004, 0, 0, 0
Italy->USA,100, 300, 400, 200, 0, 0
Thailand->SouthKorea,800, 200, 0, 0, 0, 0
China->Latvia,900, 100, 0, 0, 0, 0
Sweden->Romania,100, 500, 300, 100, 0, 0
Belgium->UnitedKingdom,300, 0, 300, 400, 0, 0
Sweden->SaudiArabia,300, 200, 400, 100, 0, 0
Bangladesh->Russia,300, 200, 500, 0, 0, 0
Vietnam->UnitedKingdom,100, 100, 800, 0, 0, 0
Jordan->Netherlands,100, 200, 0, 700, 0, 0
Poland->Switzerland,200, 200, 200, 400, 0, 0
Russia->Bangladesh,100, 600, 200, 100, 0, 0
Australia->HongKong,400, 600, 0, 0, 0, 0
Germany->Colombia,0, 200, 700, 100, 0, 0
SaudiArabia->Russia,0, 200, 400, 400, 0, 0
SaudiArabia->Colombia,0, 100, 700, 200, 0, 0
Italy->Greece,0, 200, 700, 100, 0, 0
France->Vietnam,0, 100, 800, 100, 0, 0
Turkey->Latvia,0, 0, 200, 800, 0, 0
Netherlands->Jordan,0, 0, 900, 100, 0, 0
Turkey->Belgium,0, 0, 100, 900, 0, 0
UnitedArabEmirates->Uganda,0, 0, 0, 1000, 0, 0
Spain->Russia,300, 0, 598, 100, 0, 0
Japan->HongKong,200, 700, 96, 0, 0, 0
USA->Luxembourg,180, 114, 400, 300, 0, 0
UnitedKingdom->Spain,100, 389, 404, 100, 0, 0
Belgium->Netherlands,100, 205, 300, 374, 0, 0
Belgium->Chile,0, 200, 374, 405, 0, 0
Luxembourg->Georgia,100, 100, 674, 100, 0, 0
Switzerland->Austria,160, 100, 706, 0, 0, 0
USA->Israel,200, 155, 400, 200, 0, 0
Japan->Netherlands,0, 0, 696, 236, 0, 0
Portugal->Poland,0, 100, 804, 27, 0, 0
UnitedArabEmirates->HongKong,15, 915, 0, 0, 0, 0
Switzerland->Portugal,0, 200, 311, 400, 0, 0
Belgium->Italy,100, 300, 505, 5, 0, 0
Switzerland->Poland,200, 0, 207, 500, 0, 0
Canada->USA,100, 500, 104, 200, 0, 0
Portugal->Germany,0, 200, 604, 100, 0, 0
Portugal->Japan,0, 0, 804, 100, 0, 0
Italy->Vietnam,0, 0, 704, 200, 0, 0
Thailand->China,603, 300, 0, 0, 0, 0
Argentina->Spain,200, 300, 400, 0, 0, 0
Spain->Iceland,300, 100, 400, 100, 0, 0
Italy->NewZealand,300, 0, 300, 300, 0, 0
Vietnam->Switzerland,100, 0, 700, 100, 0, 0
Japan->Thailand,700, 200, 0, 0, 0, 0
DemocraticRepublicoftheCongo->India,100, 200, 600, 0, 0, 0
BosniaandHerzegovina->Switzerland,200, 0, 400, 300, 0, 0
Germany->Senegal,200, 200, 500, 0, 0, 0
Belgium->Germany,200, 400, 200, 100, 0, 0
Switzerland->BosniaandHerzegovina,400, 200, 300, 0, 0, 0
Bangladesh->Latvia,400, 200, 200, 100, 0, 0
Italy->Denmark,100, 100, 700, 0, 0, 0
Senegal->Netherlands,100, 0, 800, 0, 0, 0
Taiwan->China,500, 400, 0, 0, 0, 0
China->Chile,200, 500, 200, 0, 0, 0
Japan->Colombia,100, 100, 500, 200, 0, 0
Malaysia->Singapore,300, 500, 0, 100, 0, 0
Argentina->Israel,100, 0, 100, 700, 0, 0
Israel->USA,0, 300, 400, 200, 0, 0
USA->Belgium,0, 100, 500, 300, 0, 0
Russia->India,0, 400, 300, 200, 0, 0
Portugal->Italy,0, 200, 700, 0, 0, 0
Portugal->Belgium,0, 100, 700, 100, 0, 0
Denmark->Austria,0, 100, 300, 500, 0, 0
SaudiArabia->Canada,0, 100, 800, 0, 0, 0
DemocraticRepublicoftheCongo->Canada,0, 100, 100, 700, 0, 0
Jordan->Greece,0, 200, 0, 700, 0, 0
Austria->Netherlands,0, 100, 500, 300, 0, 0
Vietnam->Brazil,0, 0, 700, 200, 0, 0
Portugal->Chile,0, 0, 800, 100, 0, 0
Germany->Chile,0, 0, 700, 200, 0, 0
France->Nigeria,0, 0, 400, 500, 0, 0
Colombia->India,0, 0, 400, 500, 0, 0
Belgium->DemocraticRepublicoftheCongo,0, 0, 700, 200, 0, 0
Spain->Romania,0, 0, 298, 600, 0, 0
Luxembourg->India,200, 100, 498, 98, 0, 0
UnitedKingdom->India,0, 200, 502, 191, 0, 0
Netherlands->CzechRepublic,100, 0, 400, 388, 0, 0
UnitedKingdom->Iceland,100, 300, 226, 259, 0, 0
Russia->Portugal,0, 300, 500, 74, 0, 0
Belgium->Poland,0, 0, 474, 400, 0, 0
France->Poland,100, 100, 200, 473, 0, 0
Russia->Luxembourg,0, 200, 400, 263, 0, 0
Switzerland->Taiwan,60, 100, 300, 400, 0, 0
UnitedKingdom->Germany,400, 56, 204, 200, 0, 0
Switzerland->Brazil,100, 200, 560, 0, 0, 0
USA->SouthKorea,200, 652, 0, 0, 0, 0
UnitedKingdom->Japan,89, 156, 302, 300, 0, 0
Sweden->Belgium,100, 100, 535, 100, 0, 0
Sweden->Italy,300, 100, 434, 0, 0, 0
Luxembourg->Portugal,0, 100, 100, 529, 100, 0
India->SouthAfrica,0, 300, 227, 300, 0, 0
Italy->Georgia,100, 200, 326, 200, 0, 0
France->Oman,100, 100, 320, 296, 0, 0
Italy->Hungary,100, 100, 500, 112, 0, 0
Switzerland->Iceland,200, 111, 300, 200, 0, 0
DemocraticRepublicoftheCongo->Finland,0, 300, 300, 211, 0, 0
Norway->Switzerland,100, 0, 704, 0, 0, 0
Norway->Taiwan,100, 200, 404, 100, 0, 0
Portugal->Netherlands,0, 100, 604, 100, 0, 0
Canada->Belgium,0, 0, 100, 704, 0, 0
Italy->Uganda,200, 0, 600, 2, 0, 0
Japan->Malaysia,400, 200, 200, 0, 0, 0
Spain->Belgium,100, 200, 400, 100, 0, 0
USA->Japan,200, 400, 200, 0, 0, 0
Germany->Denmark,300, 100, 300, 100, 0, 0
Thailand->HongKong,400, 400, 0, 0, 0, 0
Japan->UnitedKingdom,200, 200, 300, 100, 0, 0
Poland->Luxembourg,300, 100, 400, 0, 0, 0
Sweden->SouthAfrica,400, 200, 0, 200, 0, 0
Germany->Portugal,400, 100, 300, 0, 0, 0
Spain->Senegal,100, 100, 600, 0, 0, 0
Norway->Germany,200, 0, 200, 400, 0, 0
India->Italy,100, 100, 600, 0, 0, 0
UnitedKingdom->Portugal,100, 100, 400, 200, 0, 0
HongKong->Singapore,300, 500, 0, 0, 0, 0
Austria->Iceland,200, 0, 600, 0, 0, 0
Taiwan->USA,300, 300, 100, 100, 0, 0
DemocraticRepublicoftheCongo->Spain,100, 0, 700, 0, 0, 0
USA->Spain,300, 200, 300, 0, 0, 0
Japan->Greece,100, 400, 300, 0, 0, 0
India->Oman,100, 500, 100, 100, 0, 0
Singapore->UnitedKingdom,200, 400, 200, 0, 0, 0
UnitedKingdom->Norway,100, 300, 400, 0, 0, 0
HongKong->Thailand,100, 700, 0, 0, 0, 0
Germany->Hungary,100, 200, 100, 400, 0, 0
Netherlands->Colombia,100, 100, 300, 300, 0, 0
Japan->NewZealand,100, 200, 300, 200, 0, 0
USA->Malaysia,0, 800, 0, 0, 0, 0
Oman->Uganda,0, 200, 100, 500, 0, 0
Turkey->India,0, 500, 300, 0, 0, 0
Australia->Senegal,0, 600, 200, 0, 0, 0
Australia->Oman,0, 100, 100, 600, 0, 0
Netherlands->Israel,0, 400, 400, 0, 0, 0
Italy->Portugal,0, 100, 500, 200, 0, 0
Hungary->Poland,0, 300, 400, 100, 0, 0
Poland->Portugal,0, 100, 500, 200, 0, 0
Japan->Russia,0, 100, 500, 200, 0, 0
SaudiArabia->Sweden,0, 100, 200, 500, 0, 0
Denmark->Belgium,0, 200, 500, 100, 0, 0
Israel->Australia,0, 300, 500, 0, 0, 0
Vietnam->India,0, 100, 700, 0, 0, 0
Greece->Portugal,0, 100, 700, 0, 0, 0
Russia->Iceland,0, 200, 600, 0, 0, 0
SaudiArabia->Finland,0, 100, 0, 700, 0, 0
Vietnam->Belgium,0, 0, 500, 300, 0, 0
Portugal->UnitedKingdom,0, 0, 600, 200, 0, 0
USA->Germany,0, 0, 400, 400, 0, 0
Germany->USA,0, 0, 700, 100, 0, 0
Colombia->Japan,0, 0, 500, 300, 0, 0
Portugal->Colombia,0, 0, 700, 100, 0, 0
Senegal->Israel,0, 0, 800, 0, 0, 0
Uganda->UnitedKingdom,0, 0, 0, 800, 0, 0
France->CzechRepublic,3, 200, 596, 0, 0, 0
Spain->Oman,300, 0, 398, 100, 0, 0
France->Brazil,0, 300, 396, 100, 0, 0
Japan->Poland,0, 300, 396, 100, 0, 0
Luxembourg->Canada,0, 100, 596, 100, 0, 0
Japan->Vietnam,0, 100, 588, 100, 0, 0
Singapore->HongKong,485, 300, 0, 0, 0, 0
HongKong->SouthKorea,185, 600, 0, 0, 0, 0
Russia->USA,0, 300, 374, 100, 0, 0
Russia->Australia,0, 200, 400, 174, 0, 0
Hungary->Chile,100, 0, 500, 173, 0, 0
UnitedKingdom->Morocco,100, 100, 500, 56, 0, 0
UnitedKingdom->CzechRepublic,100, 156, 300, 200, 0, 0
UnitedKingdom->Netherlands,0, 200, 456, 100, 0, 0
Uruguay->Mexico,0, 125, 525, 100, 0, 0
Netherlands->Chile,0, 0, 533, 203, 0, 0
Denmark->Netherlands,100, 131, 400, 100, 0, 0
Chile->UnitedKingdom,100, 200, 402, 27, 0, 0
UnitedArabEmirates->China,315, 400, 0, 0, 0, 0
USA->Switzerland,100, 215, 300, 100, 0, 0
Vietnam->Japan,0, 0, 612, 100, 0, 0
Taiwan->Australia,300, 208, 200, 0, 0, 0
Switzerland->Oman,0, 200, 306, 200, 0, 0
Chile->Italy,0, 0, 625, 80, 0, 0
Norway->Austria,100, 0, 100, 504, 0, 0
Thailand->Malaysia,500, 203, 0, 0, 0, 0
Russia->Netherlands,0, 303, 300, 100, 0, 0
UnitedKingdom->Mexico,0, 100, 500, 102, 0, 0
Russia->Latvia,0, 300, 201, 200, 0, 0
Italy->China,200, 300, 100, 100, 0, 0
China->Austria,400, 200, 100, 0, 0, 0
Austria->Uganda,300, 200, 200, 0, 0, 0
BosniaandHerzegovina->India,200, 0, 300, 200, 0, 0
Spain->France,200, 200, 300, 0, 0, 0
Spain->Sweden,100, 0, 300, 300, 0, 0
France->Italy,100, 400, 200, 0, 0, 0
France->Argentina,100, 0, 200, 400, 0, 0
Bangladesh->Poland,200, 100, 400, 0, 0, 0
Vietnam->Russia,100, 100, 500, 0, 0, 0
Bangladesh->CzechRepublic,300, 0, 300, 100, 0, 0
Italy->SouthAfrica,400, 0, 200, 100, 0, 0
Germany->CzechRepublic,200, 300, 0, 200, 0, 0
DemocraticRepublicoftheCongo->Italy,100, 300, 300, 0, 0, 0
Australia->India,200, 400, 100, 0, 0, 0
Singapore->Taiwan,200, 400, 100, 0, 0, 0
China->Sweden,700, 0, 0, 0, 0, 0
Poland->Sweden,100, 200, 300, 100, 0, 0
Brazil->Italy,100, 300, 300, 0, 0, 0
China->Colombia,300, 400, 0, 0, 0, 0
China->Greece,500, 200, 0, 0, 0, 0
USA->SaudiArabia,100, 500, 100, 0, 0, 0
Japan->USA,100, 300, 300, 0, 0, 0
USA->Uruguay,100, 100, 500, 0, 0, 0
Sweden->Norway,100, 100, 300, 200, 0, 0
USA->Morocco,100, 200, 400, 0, 0, 0
Norway->Singapore,100, 200, 300, 100, 0, 0
China->Uruguay,100, 400, 200, 0, 0, 0
Japan->Belgium,0, 500, 200, 0, 0, 0
Netherlands->Russia,0, 100, 600, 0, 0, 0
Poland->Australia,0, 100, 400, 200, 0, 0
Uruguay->Colombia,0, 100, 500, 100, 0, 0
Oman->Kazakhstan,0, 500, 200, 0, 0, 0
Russia->BosniaandHerzegovina,0, 300, 400, 0, 0, 0
Italy->Mexico,0, 200, 400, 100, 0, 0
SaudiArabia->Oman,0, 400, 200, 100, 0, 0
Israel->Colombia,0, 400, 300, 0, 0, 0
NewZealand->Netherlands,0, 300, 400, 0, 0, 0
SaudiArabia->Senegal,0, 100, 400, 200, 0, 0
Poland->USA,0, 100, 300, 300, 0, 0
Poland->Jordan,0, 100, 400, 200, 0, 0
Brazil->Poland,0, 100, 400, 200, 0, 0
Sweden->Netherlands,0, 300, 300, 100, 0, 0
Hungary->Argentina,0, 100, 600, 0, 0, 0
Israel->NewZealand,0, 100, 200, 400, 0, 0
Nigeria->Greece,0, 100, 600, 0, 0, 0
Germany->Jordan,0, 100, 600, 0, 0, 0
Poland->Greece,0, 0, 700, 0, 0, 0
Brazil->Uruguay,0, 0, 500, 200, 0, 0
Germany->Morocco,0, 0, 600, 100, 0, 0
USA->Finland,0, 0, 400, 300, 0, 0
Portugal->Jordan,0, 0, 700, 0, 0, 0
France->UnitedKingdom,0, 0, 200, 500, 0, 0
Canada->Argentina,0, 0, 100, 600, 0, 0
Argentina->Uruguay,0, 0, 0, 700, 0, 0
Argentina->Hungary,200, 300, 100, 96, 0, 0
France->SaudiArabia,300, 100, 296, 0, 0, 0
France->NewZealand,200, 300, 196, 0, 0, 0
France->Singapore,0, 0, 200, 496, 0, 0
Argentina->NewZealand,0, 0, 100, 596, 0, 0
