,Branch length stretch,date,location,numdate
EPI_ISL_408009,9.9999999596694257e-07,2020-01-29,USA,2020.0977840601495
EPI_ISL_408010,0.18122152871075287,2020-01-29,USA,2020.0977840587007
EPI_ISL_408430,1.0173959171653393,2020-01-29,France,2020.0977840587007
EPI_ISL_408431,2.0,2020-01-29,France,2020.0977840587007
EPI_ISL_408478,0.60555429471257194,2020-01-21,China,2020.0766994763849
EPI_ISL_408489,2.0,2020-01-31,Taiwan,2020.1030552042796
EPI_ISL_408665,0.78751658541680791,2020-01-29,Japan,2020.0977840587007
EPI_ISL_408666,0.78465684789081258,2020-01-31,Japan,2020.1030552042796
EPI_ISL_408667,0.52510093272937952,2020-01-31,Japan,2020.1030552042796
EPI_ISL_408668,9.9999999596780866e-07,2020-01-24,Vietnam,2020.084606196202
EPI_ISL_408669,0.64220330442802565,2020-01-29,Japan,2020.0977840587007
EPI_ISL_408670,2.0,2020-01-31,USA,2020.1030552042796
EPI_ISL_408976,1.1238909293233126,2020-01-22,Australia,2020.0793350491742
EPI_ISL_408977,2.0,2020-01-25,Australia,2020.0872417675428
EPI_ISL_409067,0.57292586552497893,2020-01-29,USA,2020.0977840587007
EPI_ISL_410044,2.0,2020-01-27,USA,2020.0925129131217
EPI_ISL_410045,2.0,2020-01-28,USA,2020.0951484859113
EPI_ISL_410218,0.94062913342278598,2020-02-05,Taiwan,2020.1162330682273
EPI_ISL_410486,2.0,2020-02-08,France,2020.1241397865958
EPI_ISL_410531,2.0,2020-01-25,Japan,2020.0872417675428
EPI_ISL_410532,2.0,2020-01-23,Japan,2020.0819706219636
EPI_ISL_410535,2.0,2020-02-03,Singapore,2020.1109619226481
EPI_ISL_410536,1.1278215258361812,2020-02-06,Singapore,2020.1188686410167
EPI_ISL_410537,2.0,2020-02-09,Singapore,2020.1267753593852
EPI_ISL_410546,2.0,2020-01-29,Italy,2020.0977840587007
EPI_ISL_410713,1.8006402741858927,2020-01-27,Singapore,2020.0925129131217
EPI_ISL_410715,2.0,2020-02-04,Singapore,2020.1135974954377
EPI_ISL_410716,2.0,2020-02-04,Singapore,2020.1135974954377
EPI_ISL_410717,1.4342229831397411,2020-02-05,Australia,2020.1162330682273
EPI_ISL_410718,2.0,2020-02-05,Australia,2020.1162330682273
EPI_ISL_410719,0.98467902554561493,2020-02-02,Singapore,2020.1083263498588
EPI_ISL_411219,2.0,2020-01-28,France,2020.0951484859113
EPI_ISL_411915,2.0,2020-01-25,Taiwan,2020.0872417675428
EPI_ISL_411926,2.0,2020-01-24,Taiwan,2020.0846061947532
EPI_ISL_411927,2.0,2020-01-28,Taiwan,2020.0951484859113
EPI_ISL_411951,0.38599267988849306,2020-02-07,Sweden,2020.1215042138062
EPI_ISL_411954,2.0,2020-02-06,USA,2020.1188686410167
EPI_ISL_411956,0.58727085302298854,2020-02-11,USA,2020.1320465049641
EPI_ISL_412028,0.26414975685282271,2020-01-22,Hong Kong,2020.0793350491742
EPI_ISL_412029,2.0,2020-01-30,Hong Kong,2020.1004196314902
EPI_ISL_412030,2.0,2020-02-01,Hong Kong,2020.1056907770692
EPI_ISL_412869,0.51637449032645399,2020-01-30,South Korea,2020.1004196314902
EPI_ISL_412870,2.0,2020-01-30,South Korea,2020.1004196314902
EPI_ISL_412871,0.18213613492499994,2020-01-31,South Korea,2020.1030552042796
EPI_ISL_412872,2.0,2020-02-01,South Korea,2020.1056907770692
EPI_ISL_412873,0.51791683416296574,2020-02-06,South Korea,2020.1188686410167
EPI_ISL_412898,1.2265307727504628,2019-12-30,China,2020.0180579818184
EPI_ISL_412899,2.0,2019-12-30,China,2020.0180579818184
EPI_ISL_412912,9.9999999596698387e-07,2020-02-25,Germany,2020.168944525466
EPI_ISL_412964,2.0,2020-02-25,Brazil,2020.1689445240172
EPI_ISL_412969,9.999999959676742e-07,2020-02-10,Japan,2020.1294109336234
EPI_ISL_412970,9.9999999596701351e-07,2020-02-24,USA,2020.1663089526764
EPI_ISL_412972,2.0,2020-02-27,Mexico,2020.1742156695962
EPI_ISL_412973,2.0,2020-02-20,Italy,2020.1557666600697
EPI_ISL_412974,2.0,2020-01-29,Italy,2020.0977840587007
EPI_ISL_412975,1.4151007772591622,2020-02-28,Australia,2020.1768512423857
EPI_ISL_412979,2.0,2020-01-18,China,2020.0687927580163
EPI_ISL_412980,0.33621051561324294,2020-01-18,China,2020.0687927580163
EPI_ISL_412981,1.0373259248761719,2020-01-18,China,2020.0687927580163
EPI_ISL_413014,2.0,2020-01-25,Canada,2020.0872417675428
EPI_ISL_413015,0.32379731063620132,2020-01-23,Canada,2020.0819706219636
EPI_ISL_413016,2.0,2020-02-28,Brazil,2020.1768512423857
EPI_ISL_413018,0.75494893230573168,2020-02-06,South Korea,2020.1188686410167
EPI_ISL_413019,1.1765118861562158,2020-02-26,Switzerland,2020.1715800968066
EPI_ISL_413020,1.132755206211189,2020-02-27,Switzerland,2020.1742156695962
EPI_ISL_413021,0.52198372294876982,2020-02-29,Switzerland,2020.1794868151751
EPI_ISL_413022,2.0,2020-02-29,Switzerland,2020.1794868151751
EPI_ISL_413023,0.11306458812628883,2020-02-29,Switzerland,2020.1794868151751
EPI_ISL_413024,2.0,2020-02-29,Switzerland,2020.1794868151751
EPI_ISL_413025,0.26211471893985278,2020-02-27,USA,2020.1742156695962
EPI_ISL_413213,2.0,2020-02-29,Australia,2020.1794868151751
EPI_ISL_413214,2.0,2020-02-29,Australia,2020.1794868151751
EPI_ISL_413455,0.33453586027871174,2020-02-28,USA,2020.1768512423857
EPI_ISL_413459,2.0,2020-02-20,Japan,2020.1557666600697
EPI_ISL_413488,1.8191644607492794,2020-02-28,Germany,2020.1768512423857
EPI_ISL_413490,2.0,2020-02-27,New Zealand,2020.1742156695962
EPI_ISL_413513,2.0,2020-02-27,South Korea,2020.1742156695962
EPI_ISL_413514,2.0,2020-02-27,South Korea,2020.1742156695962
EPI_ISL_413516,2.0,2020-02-27,South Korea,2020.1742156695962
EPI_ISL_413519,2.0,2020-01-28,China,2020.0951484859113
EPI_ISL_413522,0.42979385157175032,2020-01-27,India,2020.0925129131217
EPI_ISL_413523,0.36376100572554465,2020-01-31,India,2020.1030552042796
EPI_ISL_413557,0.32574913606216022,2020-02-26,USA,2020.1715800968066
EPI_ISL_413559,0.94603549173970181,2020-02-27,USA,2020.1742156695962
EPI_ISL_413561,2.0,2020-02-27,USA,2020.1742156695962
EPI_ISL_413572,1.8191644607491628,2020-03-01,Netherlands,2020.1821223879645
EPI_ISL_413574,2.0,2020-02-29,Netherlands,2020.1794868151751
EPI_ISL_413575,0.61766369068323712,2020-02-29,Netherlands,2020.1794868151751
EPI_ISL_413591,2.0,2020-03-02,Netherlands,2020.1847579607543
EPI_ISL_413593,2.0,2020-02-29,Luxembourg,2020.1794868151751
EPI_ISL_413594,9.9999999596694427e-07,2020-02-28,Australia,2020.1768512438346
EPI_ISL_413595,0.73464737382081335,2020-02-28,Australia,2020.1768512423857
EPI_ISL_413596,9.9999999596694427e-07,2020-02-28,Australia,2020.1768512438346
EPI_ISL_413602,0.80989606102641198,2020-03-03,Finland,2020.1873935335436
EPI_ISL_413856,1.1106958568672001,2020-02-07,China,2020.1215042138062
EPI_ISL_413868,0.49652759261909263,2020-02-28,China,2020.1768512423857
EPI_ISL_413996,2.0,2020-02-24,Switzerland,2020.1663089512276
EPI_ISL_413999,9.9999999596693813e-07,2020-02-27,Switzerland,2020.174215671045
EPI_ISL_414006,0.95136723209455776,2020-02-28,United Kingdom,2020.1768512423857
EPI_ISL_414009,0.27855931517768467,2020-02-25,United Kingdom,2020.1689445240172
EPI_ISL_414012,0.13766024797363718,2020-02-27,United Kingdom,2020.1742156695962
EPI_ISL_414014,2.0,2020-03-02,Brazil,2020.1847579607543
EPI_ISL_414015,2.0,2020-02-29,Brazil,2020.1794868151751
EPI_ISL_414016,2.0,2020-02-29,Brazil,2020.1794868151751
EPI_ISL_414019,1.8301371885536244,2020-02-27,Switzerland,2020.1742156695962
EPI_ISL_414021,2.0,2020-02-27,Switzerland,2020.1742156695962
EPI_ISL_414022,2.0,2020-02-27,Switzerland,2020.1742156695962
EPI_ISL_414378,0.26961947813357984,2020-02-17,Singapore,2020.1478599417012
EPI_ISL_414379,1.0643543067928254,2020-02-18,Singapore,2020.1504955144906
EPI_ISL_414414,1.8038127544992479,2020-02-29,Australia,2020.1794868151751
EPI_ISL_414477,9.9999999596695337e-07,2020-03-01,Czech Republic,2020.1821223894133
EPI_ISL_414497,1.8634795508961648,2020-02-25,Germany,2020.1689445240172
EPI_ISL_414498,1.8851915763549514,2020-02-26,Germany,2020.1715800968066
EPI_ISL_414499,2.0,2020-02-26,Germany,2020.1715800968066
EPI_ISL_414504,1.8851915763549514,2020-02-26,Germany,2020.1715800968066
EPI_ISL_414505,1.9069036018155414,2020-02-27,Germany,2020.1742156695962
EPI_ISL_414506,0.43515978782192349,2020-02-27,Germany,2020.1742156695962
EPI_ISL_414508,9.999999959669718e-07,2020-02-27,Germany,2020.174215671045
EPI_ISL_414509,1.2907385151152082,2020-02-28,Germany,2020.1768512423857
EPI_ISL_414517,9.9999999596788511e-07,2020-02-25,Hong Kong,2020.168944525466
EPI_ISL_414520,0.99539750123178139,2020-03-02,Germany,2020.1847579607543
EPI_ISL_414523,1.8302673926874329,2020-02-27,United Kingdom,2020.1742156695962
EPI_ISL_414569,1.6030178060516937,2020-02-12,Hong Kong,2020.1346820777537
EPI_ISL_414574,1.2906525605473926,2020-02-28,Germany,2020.1768512423857
EPI_ISL_414623,0.18487111621446906,2020-02-25,France,2020.1689445240172
EPI_ISL_414624,0.24730697102409296,2020-02-26,France,2020.1715800968066
EPI_ISL_414625,0.86217132557040299,2020-02-26,France,2020.1715800968066
EPI_ISL_414626,0.53426873516566331,2020-02-29,France,2020.1794868151751
EPI_ISL_414632,0.20853178063627373,2020-03-04,France,2020.190029106333
EPI_ISL_414637,0.47881710127503307,2020-03-04,France,2020.190029106333
EPI_ISL_414642,2.0,2020-03-08,Finland,2020.2005713974911
EPI_ISL_414647,2.0,2020-03-09,Democratic Republic of the Congo,2020.2032069702807
EPI_ISL_415128,0.99447899242315396,2020-02-29,Brazil,2020.1794868151751
EPI_ISL_415129,2.0,2020-02-29,United Kingdom,2020.1794868151751
EPI_ISL_415154,2.0,2020-03-01,Belgium,2020.1821223879645
EPI_ISL_415159,9.9999999596690763e-07,2020-02-29,Belgium,2020.1794868166239
EPI_ISL_415455,2.0,2020-02-28,Switzerland,2020.1768512423857
EPI_ISL_415456,1.8605140712700119,2020-02-29,Switzerland,2020.1794868151751
EPI_ISL_415459,1.8714303564343517,2020-02-29,Switzerland,2020.1794868151751
EPI_ISL_415466,2.0,2020-03-09,Netherlands,2020.2032069702807
EPI_ISL_415483,0.77469884205794748,2020-03-09,Netherlands,2020.2032069702807
EPI_ISL_415641,2.0,2020-02-27,Georgia,2020.1742156695962
EPI_ISL_415642,2.0,2020-03-10,Georgia,2020.20584254307
EPI_ISL_415643,1.8687012196078467,2020-03-10,Georgia,2020.20584254307
EPI_ISL_415644,0.55173439274322311,2020-02-28,Georgia,2020.1768512423857
EPI_ISL_415654,0.31846918999530238,2020-03-09,France,2020.2032069702807
EPI_ISL_415698,1.7857004412939173,2020-02-27,Switzerland,2020.1742156695962
EPI_ISL_415699,1.7857004412939173,2020-02-27,Switzerland,2020.1742156695962
EPI_ISL_415700,2.0,2020-02-28,Switzerland,2020.1768512423857
EPI_ISL_415705,2.0,2020-03-06,Switzerland,2020.1953002519122
EPI_ISL_415741,2.0,2020-02-26,Taiwan,2020.1715800968066
EPI_ISL_415742,0.33407505601705173,2020-02-27,Taiwan,2020.1742156695962
EPI_ISL_415743,2.0,2020-02-27,Taiwan,2020.1742156695962
EPI_ISL_416032,2.0,2020-03-04,Brazil,2020.190029106333
EPI_ISL_416036,0.7130503356975868,2020-03-05,Brazil,2020.1926646791228
EPI_ISL_416142,1.7422116805731689,2020-02-26,Denmark,2020.1715800968066
EPI_ISL_416143,1.8730582937087177,2020-02-28,Denmark,2020.1768512423857
EPI_ISL_416330,1.0025433879552492,2020-02-02,China,2020.1083263498588
EPI_ISL_416333,2.0,2020-01-30,China,2020.1004196314902
EPI_ISL_416350,0.46050481227182172,2020-01-29,China,2020.0977840587007
EPI_ISL_416373,0.95921095655693966,2020-02-07,China,2020.1215042138062
EPI_ISL_416410,1.1574629166362607,2020-01-24,Australia,2020.0846061947532
EPI_ISL_416411,2.0,2020-01-25,Australia,2020.0872417675428
EPI_ISL_416415,1.5615761201952802,2020-02-08,Australia,2020.1241397865958
EPI_ISL_416425,0.22734254488830735,2020-02-03,China,2020.1109619226481
EPI_ISL_416426,0.79611977571088266,2020-03-17,Hungary,2020.2242915525967
EPI_ISL_416427,9.9999999596780866e-07,2020-01-24,Vietnam,2020.084606196202
EPI_ISL_416429,0.58738227008901334,2020-02-11,Vietnam,2020.1320465049641
EPI_ISL_416430,2.0,2020-03-06,Vietnam,2020.1953002519122
EPI_ISL_416431,2.0,2020-03-06,Vietnam,2020.1953002519122
EPI_ISL_416432,0.24079741131369808,2020-03-07,Saudi Arabia,2020.1979358247015
EPI_ISL_416477,0.64864629341465907,2020-03-08,Georgia,2020.2005713974911
EPI_ISL_416478,0.99448817298218628,2020-03-14,Georgia,2020.2163848342282
EPI_ISL_416479,2.0,2020-03-05,Georgia,2020.1926646791228
EPI_ISL_416480,1.2644237923877228,2020-03-11,Georgia,2020.2084781158596
EPI_ISL_416481,2.0,2020-03-16,Georgia,2020.2216559798071
EPI_ISL_416482,2.0,2020-03-13,Georgia,2020.2137492614388
EPI_ISL_416484,2.0,2020-02-27,Spain,2020.1742156695962
EPI_ISL_416485,0.21906216734969525,2020-02-27,Spain,2020.1742156695962
EPI_ISL_416488,1.3487554046663071,2020-03-03,Poland,2020.1873935335436
EPI_ISL_416502,0.32454479019248872,2020-02-26,France,2020.1715800968066
EPI_ISL_416506,2.0,2020-03-03,France,2020.1873935335436
EPI_ISL_416516,2.0,2020-03-16,Australia,2020.2216559798071
EPI_ISL_416521,0.10778642064072989,2020-03-10,Saudi Arabia,2020.20584254307
EPI_ISL_416524,2.0,2020-03-11,Japan,2020.2084781158596
EPI_ISL_416525,2.0,2020-03-11,Japan,2020.2084781158596
EPI_ISL_416566,1.0042027535149269,2020-02-15,Japan,2020.142588796122
EPI_ISL_416570,0.5048743737834156,2020-02-15,Japan,2020.142588796122
EPI_ISL_416573,2.0,2020-02-15,Japan,2020.142588796122
EPI_ISL_416575,2.0,2020-02-15,Japan,2020.142588796122
EPI_ISL_416578,1.9852114427881431,2020-02-15,Japan,2020.142588796122
EPI_ISL_416587,0.25762235629552249,2020-02-16,Japan,2020.1452243689118
EPI_ISL_416596,2.0,2020-02-16,Japan,2020.1452243689118
EPI_ISL_416598,0.25755733869030645,2020-02-16,Japan,2020.1452243689118
EPI_ISL_416601,0.94241988139560218,2020-02-16,Japan,2020.1452243689118
EPI_ISL_416607,2.0,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416611,2.0,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416612,2.0,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416614,2.0,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416617,2.0,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416624,0.668502371731034,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416628,2.0,2020-02-17,Japan,2020.1478599417012
EPI_ISL_416637,2.0,2020-03-12,USA,2020.211113688649
EPI_ISL_416742,2.0,2020-02-29,Czech Republic,2020.1794868151751
EPI_ISL_416743,2.0,2020-03-05,Czech Republic,2020.1926646791228
EPI_ISL_416744,9.9999999596706624e-07,2020-03-20,Hungary,2020.2321982724141
EPI_ISL_416752,1.0561755266663717,2020-03-04,France,2020.190029106333
EPI_ISL_416829,0.78207228727070621,2020-01-24,Malaysia,2020.0846061947532
EPI_ISL_416866,2.0,2020-01-24,Malaysia,2020.0846061947532
EPI_ISL_416885,2.0,2020-01-30,Malaysia,2020.1004196314902
EPI_ISL_416886,1.797877504886229,2020-02-04,Malaysia,2020.1135974954377
EPI_ISL_416907,9.9999999596695083e-07,2020-02-06,Malaysia,2020.1188686424655
EPI_ISL_417030,0.54024668620060545,2020-01-24,Australia,2020.0846061947532
EPI_ISL_417064,9.9999999596692542e-07,2020-01-21,Hong Kong,2020.0766994778337
EPI_ISL_417083,0.8458000228896223,2020-02-28,USA,2020.1768512423857
EPI_ISL_417093,2.0,2020-02-28,USA,2020.1768512423857
EPI_ISL_417100,2.0,2020-02-29,USA,2020.1794868151751
EPI_ISL_417135,2.0,2020-02-22,USA,2020.1610378056487
EPI_ISL_417152,2.0,2020-02-28,USA,2020.1768512423857
EPI_ISL_417155,2.0,2020-02-28,USA,2020.1768512423857
EPI_ISL_417178,1.1905952906460326,2020-01-25,Hong Kong,2020.0872417675428
EPI_ISL_417179,1.3608876305337676,2020-01-30,Hong Kong,2020.1004196314902
EPI_ISL_417186,1.1213960818010369,2020-03-07,South Africa,2020.1979358247015
EPI_ISL_417187,2.0,2020-02-08,Hong Kong,2020.1241397865958
EPI_ISL_417188,2.0,2020-02-08,Hong Kong,2020.1241397865958
EPI_ISL_417193,0.3049433761789429,2020-02-09,Hong Kong,2020.1267753593852
EPI_ISL_417260,2.0,2020-03-05,United Kingdom,2020.1926646791228
EPI_ISL_417337,1.1211134655862756,2020-03-07,France,2020.1979358247015
EPI_ISL_417338,0.75404510309163142,2020-03-07,France,2020.1979358247015
EPI_ISL_417339,1.1428233496777649,2020-03-08,France,2020.2005713974911
EPI_ISL_417420,0.45290766112197173,2020-03-23,China,2020.2401049893335
EPI_ISL_417421,2.0,2020-03-01,Italy,2020.1821223879645
EPI_ISL_417423,2.0,2020-03-01,Italy,2020.1821223879645
EPI_ISL_417434,0.30981463910040252,2020-03-14,Democratic Republic of the Congo,2020.2163848342282
EPI_ISL_417437,0.24439371929405632,2020-03-17,Democratic Republic of the Congo,2020.2242915525967
EPI_ISL_417438,0.34736429742042596,2020-03-17,Democratic Republic of the Congo,2020.2242915525967
EPI_ISL_417440,9.9999999596789104e-07,2020-03-17,Democratic Republic of the Congo,2020.2242915540455
EPI_ISL_417442,2.0,2020-03-18,Democratic Republic of the Congo,2020.2269271253861
EPI_ISL_417459,2.0,2020-03-11,Germany,2020.2084781158596
EPI_ISL_417483,2.0,2020-02-27,Norway,2020.1742156695962
EPI_ISL_417484,2.0,2020-02-26,Norway,2020.1715800968066
EPI_ISL_417486,1.6733345879602206,2020-03-01,Norway,2020.1821223879645
EPI_ISL_417488,1.8191644607509168,2020-02-29,Norway,2020.1794868151751
EPI_ISL_417498,9.9999999596697857e-07,2020-03-13,USA,2020.2137492628874
EPI_ISL_417519,2.0,2020-03-05,Taiwan,2020.1926646791228
EPI_ISL_417524,0.50563616677949463,2020-03-14,Taiwan,2020.2163848342282
EPI_ISL_417534,1.367208564055626,2020-03-18,Luxembourg,2020.2269271253861
EPI_ISL_417563,0.66200020890856848,2020-03-16,Iceland,2020.2216559798071
EPI_ISL_417623,9.9999999596773116e-07,2020-03-18,Iceland,2020.2269271268349
EPI_ISL_417639,0.90993850513461405,2020-03-18,Iceland,2020.2269271253861
EPI_ISL_417691,2.0,2020-03-11,Iceland,2020.2084781158596
EPI_ISL_417696,1.5021583063194441,2020-03-12,Iceland,2020.211113688649
EPI_ISL_417742,2.0,2020-03-16,Iceland,2020.2216559798071
EPI_ISL_417757,9.9999999596701245e-07,2020-03-06,Iceland,2020.195300253361
EPI_ISL_417817,2.0,2020-03-02,Iceland,2020.1847579607543
EPI_ISL_417875,1.7929063531618648,2020-03-10,Iceland,2020.20584254307
EPI_ISL_417917,0.28981472345629594,2020-03-20,Malaysia,2020.2321982709652
EPI_ISL_417918,0.35326388499632033,2020-03-18,Malaysia,2020.2269271253861
EPI_ISL_417921,9.9999999596695337e-07,2020-03-01,Italy,2020.1821223894133
EPI_ISL_417922,2.0,2020-02-28,Italy,2020.1768512423857
EPI_ISL_417941,2.0,2020-03-18,Democratic Republic of the Congo,2020.2269271253861
EPI_ISL_417942,2.0,2020-03-18,Democratic Republic of the Congo,2020.2269271253861
EPI_ISL_417947,1.1570427685145923,2020-03-19,Democratic Republic of the Congo,2020.2295626981756
EPI_ISL_418009,0.4189086229956816,2020-03-15,Portugal,2020.2190204070175
EPI_ISL_418052,2.0,2020-03-16,USA,2020.2216559798071
EPI_ISL_418206,0.4161699956292611,2020-02-28,Senegal,2020.1768512423857
EPI_ISL_418207,0.48131537559043042,2020-03-02,Senegal,2020.1847579607543
EPI_ISL_418208,0.52474562889667453,2020-03-04,Senegal,2020.190029106333
EPI_ISL_418209,0.33665810769928411,2020-03-03,Senegal,2020.1873935335436
EPI_ISL_418210,2.0,2020-03-10,Senegal,2020.20584254307
EPI_ISL_418211,1.8204751856215231,2020-03-11,Senegal,2020.2084781158596
EPI_ISL_418212,2.0,2020-03-11,Senegal,2020.2084781158596
EPI_ISL_418213,1.2298907022098433,2020-03-12,Senegal,2020.211113688649
EPI_ISL_418215,0.82171101898604004,2020-03-12,Senegal,2020.211113688649
EPI_ISL_418216,1.4573578825543292,2020-03-13,Senegal,2020.2137492614388
EPI_ISL_418217,1.247348606586659,2020-03-13,Senegal,2020.2137492614388
EPI_ISL_418218,2.0,2020-02-21,France,2020.1584022328591
EPI_ISL_418219,0.7367642839551648,2020-02-26,France,2020.1715800968066
EPI_ISL_418220,2.0,2020-02-28,France,2020.1768512423857
EPI_ISL_418233,2.0,2020-03-15,France,2020.2190204070175
EPI_ISL_418243,0.87240630022700094,2020-02-28,Spain,2020.1768512423857
EPI_ISL_418245,1.252164624021868,2020-03-01,Spain,2020.1821223879645
EPI_ISL_418247,1.4648552087436013,2020-02-26,Spain,2020.1715800968066
EPI_ISL_418251,0.71937697320341232,2020-02-25,Spain,2020.1689445240172
EPI_ISL_418257,2.0,2020-03-17,Italy,2020.2242915525967
EPI_ISL_418260,1.2723751168896653,2020-03-16,Italy,2020.2216559798071
EPI_ISL_418267,1.1254216758424316,2020-01-22,Vietnam,2020.0793350491742
EPI_ISL_418269,2.0,2020-01-22,Vietnam,2020.0793350491742
EPI_ISL_418273,2.0,2020-02-28,Switzerland,2020.1768512423857
EPI_ISL_418325,1.240813401090082,2020-02-20,Canada,2020.1557666600697
EPI_ISL_418327,2.0,2020-01-25,Canada,2020.0872417675428
EPI_ISL_418328,1.198861199118409,2020-03-20,Canada,2020.2321982709652
EPI_ISL_418344,2.0,2020-02-29,Canada,2020.1794868151751
EPI_ISL_418345,2.0,2020-02-29,Canada,2020.1794868151751
EPI_ISL_418351,2.0,2020-03-12,Canada,2020.211113688649
EPI_ISL_418358,0.56411317195891031,2020-03-12,Canada,2020.211113688649
EPI_ISL_418374,0.31112463078148805,2020-03-11,Canada,2020.2084781158596
EPI_ISL_418382,2.0,2020-02-28,Canada,2020.1768512423857
EPI_ISL_418383,0.60886612992929812,2020-02-29,Canada,2020.1794868151751
EPI_ISL_418386,2.0,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418389,0.26501690383183552,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418390,0.31537558299876817,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418393,2.0,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418394,2.0,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418395,2.0,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418396,1.5481235569452882,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418397,0.80970614736193924,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418399,1.2621654880184243,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418400,1.9226617734148201,2020-03-13,Finland,2020.2137492614388
EPI_ISL_418401,0.28392249885870829,2020-03-14,Finland,2020.2163848342282
EPI_ISL_418402,0.53235953818496462,2020-03-14,Finland,2020.2163848342282
EPI_ISL_418406,2.0,2020-03-14,Finland,2020.2163848342282
EPI_ISL_418410,2.0,2020-03-14,Finland,2020.2163848342282
EPI_ISL_418419,0.52016075535434492,2020-03-16,France,2020.2216559798071
EPI_ISL_418422,2.0,2020-03-17,France,2020.2242915525967
EPI_ISL_418799,0.99232252988050418,2020-02-28,Australia,2020.1768512423857
EPI_ISL_418801,2.0,2020-03-14,Australia,2020.2163848342282
EPI_ISL_418826,0.60807682423692144,2020-03-10,Canada,2020.20584254307
EPI_ISL_418842,2.0,2020-03-11,Canada,2020.2084781158596
EPI_ISL_418858,9.9999999596697857e-07,2020-03-13,Canada,2020.2137492628874
EPI_ISL_418967,2.0,2020-03-11,USA,2020.2084781158596
EPI_ISL_418993,0.77927742600801653,2020-01-29,Singapore,2020.0977840587007
EPI_ISL_418994,2.0,2020-01-29,Singapore,2020.0977840587007
EPI_ISL_418995,2.0,2020-02-28,Singapore,2020.1768512423857
EPI_ISL_418996,9.9999999596788532e-07,2020-01-27,Singapore,2020.0925129145705
EPI_ISL_418997,2.0,2020-02-06,Singapore,2020.1188686410167
