dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr025_nv10_17,0.9,0.711,0.794,0.862,0.658,0.746,0.862,0.658,0.746,0.892,0.868,0.88
SEIR015_sl1000_mr05_nv10_2,0.941,0.762,0.842,0.879,0.69,0.773,0.879,0.69,0.773,0.905,0.905,0.905
SEIR015_sl1000_mr05_nv10_16,1,0.659,0.794,0.923,0.878,0.9,0.972,0.854,0.909,0.975,0.951,0.963
SEIR015_sl500_mr025_nv10_10,0.971,0.767,0.857,0.902,0.86,0.881,0.875,0.814,0.843,0.949,0.86,0.902
SEIR015_sl1000_mr025_nv20_9,0.812,0.722,0.765,0.75,0.5,0.6,0.692,0.5,0.581,0.722,0.722,0.722
SEIR015_sl1000_mr025_nv10_9,1,0.875,0.933,0.98,0.893,0.935,0.962,0.893,0.926,0.964,0.964,0.964
SEIR015_sl500_mr025_nv10_12,1,0.623,0.767,0.805,0.623,0.702,0.821,0.604,0.696,0.854,0.774,0.812
SEIR015_sl1000_mr025_nv10_12,1,0.2,0.333,1,0.4,0.571,1,0.3,0.462,1,0.5,0.667
SEIR015_sl1000_mr025_nv10_18,1,0.595,0.746,0.818,0.73,0.771,0.9,0.73,0.806,0.879,0.784,0.829
SEIR015_sl250_mr025_nv10_20,0.909,0.303,0.455,0.714,0.758,0.735,0.688,0.667,0.677,0.73,0.818,0.771
SEIR015_sl500_mr025_nv10_13,1,0.429,0.6,0.76,0.679,0.717,0.75,0.643,0.692,0.774,0.857,0.814
SEIR015_sl1000_mr0125_nv10_13,0.936,0.88,0.907,0.952,0.8,0.87,0.952,0.8,0.87,0.94,0.94,0.94
SEIR015_sl1000_mr025_nv20_14,0.952,0.909,0.93,0.9,0.818,0.857,0.857,0.818,0.837,0.955,0.955,0.955
SEIR015_sl500_mr025_nv10_9,1,0.182,0.308,0.75,0.818,0.783,0.667,0.727,0.696,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv10_19,0.933,0.737,0.824,0.882,0.789,0.833,0.882,0.789,0.833,0.944,0.895,0.919
SEIR015_sl1000_mr0125_nv10_10,1,0.526,0.69,0.875,0.737,0.8,0.867,0.684,0.765,1,0.789,0.882
SEIR015_sl1000_mr025_nv10_6,0.93,0.87,0.899,0.974,0.804,0.881,0.974,0.804,0.881,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv10_4,0.972,0.795,0.875,0.921,0.795,0.854,0.919,0.773,0.84,0.872,0.932,0.901
SEIR015_sl1000_mr025_nv5_7,0.87,0.769,0.816,0.789,0.577,0.667,0.789,0.577,0.667,0.815,0.846,0.83
SEIR015_sl1000_mr025_nv10_20,1,0.375,0.545,0.857,0.75,0.8,0.857,0.75,0.8,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_12,1,0.643,0.783,0.818,0.643,0.72,0.818,0.643,0.72,0.833,0.714,0.769
SEIR015_sl250_mr025_nv10_19,0.9,0.243,0.383,0.611,0.297,0.4,0.619,0.351,0.448,0.65,0.351,0.456
SEIR015_sl250_mr025_nv10_13,1,0.5,0.667,0.846,0.688,0.759,0.818,0.562,0.667,0.846,0.688,0.759
SEIR015_sl500_mr025_nv10_8,0.963,0.388,0.553,0.868,0.687,0.767,0.88,0.657,0.752,0.925,0.731,0.817
SEIR015_sl1000_mr05_nv10_7,1,0.231,0.375,0.667,0.615,0.64,0.615,0.615,0.615,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_5,0.972,0.897,0.933,0.914,0.821,0.865,0.912,0.795,0.849,0.925,0.949,0.937
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.8,0.364,0.5,0.8,0.364,0.5,0.909,0.909,0.909
SEIR015_sl1000_mr05_nv10_3,1,0.696,0.821,0.889,0.857,0.873,0.857,0.857,0.857,0.857,0.857,0.857
SEIR015_sl1000_mr025_nv5_16,1,0.846,0.917,1,0.615,0.762,1,0.615,0.762,1,0.885,0.939
SEIR015_sl1000_mr025_nv20_17,0.979,0.839,0.904,0.979,0.839,0.904,0.957,0.786,0.863,0.981,0.929,0.954
SEIR015_sl500_mr025_nv10_14,1,0.556,0.714,0.889,0.889,0.889,0.889,0.889,0.889,0.8,0.889,0.842
SEIR015_sl250_mr025_nv10_15,0.812,0.265,0.4,0.7,0.571,0.629,0.61,0.51,0.556,0.644,0.592,0.617
SEIR015_sl250_mr025_nv10_17,0,0,0,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr0125_nv10_1,1,0.89,0.942,0.981,0.699,0.816,0.942,0.671,0.784,0.973,0.986,0.98
SEIR015_sl1000_mr025_nv10_16,1,0.571,0.727,0.929,0.929,0.929,0.929,0.929,0.929,0.933,1,0.966
SEIR015_sl1000_mr025_nv10_11,0.977,0.75,0.848,0.913,0.75,0.824,0.932,0.732,0.82,0.947,0.964,0.956
SEIR015_sl1000_mr05_nv10_4,1,0.594,0.745,0.8,0.75,0.774,0.8,0.75,0.774,0.8,0.875,0.836
SEIR015_sl1000_mr025_nv5_3,0.846,0.407,0.55,0.824,0.519,0.636,0.867,0.481,0.619,0.8,0.593,0.681
SEIR015_sl1000_mr025_nv5_15,0.911,0.631,0.745,0.848,0.6,0.703,0.884,0.585,0.704,0.875,0.754,0.81
SEIR015_sl500_mr025_nv10_19,1,0.4,0.571,0.909,1,0.952,0.909,1,0.952,0.909,1,0.952
SEIR015_sl1000_mr025_nv5_20,1,0.61,0.758,0.897,0.634,0.743,0.926,0.61,0.735,0.919,0.829,0.872
SEIR015_sl250_mr025_nv10_7,1,0.25,0.4,1,0.375,0.545,0.667,0.25,0.364,1,0.25,0.4
SEIR015_sl1000_mr0125_nv10_9,0.75,0.429,0.545,0.562,0.429,0.486,0.857,0.286,0.429,0.55,0.524,0.537
SEIR015_sl1000_mr025_nv20_3,1,0.636,0.778,0.955,0.636,0.764,0.951,0.591,0.729,0.946,0.803,0.869
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,0.9,0.9,0.9,1,0.9,0.947,1,0.9,0.947
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl250_mr025_nv10_1,0.667,0.118,0.2,0.933,0.824,0.875,0.923,0.706,0.8,0.824,0.824,0.824
SEIR015_sl1000_mr05_nv10_18,0.957,0.537,0.688,0.972,0.854,0.909,0.917,0.805,0.857,0.857,0.878,0.867
SEIR015_sl1000_mr0125_nv10_6,1,0.543,0.704,0.957,0.629,0.759,0.909,0.571,0.702,0.882,0.857,0.87
SEIR015_sl1000_mr0125_nv10_20,0.958,0.561,0.708,0.946,0.854,0.897,0.889,0.78,0.831,0.875,0.854,0.864
SEIR015_sl1000_mr025_nv10_15,1,0.483,0.651,0.885,0.397,0.548,1,0.328,0.494,1,0.483,0.651
SEIR015_sl1000_mr0125_nv10_11,1,0.538,0.7,0.909,0.769,0.833,1,0.692,0.818,0.9,0.692,0.783
SEIR015_sl1000_mr05_nv10_17,0.95,0.551,0.697,0.902,0.797,0.846,0.9,0.783,0.837,0.926,0.913,0.92
SEIR015_sl1000_mr05_nv10_13,0.978,0.738,0.841,0.962,0.836,0.895,0.98,0.82,0.893,0.968,0.984,0.976
SEIR015_sl1000_mr025_nv5_6,0.958,0.371,0.535,0.821,0.371,0.511,0.87,0.323,0.471,0.9,0.435,0.587
SEIR015_sl1000_mr025_nv10_8,1,0.7,0.824,1,0.8,0.889,1,0.8,0.889,0.895,0.85,0.872
SEIR015_sl1000_mr05_nv10_10,1,0.444,0.615,0.857,0.667,0.75,0.857,0.667,0.75,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,0.5,0.2,0.286,0.5,0.2,0.286,0.5,0.2,0.286
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr05_nv10_19,1,0.531,0.694,0.903,0.875,0.889,0.931,0.844,0.885,0.938,0.938,0.938
SEIR015_sl1000_mr05_nv10_9,1,0.6,0.75,0.857,0.8,0.828,0.923,0.8,0.857,0.75,0.8,0.774
SEIR015_sl1000_mr025_nv5_4,0.919,0.68,0.782,0.909,0.6,0.723,0.909,0.6,0.723,0.927,0.76,0.835
SEIR015_sl1000_mr0125_nv10_8,1,0.778,0.875,0.824,0.778,0.8,0.889,0.889,0.889,0.85,0.944,0.895
SEIR015_sl250_mr025_nv10_11,0.8,0.235,0.364,0.64,0.471,0.542,0.654,0.5,0.567,0.613,0.559,0.585
SEIR015_sl500_mr025_nv10_6,0.625,0.263,0.37,0.529,0.474,0.5,0.526,0.526,0.526,0.579,0.579,0.579
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.909,0.625,0.741,0.909,0.625,0.741,0.938,0.938,0.938
SEIR015_sl1000_mr0125_nv10_17,1,0.423,0.595,0.87,0.769,0.816,0.909,0.769,0.833,0.885,0.885,0.885
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.667,0.667,0.667,0.7,0.778,0.737,0.7,0.778,0.737
SEIR015_sl1000_mr025_nv20_18,0.955,0.538,0.689,0.8,0.615,0.696,0.926,0.641,0.758,0.829,0.744,0.784
SEIR015_sl1000_mr025_nv5_17,1,0.732,0.845,0.917,0.805,0.857,0.892,0.805,0.846,0.902,0.902,0.902
SEIR015_sl500_mr025_nv10_15,0.913,0.724,0.808,0.849,0.776,0.811,0.881,0.638,0.74,0.897,0.897,0.897
SEIR015_sl1000_mr025_nv10_5,0.947,0.75,0.837,0.851,0.833,0.842,0.884,0.792,0.835,0.878,0.896,0.887
SEIR015_sl1000_mr025_nv20_20,0.833,0.526,0.645,0.647,0.579,0.611,0.688,0.579,0.629,0.684,0.684,0.684
SEIR015_sl1000_mr025_nv10_14,0.895,0.68,0.773,0.731,0.76,0.745,0.76,0.76,0.76,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv20_8,0.979,0.701,0.817,0.906,0.716,0.8,0.959,0.701,0.81,0.963,0.776,0.86
SEIR015_sl1000_mr0125_nv10_5,0.957,0.882,0.918,0.895,0.333,0.486,0.85,0.333,0.479,0.939,0.902,0.92
SEIR015_sl500_mr025_nv10_4,0.917,0.268,0.415,0.844,0.659,0.74,0.806,0.61,0.694,0.824,0.683,0.747
SEIR015_sl1000_mr05_nv10_20,0.9,0.439,0.59,0.611,0.268,0.373,0.833,0.244,0.377,0.92,0.561,0.697
SEIR015_sl1000_mr025_nv5_19,1,0.182,0.308,0.833,0.455,0.588,0.833,0.455,0.588,0.857,0.545,0.667
SEIR015_sl500_mr025_nv10_5,0.9,0.643,0.75,0.929,0.929,0.929,0.923,0.857,0.889,0.867,0.929,0.897
SEIR015_sl1000_mr05_nv10_8,1,0.75,0.857,0.897,0.722,0.8,0.897,0.722,0.8,0.838,0.861,0.849
SEIR015_sl1000_mr025_nv5_12,0.778,0.636,0.7,0.429,0.273,0.333,0.429,0.273,0.333,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv5_10,1,0.306,0.468,0.947,0.5,0.655,0.842,0.444,0.582,0.85,0.472,0.607
SEIR015_sl1000_mr025_nv20_13,1,0.222,0.364,0.692,1,0.818,0.692,1,0.818,0.75,1,0.857
SEIR015_sl250_mr025_nv10_8,0.938,0.556,0.698,0.864,0.704,0.776,0.864,0.704,0.776,0.818,0.667,0.735
SEIR015_sl500_mr025_nv10_16,1,0.417,0.588,0.833,0.833,0.833,0.909,0.833,0.87,0.909,0.833,0.87
SEIR015_sl1000_mr025_nv5_1,1,0.357,0.526,0.857,0.429,0.571,0.857,0.429,0.571,0.857,0.429,0.571
SEIR015_sl500_mr025_nv10_18,0.824,0.538,0.651,0.684,0.5,0.578,0.684,0.5,0.578,0.75,0.692,0.72
SEIR015_sl500_mr025_nv10_20,0.971,0.531,0.687,0.846,0.688,0.759,0.886,0.609,0.722,0.911,0.797,0.85
SEIR015_sl500_mr025_nv10_11,0,0,0,0.857,0.75,0.8,0.8,0.5,0.615,0.714,0.625,0.667
SEIR015_sl500_mr025_nv10_17,1,0.5,0.667,0.846,0.786,0.815,0.846,0.786,0.815,0.846,0.786,0.815
SEIR015_sl1000_mr025_nv5_9,1,0.4,0.571,0.727,0.4,0.516,0.714,0.375,0.492,0.8,0.5,0.615
,0.905364285714285,0.521657142857143,0.6386,0.815314285714286,0.660078571428571,0.720321428571429,0.818357142857143,0.639585714285714,0.706135714285714,0.833142857142857,0.761557142857143,0.786785714285714
